function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,60,1.000,6.365,6192435.200,nan,1,0,5035881,shasum,100,1.000,6.295,5970236.952,nan,1,0,3802689,env,200,1.000,13.138,6515882.667,nan,1,0,3405810,29.067,105.383,2720256000.000,2736174080.000,26.694,26.791,nan,nan,10,0
figlet,60,1.000,7.428,3510272.000,nan,1,0,5809970,shasum,100,1.000,8.721,9501286.400,nan,1,0,4546663,env,200,1.000,15.084,3440640.000,nan,2,0,4052956,29.200,97.350,2826244096.000,2839333376.000,27.341,27.419,nan,nan,65,0
figlet,60,1.000,7.178,3309568.000,nan,1,0,4977510,shasum,100,1.000,7.928,9643349.333,nan,1,0,3984267,env,200,1.000,14.279,10065749.333,nan,1,0,3353275,29.467,101.650,2909802496.000,2903513600.000,27.846,27.808,nan,nan,55,0
figlet,60,1.000,6.659,3035136.000,nan,2,0,4340099,shasum,120,1.000,9.081,9673728.000,nan,2,0,3605578,env,0,1.000,0.039,3690496.000,nan,1,0,0,28.800,70.483,2922295296.000,2927173632.000,27.925,27.956,nan,nan,60,0
figlet,60,1.000,6.622,3766033.067,nan,1,0,4621685,shasum,120,1.000,8.829,9945600.000,nan,1,0,3745820,env,0,1.000,0.044,8704000.000,nan,1,0,0,31.667,69.700,2962681856.000,2965782016.000,28.178,28.196,nan,nan,30,0
figlet,60,1.000,6.352,9921365.333,nan,1,0,4833596,shasum,120,1.000,8.335,9707178.667,nan,1,0,3885755,env,0,1.000,0.040,7557120.000,nan,1,0,0,30.933,68.033,2984275968.000,2973568512.000,28.311,28.244,nan,nan,30,0
figlet,60,1.000,7.149,3556181.333,nan,1,0,4693805,shasum,120,1.000,8.279,9973316.267,nan,1,0,3935947,env,20,1.000,1.557,8537117.257,nan,2,0,3929187,30.533,69.933,2988294144.000,2984795136.000,28.338,28.314,nan,nan,30,0
figlet,60,1.000,6.969,9940650.667,nan,1,0,4418044,shasum,120,1.000,9.164,9998165.333,nan,1,0,3451239,env,20,1.000,1.593,3365376.000,nan,1,0,3818829,31.533,76.167,3006670848.000,2998608896.000,28.456,28.403,nan,nan,25,0
figlet,60,1.000,6.421,9866444.800,nan,1,0,4202766,shasum,120,1.000,8.536,10006869.333,nan,1,0,3430419,env,20,1.000,1.403,3272362.667,nan,1,0,3256681,32.133,74.267,3006867456.000,3000707072.000,28.461,28.420,nan,nan,30,0
figlet,60,1.000,6.614,9946726.400,nan,1,0,5172650,shasum,120,1.000,8.652,10081621.333,nan,1,0,3872115,env,40,1.000,2.889,10041344.000,nan,1,0,3969556,32.933,76.617,3023994880.000,3011667968.000,28.566,28.488,nan,nan,30,0
figlet,60,1.000,6.023,3369984.000,nan,2,0,5191982,shasum,120,1.000,8.364,9999496.533,nan,1,0,4046073,env,40,1.000,3.027,3688886.857,nan,1,0,3828130,33.000,76.200,3020072960.000,3011689472.000,28.548,28.493,nan,nan,30,0
figlet,60,1.000,6.904,3273045.333,nan,1,0,4568236,shasum,120,1.000,9.107,10343253.333,nan,1,0,3601657,env,40,1.000,3.069,3622758.400,nan,1,0,3474167,31.667,80.617,3029192704.000,3019449856.000,28.606,28.543,nan,nan,25,0
figlet,60,1.000,7.059,9886890.667,nan,1,0,4865867,shasum,120,1.000,8.611,10089813.333,nan,1,0,3571846,env,60,1.000,4.457,10119338.667,nan,1,0,3297094,31.933,83.100,3035480064.000,3023097344.000,28.647,28.568,nan,nan,30,0
figlet,60,1.000,6.518,3552802.133,nan,1,0,4500051,shasum,120,1.000,8.619,10027349.333,nan,1,0,3600772,env,60,1.000,4.255,3316394.667,nan,1,0,3187030,32.067,80.617,3045537792.000,3039943680.000,28.708,28.670,nan,nan,30,0
figlet,60,1.000,6.354,9942259.810,nan,1,0,4309932,shasum,120,1.000,8.328,10050218.667,nan,1,0,3764266,env,60,1.000,3.952,3401581.714,nan,1,0,3700756,31.400,78.467,3060436992.000,3053881344.000,28.799,28.756,nan,nan,30,0
figlet,60,1.000,7.069,3364420.267,nan,1,0,5302020,shasum,120,1.000,9.611,10467025.676,nan,2,0,4629625,env,80,1.000,5.417,3402274.133,nan,2,0,4237166,31.200,82.233,3056556032.000,3049257472.000,28.781,28.732,nan,nan,30,0
figlet,60,1.000,6.892,3589956.267,nan,1,0,4445441,shasum,120,1.000,9.184,10248192.000,nan,1,0,3555324,env,80,1.000,6.289,9991509.333,nan,1,0,3744304,32.733,88.183,3066218496.000,3054931456.000,28.842,28.769,nan,nan,25,0
figlet,60,1.000,6.936,3311069.867,nan,1,0,5010672,shasum,120,1.000,8.500,10281813.333,nan,1,0,3716080,env,80,1.000,5.830,10038101.333,nan,1,0,3646984,31.267,85.883,3078162432.000,3065802240.000,28.913,28.835,nan,nan,30,0
figlet,60,1.000,6.525,3134873.600,nan,1,0,4421996,shasum,120,1.000,8.142,10372778.667,nan,1,0,3496969,env,100,1.000,6.884,3515938.133,nan,1,0,3503823,31.533,87.100,3071627264.000,3061900288.000,28.879,28.816,nan,nan,30,0
figlet,60,1.000,6.558,10016290.133,nan,1,0,4919276,shasum,120,1.000,7.518,10214024.533,nan,1,0,3855397,env,100,1.000,7.059,3668138.667,nan,1,0,3833935,31.667,85.583,3065915392.000,3055780864.000,28.848,28.783,nan,nan,30,0
figlet,60,1.000,6.356,9902284.800,nan,2,0,5229479,shasum,120,1.000,9.457,10362026.667,nan,2,0,4317474,env,100,1.000,7.858,3790080.000,nan,1,0,4071796,31.200,84.267,3077916672.000,3069144064.000,28.922,28.865,nan,nan,30,0
figlet,60,1.000,6.968,3488426.667,nan,1,0,4647946,shasum,120,1.000,9.261,10647040.000,nan,1,0,4055194,env,120,1.000,9.084,3649467.733,nan,1,0,3765721,32.133,95.150,3084181504.000,3075207168.000,28.963,28.905,nan,nan,25,0
figlet,60,1.000,6.775,3445248.000,nan,1,0,4662083,shasum,120,1.000,8.674,10324309.333,nan,1,0,3499047,env,120,1.000,8.480,3451886.933,nan,1,0,3386002,31.200,91.750,3091347456.000,3080244224.000,29.008,28.937,nan,nan,30,0
figlet,60,1.000,6.563,10059093.333,nan,1,0,5496477,shasum,120,1.000,8.118,10333696.000,nan,1,0,4201410,env,120,1.000,8.116,3365888.000,nan,1,0,4065617,32.200,89.950,3089137664.000,3080777728.000,28.998,28.945,nan,nan,30,0
figlet,60,1.000,6.472,3359914.667,nan,1,0,4759398,shasum,120,1.000,7.389,10336426.667,nan,1,0,3879964,env,140,1.000,9.663,10347178.667,nan,1,0,3702472,31.800,89.817,3099631616.000,3090103296.000,29.066,29.005,nan,nan,30,0
figlet,60,1.000,7.162,10021717.333,nan,1,0,5196889,shasum,120,1.000,9.405,10700970.667,nan,2,0,4129312,env,140,1.000,10.475,3422720.000,nan,2,0,4139675,32.133,89.117,3085271040.000,3073808384.000,28.936,28.862,nan,nan,30,0
figlet,60,1.000,7.018,3416507.733,nan,1,0,4609263,shasum,120,1.000,8.773,10345130.667,nan,1,0,3545463,env,140,1.000,10.152,3286135.467,nan,1,0,3521786,32.933,97.350,3085215744.000,3077733376.000,28.936,28.887,nan,nan,25,0
figlet,60,1.000,6.554,10015061.333,nan,1,0,4584863,shasum,120,1.000,8.266,10316629.333,nan,1,0,3632967,env,160,1.000,10.801,3381930.667,nan,1,0,3507075,31.933,96.450,3115538432.000,3103367680.000,29.120,29.043,nan,nan,30,0
