function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.052,5198984.533,nan,1,0,0,nmap,0,1.000,0.049,5362541.714,nan,1,0,0,env,120,1.000,9.653,9858633.143,nan,2,0,3515870,32.667,61.133,4694403072.000,4690918912.000,39.752,39.729,nan,nan,30,0
figlet,0,1.000,0.044,5096106.667,nan,1,0,0,nmap,0,1.000,0.045,5348391.010,nan,1,0,0,env,120,1.000,9.682,9983317.333,nan,2,0,3463976,32.267,59.583,4695803904.000,4691854848.000,39.762,39.736,nan,nan,30,0
figlet,0,1.000,0.049,5167445.333,nan,1,0,0,nmap,0,1.000,0.050,5420373.333,nan,1,0,0,env,140,1.000,11.731,9730901.333,nan,2,0,3565881,32.267,63.883,4693839872.000,4691542016.000,39.749,39.734,nan,nan,30,0
figlet,0,1.000,0.049,5238784.000,nan,1,0,0,nmap,0,1.000,0.048,5449386.667,nan,1,0,0,env,140,1.000,11.728,9968298.667,nan,2,0,3799219,33.600,65.583,4711987200.000,4711604224.000,39.860,39.858,nan,nan,30,0
figlet,0,1.000,0.057,5290325.333,nan,1,0,0,nmap,0,1.000,0.055,5520042.667,nan,1,0,0,env,140,1.000,11.633,9961301.333,nan,2,0,3686912,35.800,70.733,4723861504.000,4722966528.000,39.932,39.926,nan,nan,25,0
figlet,0,1.000,0.044,5439488.000,nan,1,0,0,nmap,0,1.000,0.045,5619507.200,nan,1,0,0,env,160,1.000,12.208,9844199.619,nan,2,0,3433564,33.267,68.317,4735299584.000,4723629568.000,40.001,39.929,nan,nan,30,0
figlet,0,1.000,0.051,5471744.000,nan,1,0,0,nmap,0,1.000,0.053,5534208.000,nan,1,0,0,env,160,1.000,12.843,9928704.000,nan,2,0,3679212,32.133,66.800,4718561280.000,4714670080.000,39.902,39.870,nan,nan,30,0
figlet,0,1.000,0.046,5393408.000,nan,1,0,0,nmap,0,1.000,0.042,5472256.000,nan,1,0,0,env,160,1.000,12.645,10043904.000,nan,2,0,3618731,32.467,67.750,4737380352.000,4720568320.000,39.964,39.862,nan,nan,30,0
figlet,0,1.000,0.049,5411840.000,nan,1,0,0,nmap,0,1.000,0.049,5493760.000,nan,1,0,0,env,180,1.000,13.736,10181290.667,nan,2,0,3600114,33.067,75.333,4724414464.000,4719332352.000,39.887,39.856,nan,nan,25,0
figlet,0,1.000,0.044,5442072.381,nan,1,0,0,nmap,0,1.000,0.047,5520764.343,nan,1,0,0,env,180,1.000,12.246,10239863.467,nan,2,0,3333686,31.533,70.500,4714694656.000,4697985536.000,39.830,39.728,nan,nan,30,0
figlet,0,1.000,0.048,5468842.667,nan,1,0,0,nmap,0,1.000,0.049,5546154.667,nan,1,0,0,env,180,1.000,14.355,3006464.000,nan,2,0,3409109,31.400,69.617,4694874112.000,4697854976.000,39.711,39.727,nan,nan,30,0
figlet,0,1.000,0.045,5416277.333,nan,1,0,0,nmap,0,1.000,0.048,5532330.667,nan,1,0,0,env,200,1.000,15.956,3326429.867,nan,2,0,3532152,32.800,74.183,4712501248.000,4705120768.000,39.817,39.771,nan,nan,30,0
figlet,0,1.000,0.049,5460309.333,nan,1,0,0,nmap,0,1.000,0.049,5547520.000,nan,1,0,0,env,200,1.000,16.246,10220202.667,nan,1,0,3769747,33.733,82.767,4711174144.000,4712795136.000,39.811,39.820,nan,nan,25,0
figlet,0,1.000,0.044,5487069.867,nan,1,0,0,nmap,0,1.000,0.046,5509120.000,nan,1,0,0,env,200,1.000,15.275,3465386.667,nan,2,0,3896959,34.200,82.033,4718315520.000,4707822080.000,39.855,39.791,nan,nan,30,0
figlet,0,1.000,0.049,5503136.914,nan,1,0,0,nmap,20,1.000,82.675,13471329.524,nan,2,0,95023205,env,0,1.000,0.058,9998336.000,nan,1,0,0,33.867,113.300,4707764224.000,4706623488.000,39.792,39.787,nan,nan,30,0
figlet,0,1.000,0.048,5386581.333,nan,1,0,0,nmap,20,1.000,79.854,16323754.667,nan,2,0,90628299,env,0,1.000,0.045,9998336.000,nan,1,0,0,35.600,108.867,4706066432.000,4707999232.000,39.794,39.804,nan,nan,30,0
figlet,0,1.000,0.052,5439146.667,nan,1,0,0,nmap,20,1.000,78.762,16255146.667,nan,2,0,90569584,env,0,1.000,0.045,8884224.000,nan,1,0,0,33.067,105.967,4708096000.000,4708400128.000,39.809,39.808,nan,nan,30,0
figlet,0,1.000,0.047,5484544.000,nan,1,0,0,nmap,20,1.000,81.171,17275733.333,nan,2,0,93459704,env,20,1.000,1.686,9370112.000,nan,1,0,4954983,34.867,122.767,4714846208.000,4718654464.000,39.858,39.880,nan,nan,25,0
figlet,0,1.000,0.050,5494272.000,nan,1,0,0,nmap,20,1.000,85.851,16077243.733,nan,2,0,94703706,env,20,1.000,1.780,10092397.714,nan,2,0,5964738,34.933,120.533,4724709376.000,4715884544.000,39.911,39.856,nan,nan,30,0
figlet,0,1.000,0.049,5426346.667,nan,1,0,0,nmap,20,1.000,84.331,16179882.667,nan,2,0,91556477,env,20,1.000,1.799,10168149.333,nan,2,0,4888416,35.667,115.750,4723677184.000,4713215488.000,39.907,39.841,nan,nan,30,0
figlet,0,1.000,0.048,5440170.667,nan,1,0,0,nmap,20,1.000,79.402,16498688.000,nan,2,0,93788133,env,40,1.000,3.303,3473408.000,nan,2,0,5540372,33.133,113.033,4716333056.000,4706335744.000,39.863,39.801,nan,nan,30,0
figlet,0,1.000,0.048,5423104.000,nan,1,0,0,nmap,20,1.000,79.343,16874154.667,nan,2,0,93506271,env,40,1.000,3.354,4057941.333,nan,1,0,5812583,34.867,127.033,4703995904.000,4705363968.000,39.793,39.801,nan,nan,25,0
figlet,0,1.000,0.047,5411810.743,nan,1,0,0,nmap,20,1.000,75.312,18500963.962,nan,2,0,97300759,env,40,1.000,3.036,3645644.800,nan,2,0,5413383,33.333,123.267,4702146560.000,4693153792.000,39.785,39.728,nan,nan,30,0
figlet,0,1.000,0.044,5340160.000,nan,1,0,0,nmap,20,1.000,84.097,17620309.333,nan,2,0,98219533,env,60,1.000,5.207,10143573.333,nan,2,0,5463319,34.400,123.850,4726478848.000,4720297472.000,39.931,39.891,nan,nan,30,0
figlet,0,1.000,0.053,5387434.667,nan,1,0,0,nmap,20,1.000,82.748,17001642.667,nan,2,0,107541896,env,60,1.000,5.293,10158592.000,nan,2,0,5803673,35.467,124.450,4734695424.000,4729768960.000,39.984,39.951,nan,nan,30,0
figlet,0,1.000,0.048,5398528.000,nan,1,0,0,nmap,20,1.000,80.497,3361143.467,nan,1,0,94178898,env,60,1.000,5.025,10309632.000,nan,1,0,5318387,36.067,133.700,4764016640.000,4759490048.000,40.163,40.134,nan,nan,25,0
figlet,0,1.000,0.048,5445412.571,nan,1,0,0,nmap,20,1.000,74.281,16813056.000,nan,2,0,99348278,env,80,1.000,6.775,10092851.200,nan,2,0,5350482,34.400,134.400,4744706048.000,4740056064.000,40.045,40.014,nan,nan,30,0
figlet,0,1.000,0.046,5490517.333,nan,1,0,0,nmap,20,1.000,84.412,17255936.000,nan,2,0,99869429,env,80,1.000,6.906,10223342.933,nan,2,0,5734832,33.133,131.183,4741820416.000,4737103872.000,40.030,39.998,nan,nan,30,0
figlet,0,1.000,0.063,5528576.000,nan,1,0,0,nmap,20,1.000,84.625,17482752.000,nan,2,0,104199755,env,80,1.000,7.004,2654208.000,nan,2,0,5694785,35.133,129.383,4748113920.000,4743528448.000,40.068,40.038,nan,nan,30,0
figlet,0,1.000,0.047,5485568.000,nan,1,0,0,nmap,20,1.000,74.145,17585800.533,nan,1,0,106297842,env,100,1.000,8.293,3215360.000,nan,2,0,5490683,33.800,143.867,4745523200.000,4739215872.000,40.046,40.008,nan,nan,70,0
figlet,0,1.000,0.044,5449591.467,nan,1,0,0,nmap,20,1.000,75.095,16925354.667,nan,2,0,101285072,env,100,1.000,7.812,10145060.571,nan,2,0,5368533,35.200,139.917,4757913600.000,4754134016.000,40.128,40.103,nan,nan,30,0
figlet,0,1.000,0.047,5480106.667,nan,1,0,0,nmap,20,1.000,84.638,16546206.476,nan,2,0,107075745,env,100,1.000,8.468,10101213.867,nan,2,0,5885553,34.800,142.167,4762757120.000,4755341312.000,40.157,40.110,nan,nan,30,0
figlet,0,1.000,0.044,5386240.000,nan,1,0,0,nmap,20,1.000,85.975,17996629.333,nan,1,0,107133408,env,120,1.000,10.180,10232490.667,nan,1,0,5328699,35.333,136.300,4653795328.000,4658411008.000,39.502,39.526,nan,nan,30,0
figlet,0,1.000,0.047,5475328.000,nan,1,0,0,nmap,20,1.000,81.048,17364309.333,nan,2,0,104532998,env,120,1.000,9.929,2920448.000,nan,2,0,5342330,34.200,128.650,4732499968.000,4736384512.000,39.964,39.987,nan,nan,75,0
figlet,0,1.000,0.045,5516629.333,nan,1,0,0,nmap,20,1.000,81.970,18817877.333,nan,1,0,102475661,env,120,1.000,9.768,5394090.667,nan,1,0,5326261,36.467,146.483,4724318208.000,4724134400.000,39.934,39.932,nan,nan,25,0
figlet,0,1.000,0.046,5484544.000,nan,1,0,0,nmap,20,1.000,77.318,3514743.467,nan,1,0,107777823,env,140,1.000,10.223,10018645.333,nan,2,0,5317971,34.333,145.983,4729036800.000,4718735360.000,39.951,39.888,nan,nan,30,0
figlet,0,1.000,0.042,5489503.086,nan,1,0,0,nmap,20,1.000,73.091,16261120.000,nan,2,0,107130536,env,140,1.000,11.775,10314922.667,nan,2,0,5468181,36.133,145.683,4678049792.000,4684114432.000,39.650,39.684,nan,nan,30,0
figlet,0,1.000,0.041,5472256.000,nan,1,0,0,nmap,20,1.000,86.963,17602389.333,nan,2,0,107257188,env,140,1.000,11.543,10345472.000,nan,2,0,5093964,31.933,136.900,4684974080.000,4689584640.000,39.681,39.710,nan,nan,60,0
figlet,0,1.000,0.042,5477376.000,nan,1,0,0,nmap,20,1.000,81.041,3646361.600,nan,2,0,105727181,env,160,1.000,12.143,10374656.000,nan,2,0,5316901,33.333,136.233,4719312896.000,4713450496.000,39.902,39.864,nan,nan,30,0
figlet,0,1.000,0.044,5320704.000,nan,1,0,0,nmap,20,1.000,80.650,18521941.333,nan,1,0,110194084,env,160,1.000,12.109,10300757.333,nan,1,0,5401089,35.200,151.583,4724369408.000,4727971328.000,39.933,39.954,nan,nan,25,0
figlet,0,1.000,0.049,5352877.105,nan,1,0,0,nmap,20,1.000,78.095,18140569.600,nan,2,0,120739865,env,160,1.000,11.718,10454357.333,nan,2,0,5956226,34.867,152.183,4724254720.000,4710023168.000,39.930,39.842,nan,nan,30,0
figlet,0,1.000,0.049,5384533.333,nan,1,0,0,nmap,20,1.000,91.179,3530581.333,nan,2,0,118726844,env,180,1.000,14.971,10276010.667,nan,2,0,5929795,36.467,153.133,4664563712.000,4660665344.000,39.575,39.549,nan,nan,30,0
figlet,0,1.000,0.041,5413717.333,nan,1,0,0,nmap,20,1.000,85.924,17637205.333,nan,2,0,118348517,env,180,1.000,14.023,3182592.000,nan,2,0,5971382,36.067,145.950,4683986944.000,4677298688.000,39.693,39.650,nan,nan,30,0
figlet,0,1.000,0.046,5358933.333,nan,1,0,0,nmap,20,1.000,78.009,18155861.333,nan,1,0,113108380,env,180,1.000,13.195,6564522.667,nan,2,0,5466169,34.800,155.383,4671780864.000,4669285376.000,39.609,39.594,nan,nan,70,0
figlet,0,1.000,0.047,5365760.000,nan,1,0,0,nmap,20,1.000,80.254,17699171.962,nan,2,0,121995386,env,200,1.000,14.503,3446749.867,nan,1,0,5872433,35.333,155.217,4702892032.000,4697103360.000,39.805,39.768,nan,nan,30,0
figlet,0,1.000,0.048,5366442.667,nan,1,0,0,nmap,20,1.000,87.373,17210880.000,nan,2,0,121562206,env,200,1.000,15.609,10347178.667,nan,2,0,5912332,33.467,151.267,4707493888.000,4703830528.000,39.835,39.810,nan,nan,30,0
