function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,70,1.000,9.228,3133440.000,nan,2,0,12011748,shasum,30,1.000,3.073,3268608.000,nan,2,0,10440044,nmap,40,1.000,156.309,3227648.000,nan,2,0,7017805702,35.067,238.133,2580875264.000,2850804121.600,22.869,24.505,nan,nan,10,0
figlet,70,1.000,8.496,2646016.000,nan,2,0,15195954,shasum,30,1.000,2.722,2945024.000,nan,2,0,13004622,nmap,40,1.000,151.167,286694741.333,nan,2,0,6543981442,44.067,218.550,2788104192.000,3059701760.000,24.177,25.808,nan,nan,25,0
figlet,70,1.000,8.349,3094308.571,nan,3,0,11674075,shasum,30,1.000,2.765,4338675.810,nan,2,0,9994712,nmap,40,1.000,160.254,89691704.889,nan,2,0,5522991038,39.067,202.033,2862764032.000,3047166976.000,24.650,25.748,nan,nan,25,0
figlet,70,1.000,8.099,4448256.000,nan,2,0,12369134,shasum,30,1.000,2.830,3400704.000,nan,2,0,11349037,nmap,50,0.997,188.167,376556803.413,nan,2,0,13285806756,40.933,244.000,2875650048.000,3303034880.000,24.730,27.288,nan,nan,20,0
figlet,70,1.000,9.253,4655445.333,nan,3,0,11299501,shasum,30,1.000,3.132,3317760.000,nan,3,0,9840721,nmap,50,0.989,142.840,64049152.000,nan,2,0,13222671879,51.400,247.453,2932998144.000,3231936921.600,25.088,26.881,nan,nan,45,0
figlet,70,1.000,9.187,6076416.000,nan,3,0,11515669,shasum,30,1.000,3.067,9938507.093,nan,2,0,10523539,nmap,50,0.999,190.062,533957368.686,nan,2,0,13315430045,36.133,237.760,2943520768.000,3392055296.000,25.145,27.833,nan,nan,70,0
figlet,70,1.000,8.677,4919842.133,nan,2,0,11954374,shasum,30,1.000,2.791,4433920.000,nan,2,0,10750961,nmap,60,0.921,192.197,244531143.111,nan,2,0,16356352682,31.867,270.444,2912712704.000,3331135488.000,24.950,27.472,nan,nan,130,0
figlet,70,1.000,7.561,3365273.600,nan,2,0,9084064,shasum,30,1.000,2.470,9304259.048,nan,2,0,8209878,nmap,60,0.469,121.045,191479076.571,nan,1,1,21698844814,31.733,207.751,2925402112.000,3122405083.429,25.031,26.219,nan,nan,115,1
figlet,70,1.000,8.233,5507584.000,nan,2,0,12226937,shasum,30,1.000,2.888,3756487.111,nan,2,0,10586483,nmap,60,0.971,189.677,374349824.000,nan,2,0,16931658796,31.600,269.622,2914414592.000,3552796672.000,24.975,28.819,nan,nan,130,0
figlet,70,1.000,7.085,3447102.578,nan,2,0,10931904,shasum,30,1.000,2.469,3293457.067,nan,2,0,9650239,nmap,70,0.681,186.583,304785544.533,nan,3,1,20705127356,32.867,267.467,2903566336.000,3297871579.429,24.918,27.301,nan,nan,160,1
figlet,70,1.000,8.698,3887468.089,nan,2,0,14888188,shasum,30,1.000,2.852,3953550.222,nan,2,0,12910998,nmap,70,0.746,188.499,269274862.933,nan,3,1,19512345214,32.067,270.922,2926458880.000,3366238549.333,25.062,27.719,nan,nan,115,1
figlet,70,1.000,7.574,7764053.333,nan,3,0,10127052,shasum,30,1.000,2.411,9115452.952,nan,2,0,8982193,nmap,70,0.332,108.722,234726019.657,nan,1,1,23567277956,33.333,200.457,2947295232.000,3222658486.857,25.190,26.855,nan,nan,225,1
figlet,70,1.000,9.018,9801045.333,nan,1,0,5173467,shasum,40,1.000,3.709,9161045.333,nan,1,0,4730295,nmap,0,1.000,0.050,3956394.667,nan,1,0,0,31.600,59.950,2881796096.000,2858444800.000,24.806,24.667,nan,nan,135,0
figlet,70,1.000,9.167,2826240.000,nan,2,0,5444789,shasum,40,1.000,3.854,3264768.000,nan,2,0,4998349,nmap,0,1.000,0.054,4191914.667,nan,1,0,0,34.733,73.600,2857570304.000,2858407936.000,24.673,24.679,nan,nan,25,0
figlet,70,1.000,11.177,7294634.667,nan,3,0,5111881,shasum,40,1.000,4.752,3411968.000,nan,3,0,4739955,nmap,0,1.000,0.053,4295850.667,nan,1,0,0,42.200,73.633,2875793408.000,2879743488.000,24.784,24.809,nan,nan,15,0
figlet,70,1.000,10.481,9562112.000,nan,4,0,5969538,shasum,40,1.000,4.661,4130816.000,nan,4,0,5651940,nmap,10,1.000,37.503,9608396.800,nan,1,0,96859026,46.867,114.347,2930659328.000,2956688384.000,25.126,25.288,nan,nan,15,0
figlet,70,1.000,9.203,9687040.000,nan,1,0,5608203,shasum,40,1.000,3.628,8089600.000,nan,1,0,5091315,nmap,10,1.000,41.211,3567616.000,nan,1,0,102679681,32.800,98.850,2936768512.000,2934997504.000,25.160,25.149,nan,nan,75,0
figlet,70,1.000,8.611,4313088.000,nan,2,0,6385627,shasum,40,1.000,3.619,2912256.000,nan,2,0,5991577,nmap,10,1.000,40.898,14381533.867,nan,1,0,117265161,33.333,111.667,2922235904.000,2928280576.000,25.026,25.063,nan,nan,220,0
figlet,70,1.000,9.141,9801557.333,nan,1,0,7002239,shasum,40,1.000,3.951,8781687.467,nan,1,0,6608108,nmap,20,1.000,78.916,16040686.933,nan,1,0,107567260,30.733,138.100,2943819776.000,2951597056.000,25.159,25.206,nan,nan,195,0
