function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,80,1.000,8.808,6437888.000,nan,1,0,4501358,shasum,120,1.000,8.726,6636714.667,nan,1,0,3618327,env,40,1.000,2.974,6294357.333,nan,1,0,3293050,30.333,87.500,2883268608.000,2895002624.000,28.243,28.314,nan,nan,10,0
figlet,80,1.000,9.026,3321856.000,nan,2,0,4645504,shasum,120,1.000,8.778,3398587.733,nan,2,0,3673125,env,40,1.000,2.918,3291818.667,nan,1,0,3462362,30.933,80.867,3020050432.000,3014182400.000,29.083,29.044,nan,nan,35,0
figlet,80,1.000,8.537,3557624.686,nan,1,0,4821104,shasum,120,1.000,8.432,3520073.143,nan,1,0,3814682,env,40,1.000,2.863,3402513.067,nan,1,0,4241988,34.733,82.017,3076022272.000,3071262208.000,29.436,29.405,nan,nan,30,0
figlet,80,1.000,8.894,9505996.800,nan,2,0,4964193,shasum,120,1.000,8.460,3471616.000,nan,1,0,4265725,env,60,1.000,4.012,9594470.400,nan,2,0,4296944,33.267,91.367,3071754240.000,3059450368.000,29.405,29.328,nan,nan,40,0
figlet,80,1.000,9.269,3503786.667,nan,2,0,5152775,shasum,120,1.000,8.962,3419989.333,nan,2,0,4021121,env,60,1.000,4.633,3463543.467,nan,2,0,3784455,33.267,89.667,3082764288.000,3088564736.000,29.476,29.510,nan,nan,30,0
figlet,80,1.000,9.011,9853440.000,nan,2,0,4912784,shasum,120,1.000,8.835,3490952.533,nan,2,0,4323698,env,60,1.000,4.700,3405619.200,nan,2,0,4369974,33.667,87.850,3117453312.000,3119985664.000,29.685,29.700,nan,nan,30,0
figlet,80,1.000,8.612,9894912.000,nan,1,0,4529502,shasum,120,1.000,8.457,10318165.333,nan,1,0,3784360,env,80,1.000,5.692,9718954.667,nan,1,0,3480991,34.333,86.567,3143677952.000,3140730880.000,29.846,29.828,nan,nan,30,0
figlet,80,1.000,8.535,3235669.333,nan,1,0,4980139,shasum,120,1.000,7.996,10285056.000,nan,1,0,3728196,env,80,1.000,5.774,9905761.524,nan,1,0,3872677,34.733,84.133,3149856768.000,3136061440.000,29.886,29.798,nan,nan,45,0
figlet,80,1.000,8.371,3601920.000,nan,1,0,4517829,shasum,120,1.000,8.687,3471872.000,nan,2,0,3806950,env,80,1.000,5.498,3353019.733,nan,2,0,3577649,31.800,91.517,3169603584.000,3158306816.000,30.004,29.933,nan,nan,40,0
figlet,80,1.000,9.232,3317760.000,nan,2,0,4993066,shasum,120,1.000,8.816,3616358.400,nan,2,0,4086186,env,100,1.000,7.303,2744320.000,nan,2,0,3875818,34.733,95.483,3170877440.000,3169198592.000,30.018,30.007,nan,nan,30,0
