function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,80,1.000,9.371,6631082.667,nan,1,0,11813439,shasum,120,1.000,9.359,6410410.667,nan,1,0,10161549,curl,160,1.000,71.619,50393941.333,nan,1,0,613243776,32.600,177.550,3359344640.000,3419195392.000,35.762,36.126,nan,nan,10,0
figlet,80,1.000,9.355,9955566.933,nan,1,0,11995183,shasum,120,1.000,9.054,3960376.889,nan,1,0,10207039,curl,160,1.000,65.329,62658374.705,nan,1,0,747464561,35.933,201.333,3552088064.000,3574483968.000,36.969,37.098,nan,nan,40,0
figlet,80,1.000,8.713,3714099.200,nan,1,0,11523642,shasum,120,1.000,8.458,3645013.333,nan,1,0,9883491,curl,160,1.000,74.442,66062555.429,nan,1,0,585288899,34.533,191.817,3602714624.000,3635509248.000,37.282,37.476,nan,nan,30,0
figlet,80,1.000,9.944,10204330.667,nan,2,0,12708158,shasum,120,1.000,9.938,9913685.333,nan,2,0,11316436,curl,180,1.000,78.760,74332842.667,nan,2,0,3204055894,35.333,187.500,3666466816.000,3734735872.000,37.668,38.081,nan,nan,30,0
figlet,80,1.000,8.830,10106197.333,nan,1,0,13888004,shasum,120,1.000,9.014,10141588.724,nan,1,0,12628230,curl,180,0.999,66.433,67725433.905,nan,1,0,4800960883,31.333,189.083,3736803328.000,3805613056.000,38.103,38.528,nan,nan,80,0
figlet,80,1.000,10.442,10249557.333,nan,2,0,14051826,shasum,120,1.000,10.164,3223552.000,nan,2,0,12503532,curl,180,0.999,70.360,89422916.267,nan,2,0,5528550559,36.182,227.790,3843227648.000,3875905536.000,38.766,38.966,nan,nan,70,0
figlet,80,1.000,10.872,2945024.000,nan,2,0,15549641,shasum,120,1.000,10.795,3139584.000,nan,2,0,15109661,curl,200,1.000,84.603,3223552.000,nan,2,0,8275020431,33.333,222.467,3830294528.000,3917107609.600,38.704,39.234,nan,nan,80,0
figlet,80,1.000,8.825,10476235.175,nan,2,0,9441040,shasum,120,1.000,8.806,10132414.984,nan,2,0,7798632,curl,200,0.678,40.142,68513528.686,nan,1,1,16705597243,31.267,158.089,3811497984.000,3854625792.000,38.619,38.885,nan,nan,135,1
figlet,80,1.000,10.343,9566481.067,nan,2,0,16242476,shasum,120,1.000,10.257,10225527.467,nan,2,0,14375210,curl,200,1.000,82.629,3272704.000,nan,2,0,6974544960,31.400,238.213,3855917056.000,3940988108.800,38.666,39.202,nan,nan,165,0
figlet,80,1.000,10.025,9841152.000,nan,1,0,4708459,shasum,140,1.000,11.067,9967469.714,nan,1,0,3799668,curl,0,1.000,0.055,31155200.000,nan,1,0,0,28.800,76.485,3864016896.000,3803965952.000,38.761,38.403,nan,nan,125,0
figlet,80,1.000,10.005,10497706.667,nan,1,0,5036478,shasum,140,1.000,11.864,3692885.333,nan,1,0,4104963,curl,0,1.000,0.042,27643904.000,nan,1,0,0,35.333,82.400,3730331648.000,3737129984.000,37.981,38.021,nan,nan,30,0
figlet,80,1.000,9.948,10439850.667,nan,1,0,5149595,shasum,140,1.000,11.827,3419033.600,nan,1,0,4211957,curl,0,1.000,0.053,25198592.000,nan,1,0,0,34.533,89.733,3749230592.000,3746347008.000,38.096,38.078,nan,nan,25,0
figlet,80,1.000,9.177,10438314.667,nan,1,0,5829660,shasum,140,1.000,11.075,3512627.200,nan,1,0,4731397,curl,20,1.000,10.698,27015850.667,nan,1,0,381922822,33.267,103.733,3753398272.000,3757916160.000,38.120,38.147,nan,nan,30,0
figlet,80,1.000,10.344,10452967.619,nan,1,0,5599971,shasum,140,1.000,11.132,3349794.133,nan,1,0,4621436,curl,20,1.000,11.721,3432396.800,nan,1,0,378806228,37.200,102.617,3789365248.000,3788718080.000,38.341,38.336,nan,nan,30,0
figlet,80,1.000,10.227,10509141.333,nan,1,0,5897162,shasum,140,1.000,12.302,10515626.667,nan,1,0,4847651,curl,20,1.000,11.601,3357610.667,nan,1,0,381275135,35.733,102.517,3814481920.000,3812945408.000,38.494,38.483,nan,nan,30,0
figlet,80,1.000,9.535,10446848.000,nan,1,0,6430373,shasum,140,1.000,11.507,10537642.667,nan,1,0,5254074,curl,40,1.000,21.798,30505642.667,nan,1,0,382778832,30.400,122.833,3749699584.000,3754086400.000,38.094,38.121,nan,nan,70,0
figlet,80,1.000,10.113,3528476.444,nan,1,0,6278002,shasum,140,1.000,10.733,3434359.467,nan,1,0,5122824,curl,40,1.000,23.473,3576354.133,nan,1,0,385291961,33.867,120.317,3776397312.000,3767190528.000,38.271,38.210,nan,nan,45,0
figlet,80,1.000,9.795,3481964.089,nan,1,0,5882796,shasum,140,1.000,11.691,3658001.067,nan,1,0,4703247,curl,40,1.000,22.260,31539541.333,nan,1,0,380233098,34.267,110.726,3780055040.000,3772754432.000,38.294,38.245,nan,nan,45,0
figlet,80,1.000,9.676,10532864.000,nan,1,0,6416152,shasum,140,1.000,10.685,3571370.667,nan,1,0,5331455,curl,60,1.000,31.368,3625267.200,nan,1,0,381130735,36.333,139.083,3810166784.000,3814228992.000,38.476,38.492,nan,nan,25,0
figlet,80,1.000,8.950,3594922.667,nan,1,0,6634563,shasum,140,1.000,10.709,3513002.667,nan,1,0,5474005,curl,60,1.000,29.699,3363384.889,nan,1,0,381592308,37.067,135.250,3854211072.000,3826488832.000,38.691,38.520,nan,nan,45,0
figlet,80,1.000,9.851,3477868.089,nan,1,0,6426874,shasum,140,1.000,11.335,3215724.089,nan,1,0,5126121,curl,60,1.000,33.546,3380019.200,nan,1,0,378191646,34.200,126.117,3809198080.000,3801826304.000,38.423,38.375,nan,nan,45,0
