function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,130,1.000,14.087,6664021.333,nan,1,0,10559037,shasum,190,1.000,13.085,6673749.333,nan,1,0,9294293,nmap,30,1.000,108.026,190732629.333,nan,1,0,5678111828,30.800,185.033,2634334208.000,2849857536.000,22.680,23.978,nan,nan,10,0
figlet,130,1.000,13.562,3543040.000,nan,1,0,12490182,shasum,190,1.000,13.056,10260138.667,nan,1,0,11932756,nmap,30,1.000,112.435,259358208.000,nan,1,0,5932660809,29.000,208.750,2850553856.000,3086245376.000,24.031,25.440,nan,nan,65,0
figlet,130,1.000,14.236,10916693.333,nan,1,0,11018093,shasum,190,1.000,13.571,3653632.000,nan,1,0,9528841,nmap,30,1.000,109.197,200802133.333,nan,1,0,5358843854,32.600,210.633,2858117120.000,3049299968.000,24.067,25.214,nan,nan,70,0
figlet,130,1.000,14.937,10974822.400,nan,2,0,10472702,shasum,190,1.000,14.669,3366912.000,nan,2,0,10879954,nmap,40,0.998,139.216,3336192.000,nan,2,0,13243460917,33.133,230.067,2945095680.000,3212081971.200,24.619,26.214,nan,nan,45,0
figlet,130,1.000,13.869,10941895.111,nan,2,0,9878563,shasum,190,1.000,13.449,3230378.667,nan,2,0,8682869,nmap,40,0.857,112.385,3760128.000,nan,2,1,17201119883,31.067,218.244,2927747072.000,3168675157.333,24.511,25.962,nan,nan,75,1
figlet,130,1.000,14.878,11100378.453,nan,2,0,14172966,shasum,190,1.000,13.928,12447584.061,nan,2,0,11329563,nmap,40,0.990,118.270,2678784.000,nan,2,0,14888036768,28.533,234.240,2966474752.000,3339316019.200,24.765,26.999,nan,nan,50,0
figlet,130,1.000,13.980,10838449.006,nan,2,0,11904327,shasum,190,1.000,14.181,12176206.507,nan,2,0,9990264,nmap,50,0.843,135.236,449529118.720,nan,2,1,18145315476,27.333,232.160,2997987328.000,3447529062.400,24.947,27.651,nan,nan,120,1
figlet,130,1.000,13.739,3366912.000,nan,2,0,11339777,shasum,190,1.000,12.943,3168938.667,nan,2,0,9832524,nmap,50,0.923,152.698,145555456.000,nan,2,0,19374975456,32.133,249.289,2983714816.000,3405049514.667,24.888,27.429,nan,nan,175,0
figlet,130,1.000,13.531,11237405.257,nan,2,0,12305792,shasum,190,1.000,13.644,12417456.356,nan,2,0,10773545,nmap,50,0.733,123.677,332834816.000,nan,3,1,20503831857,32.467,235.178,2960842752.000,3396401493.333,24.748,27.369,nan,nan,125,1
figlet,130,1.000,14.140,11349674.667,nan,1,0,5197071,shasum,200,1.000,15.168,11914888.533,nan,1,0,4190133,nmap,0,1.000,0.044,44106922.667,nan,1,0,0,28.600,97.717,3001020416.000,2984579072.000,25.007,24.909,nan,nan,135,0
figlet,130,1.000,16.297,11358549.333,nan,1,0,5596696,shasum,200,1.000,15.941,12557824.000,nan,1,0,4584431,nmap,0,1.000,0.049,44038656.000,nan,1,0,0,33.267,104.100,2979250176.000,2976113664.000,24.889,24.869,nan,nan,30,0
figlet,130,1.000,16.198,11262293.333,nan,1,0,5201400,shasum,200,1.000,16.398,12585984.000,nan,1,0,4261545,nmap,0,1.000,0.056,28683605.333,nan,1,0,0,33.333,111.733,2995544064.000,2998054400.000,24.988,25.003,nan,nan,25,0
figlet,130,1.000,13.425,11300352.000,nan,1,0,5460371,shasum,200,1.000,13.225,12710229.333,nan,1,0,4523905,nmap,10,1.000,39.771,29679445.333,nan,1,0,121758100,31.667,137.167,2980859904.000,2984960000.000,24.894,24.920,nan,nan,75,0
figlet,130,1.000,12.640,11153578.667,nan,1,0,5450890,shasum,200,1.000,12.713,12748049.067,nan,1,0,4552372,nmap,10,1.000,37.485,30274389.333,nan,1,0,119853585,30.733,131.933,2992109568.000,2997324288.000,24.972,25.003,nan,nan,75,0
figlet,130,1.000,13.103,11353868.190,nan,1,0,5481615,shasum,200,1.000,12.130,12591923.200,nan,1,0,4456563,nmap,10,1.000,33.440,29250803.810,nan,1,0,118870922,28.067,126.283,2958139392.000,2960738304.000,24.771,24.787,nan,nan,75,0
figlet,130,1.000,13.470,11309568.000,nan,1,0,7371834,shasum,200,1.000,13.671,12673877.333,nan,1,0,6550822,nmap,20,1.000,81.257,32793941.333,nan,1,0,146402954,27.333,176.283,2995548160.000,3005336576.000,24.998,25.057,nan,nan,70,0
