function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,70,1.000,8.615,6479018.667,nan,1,0,5666137,shasum,50,1.000,4.511,6209024.000,nan,1,0,5117349,nmap,10,1.000,39.334,9306112.000,nan,1,0,101618054,31.933,106.983,2567393280.000,2576800256.000,22.925,22.985,nan,nan,10,0
figlet,70,1.000,8.707,3511808.000,nan,2,0,5965301,shasum,50,1.000,4.489,9484117.333,nan,2,0,5450481,nmap,10,1.000,39.768,3246865.067,nan,1,0,99193406,33.667,111.850,2688989184.000,2694255104.000,23.686,23.714,nan,nan,45,0
figlet,70,1.000,7.677,3477504.000,nan,1,0,5744115,shasum,50,1.000,4.467,9421073.067,nan,1,0,5055537,nmap,10,1.000,37.375,15391709.867,nan,1,0,99062571,30.933,100.350,2747754496.000,2737485824.000,24.036,23.974,nan,nan,75,0
figlet,70,1.000,8.963,3445009.067,nan,1,0,7018720,shasum,50,1.000,4.699,9527296.000,nan,1,0,6270145,nmap,20,1.000,76.082,16218736.152,nan,1,0,111971368,36.333,136.400,2785949696.000,2781537792.000,24.280,24.249,nan,nan,45,0
figlet,70,1.000,8.689,3662682.210,nan,2,0,7553360,shasum,50,1.000,4.545,3524437.333,nan,2,0,6981270,nmap,20,1.000,82.652,17621162.667,nan,1,0,113615481,34.800,153.167,2800412672.000,2801637376.000,24.370,24.374,nan,nan,40,0
figlet,70,1.000,8.541,3637248.000,nan,1,0,6891422,shasum,50,1.000,4.399,9693184.000,nan,1,0,6320745,nmap,20,1.000,79.329,3633152.000,nan,1,0,106086648,33.400,143.933,2818224128.000,2823389184.000,24.472,24.504,nan,nan,75,0
figlet,70,1.000,7.518,3711590.400,nan,1,0,10275873,shasum,50,1.000,3.857,3540348.343,nan,1,0,9386907,nmap,30,1.000,124.223,34394112.000,nan,1,0,327753861,34.667,183.600,2852009984.000,2858654720.000,24.693,24.728,nan,nan,45,0
figlet,70,1.000,9.174,10385066.667,nan,1,0,9213100,shasum,50,1.000,4.665,9763498.667,nan,1,0,8293865,nmap,30,1.000,130.627,23395840.000,nan,1,0,124158578,32.200,165.800,2790885376.000,2801329664.000,24.315,24.377,nan,nan,75,0
figlet,70,1.000,8.846,3120435.200,nan,2,0,9682308,shasum,50,1.000,4.582,3518327.467,nan,1,0,8437357,nmap,30,1.000,125.226,3431185.067,nan,2,0,164440708,31.933,194.250,2841346048.000,2846807552.000,24.635,24.662,nan,nan,40,0
figlet,70,1.000,8.145,10218154.667,nan,2,0,10973584,shasum,50,1.000,4.299,9876309.333,nan,2,0,9854336,nmap,40,1.000,141.073,3375650.133,nan,2,0,6209775793,34.400,206.833,2871568384.000,3118840832.000,24.817,26.301,nan,nan,30,0
figlet,70,1.000,9.280,3567616.000,nan,2,0,11440988,shasum,50,1.000,4.694,3031040.000,nan,2,0,10264206,nmap,40,0.999,163.428,378679861.638,nan,2,0,6573975413,35.267,232.613,2938308608.000,3270554009.600,25.223,27.222,nan,nan,70,0
figlet,70,1.000,8.559,10119680.000,nan,1,0,10889934,shasum,50,1.000,4.636,9860096.000,nan,1,0,9890763,nmap,40,0.999,153.086,292975104.000,nan,1,0,5687735119,34.400,187.117,2946856960.000,3181310464.000,25.290,26.692,nan,nan,60,0
figlet,70,1.000,8.910,2936832.000,nan,2,0,10870502,shasum,50,1.000,4.629,9225420.800,nan,2,0,9672744,nmap,50,0.999,175.214,366554726.400,nan,2,0,11415581717,29.400,245.307,2943432704.000,3263728844.800,25.286,27.211,nan,nan,140,0
figlet,70,1.000,8.150,4335616.000,nan,3,0,10628920,shasum,50,1.000,4.345,3405824.000,nan,3,0,9343985,nmap,50,0.941,153.952,175214592.000,nan,2,0,14608191197,30.933,235.878,2940788736.000,3362201941.333,25.259,27.798,nan,nan,135,0
figlet,70,1.000,8.572,3283626.667,nan,3,0,11181057,shasum,50,1.000,4.484,3033770.667,nan,3,0,10351989,nmap,50,0.983,168.220,470249472.000,nan,2,0,14352111708,30.000,242.556,2942304256.000,3443452928.000,25.277,28.297,nan,nan,140,0
figlet,70,1.000,8.155,3449344.000,nan,2,0,11244846,shasum,50,1.000,4.630,9878869.333,nan,2,0,9714447,nmap,60,0.892,182.738,377048576.000,nan,2,1,16224648589,30.333,269.844,2946729984.000,3481773056.000,25.315,28.532,nan,nan,125,1
figlet,70,1.000,8.547,9947818.667,nan,2,0,11299283,shasum,50,1.000,4.612,3366400.000,nan,2,0,9257601,nmap,60,0.913,188.947,587188224.000,nan,2,0,16977565276,28.867,274.111,2932396032.000,3504802816.000,25.238,28.688,nan,nan,185,0
figlet,70,1.000,8.578,3260416.000,nan,2,0,12059621,shasum,50,1.000,4.827,9058599.822,nan,2,0,9829066,nmap,60,0.897,163.033,3297280.000,nan,2,1,18237902110,32.133,250.456,2907416576.000,3364183722.667,25.049,27.796,nan,nan,220,1
figlet,70,1.000,7.930,8778752.000,nan,1,0,4846496,shasum,60,1.000,4.832,8372224.000,nan,1,0,4221967,nmap,0,1.000,0.048,4275029.333,nan,1,0,0,31.267,64.150,2881544192.000,2850023936.000,24.892,24.704,nan,nan,270,0
figlet,70,1.000,9.125,3300010.667,nan,1,0,4918881,shasum,60,1.000,5.635,10054997.333,nan,1,0,4244476,nmap,0,1.000,0.050,4496213.333,nan,1,0,0,31.400,64.467,2919266304.000,2918283264.000,25.128,25.119,nan,nan,45,0
figlet,70,1.000,8.957,3425126.400,nan,1,0,5151422,shasum,60,1.000,5.327,10060458.667,nan,2,0,4459658,nmap,0,1.000,0.052,4720640.000,nan,1,0,0,35.800,76.433,2943541248.000,2953460224.000,25.276,25.335,nan,nan,25,0
figlet,70,1.000,8.423,3223552.000,nan,2,0,5555488,shasum,60,1.000,5.018,9774080.000,nan,2,0,5047549,nmap,10,1.000,39.693,10941610.667,nan,1,0,99083030,30.200,108.833,2944696320.000,2959983104.000,25.274,25.370,nan,nan,150,0
figlet,70,1.000,7.649,10027295.695,nan,1,0,5705233,shasum,60,1.000,5.115,8623138.133,nan,1,0,4943331,nmap,10,1.000,42.868,13384416.305,nan,1,0,100640738,30.133,99.683,2920816640.000,2920710656.000,25.145,25.144,nan,nan,180,0
figlet,70,1.000,8.565,3145728.000,nan,2,0,5688845,shasum,60,1.000,5.318,3735552.000,nan,2,0,5123199,nmap,10,1.000,41.085,3416064.000,nan,1,0,108755461,34.200,112.517,2945480704.000,2943937536.000,25.296,25.288,nan,nan,70,0
figlet,70,1.000,7.718,8645120.000,nan,1,0,6906338,shasum,60,1.000,5.207,8492885.333,nan,1,0,6364252,nmap,20,1.000,72.600,13965516.800,nan,1,0,110415857,31.733,140.783,2911860736.000,2892004352.000,25.102,24.984,nan,nan,330,0
figlet,70,1.000,9.151,9417557.333,nan,2,0,7196074,shasum,60,1.000,5.565,8894805.333,nan,2,0,6495352,nmap,20,1.000,85.585,15783936.000,nan,2,0,112210047,31.267,155.717,2947000320.000,2951343104.000,25.313,25.340,nan,nan,250,0
figlet,70,1.000,8.147,3328000.000,nan,1,0,7058229,shasum,60,1.000,4.783,10066397.867,nan,1,0,6423450,nmap,20,1.000,79.411,3481600.000,nan,1,0,106681456,31.667,144.317,2947059712.000,2956149760.000,25.316,25.372,nan,nan,75,0
figlet,70,1.000,8.444,8897160.533,nan,1,0,9397384,shasum,60,1.000,5.555,8529749.333,nan,1,0,8334336,nmap,30,1.000,121.320,18150692.571,nan,1,0,140807590,32.733,174.400,2940745728.000,2949680128.000,25.282,25.337,nan,nan,270,0
figlet,70,1.000,8.736,3317760.000,nan,2,0,10295390,shasum,60,1.000,5.437,10021546.667,nan,2,0,9245570,nmap,30,1.000,128.559,3735552.000,nan,2,0,271229202,31.933,194.633,2938552320.000,2959510016.000,25.273,25.399,nan,nan,70,0
figlet,70,1.000,7.985,8798120.229,nan,1,0,9115700,shasum,60,1.000,5.117,8510210.438,nan,1,0,8204377,nmap,30,1.000,120.482,22145204.419,nan,1,0,131662073,30.267,173.600,2910709760.000,2915004416.000,25.110,25.136,nan,nan,285,0
figlet,70,1.000,8.143,10271573.333,nan,2,0,10940272,shasum,60,1.000,5.301,8927232.000,nan,2,0,9755596,nmap,40,0.999,139.280,283216725.333,nan,2,0,6928663942,30.200,205.617,2942654464.000,3288117760.000,25.301,27.372,nan,nan,205,0
figlet,70,1.000,9.180,3219456.000,nan,2,0,11464107,shasum,60,1.000,5.796,8888456.533,nan,2,0,9721249,nmap,40,1.000,162.259,370136814.933,nan,2,0,7214064067,31.333,227.720,2926157824.000,3317348352.000,25.196,27.546,nan,nan,280,0
figlet,70,1.000,8.369,9050624.000,nan,2,0,11713952,shasum,60,1.000,5.403,8643754.667,nan,2,0,10430517,nmap,40,1.000,145.153,241269760.000,nan,2,0,6938231889,31.867,207.250,2941753344.000,3229612544.000,25.305,27.028,nan,nan,295,0
figlet,70,1.000,9.172,3033088.000,nan,2,0,11962271,shasum,60,1.000,5.853,3006464.000,nan,2,0,10475343,nmap,50,0.991,172.583,2863104.000,nan,2,0,12869938981,31.800,246.787,2944026624.000,3353464832.000,25.328,27.784,nan,nan,365,0
figlet,70,1.000,8.866,4435968.000,nan,3,0,11517474,shasum,60,1.000,5.635,8860330.667,nan,3,0,10161240,nmap,50,0.999,157.314,2666496.000,nan,2,0,13747415223,30.400,240.293,2940966912.000,3473537024.000,25.323,28.512,nan,nan,300,0
figlet,70,1.000,8.258,3248128.000,nan,2,0,10983382,shasum,60,1.000,5.154,3325952.000,nan,2,0,9328844,nmap,50,0.882,145.749,402575360.000,nan,2,1,15816234671,32.067,229.644,2942126080.000,3276142933.333,25.314,27.323,nan,nan,255,1
figlet,70,1.000,8.498,3227648.000,nan,2,0,13091629,shasum,60,1.000,5.353,8879104.000,nan,2,0,11842872,nmap,60,0.954,172.552,475598574.933,nan,3,0,18573686355,29.533,264.322,2941343744.000,3442323114.667,25.319,28.328,nan,nan,330,0
figlet,70,1.000,7.442,3373829.689,nan,2,0,9932266,shasum,60,1.000,4.712,3238400.000,nan,2,0,9109198,nmap,60,0.516,132.996,381230592.000,nan,2,1,21169218575,30.200,229.686,2945067008.000,3362093348.571,25.361,27.857,nan,nan,365,1
