function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,200,1.000,20.415,7244629.333,nan,1,0,26096557,shasum,80,1.000,6.481,6460928.000,nan,1,0,13422530,curl,180,0.999,62.819,67154261.333,nan,1,0,6721926360,27.800,182.983,3757832192.000,3907270656.000,36.009,36.927,nan,nan,10,0
figlet,200,1.000,22.574,11599052.800,nan,2,0,22053621,shasum,80,1.000,7.019,3026944.000,nan,2,0,11614672,curl,180,1.000,62.101,73845063.680,nan,3,0,9724907281,36.533,225.267,4247187456.000,4241799987.200,39.063,39.030,nan,nan,35,0
figlet,200,1.000,22.290,12026880.000,nan,2,0,14566091,shasum,80,1.000,6.716,3411763.200,nan,2,0,9595427,curl,180,0.691,39.012,3566933.333,nan,1,1,18109797733,37.400,182.167,4293355520.000,4273847296.000,39.344,39.222,nan,nan,60,1
figlet,200,1.000,22.584,11707460.267,nan,2,0,35947342,shasum,80,1.000,7.382,9147869.867,nan,2,0,20169767,curl,200,0.999,69.370,61385386.667,nan,2,0,10072094031,32.000,224.587,4237953024.000,4237685145.600,38.991,39.008,nan,nan,125,0
figlet,200,1.000,22.064,3309568.000,nan,2,0,32272964,shasum,80,1.000,7.012,9854784.853,nan,2,0,14522205,curl,200,1.000,69.446,2727936.000,nan,3,0,9944516582,30.733,232.855,4163250176.000,4305990860.800,38.561,39.438,nan,nan,135,0
figlet,200,1.000,23.210,12758220.800,nan,2,0,25526060,shasum,80,1.000,7.261,10242867.200,nan,2,0,12016623,curl,200,1.000,74.898,91484979.200,nan,2,0,9640246736,31.533,223.720,4265482240.000,4290171289.600,39.194,39.349,nan,nan,125,0
figlet,200,1.000,21.868,12398362.819,nan,2,0,4503628,shasum,100,1.000,7.625,3162112.000,nan,2,0,4229495,curl,0,1.000,0.044,3930019.352,nan,1,0,0,30.867,95.267,4241930240.000,4149583360.000,39.045,38.496,nan,nan,135,0
figlet,200,1.000,21.637,12433408.000,nan,2,0,4561392,shasum,100,1.000,7.956,8819541.333,nan,2,0,4337137,curl,0,1.000,0.041,4172288.000,nan,1,0,0,32.733,93.133,4033431552.000,4018736128.000,37.816,37.726,nan,nan,30,0
figlet,200,1.000,21.082,12598442.667,nan,2,0,4463105,shasum,100,1.000,7.725,4737092.267,nan,2,0,4024324,curl,0,1.000,0.045,4357973.333,nan,1,0,0,32.800,93.100,4031352832.000,4030664704.000,37.806,37.798,nan,nan,30,0
figlet,200,1.000,21.090,12452864.000,nan,2,0,5695646,shasum,100,1.000,7.706,10550442.667,nan,2,0,4776628,curl,20,1.000,10.219,3276800.000,nan,2,0,372790669,33.000,105.583,4066424832.000,4072405504.000,38.017,38.053,nan,nan,30,0
figlet,200,1.000,20.693,12459690.667,nan,1,0,6875069,shasum,100,1.000,7.641,10582528.000,nan,1,0,5184985,curl,20,1.000,10.496,5426492.952,nan,2,0,377662060,33.867,116.983,4094291968.000,4096756736.000,38.196,38.210,nan,nan,25,0
figlet,200,1.000,20.098,3506346.667,nan,2,0,5248678,shasum,100,1.000,7.415,10608030.476,nan,2,0,4818141,curl,20,1.000,9.725,3549525.333,nan,2,0,382676484,33.267,113.217,4101144576.000,4079207424.000,38.237,38.101,nan,nan,30,0
figlet,200,1.000,22.668,12652885.333,nan,2,0,6894242,shasum,100,1.000,8.546,3399680.000,nan,2,0,5680866,curl,40,1.000,21.926,2785280.000,nan,2,0,377934248,35.933,130.217,4091838464.000,4082757120.000,38.184,38.124,nan,nan,30,0
figlet,200,1.000,22.529,12591786.667,nan,2,0,8102147,shasum,100,1.000,8.402,3149824.000,nan,2,0,6302568,curl,40,1.000,20.911,3221845.333,nan,2,0,384910898,36.267,129.533,4127604736.000,4123940352.000,38.406,38.380,nan,nan,30,0
figlet,200,1.000,22.092,12478668.800,nan,1,0,7699740,shasum,100,1.000,8.116,4831232.000,nan,1,0,6080623,curl,40,1.000,21.604,21860522.667,nan,1,0,380961761,35.400,139.300,4124921856.000,4128035840.000,38.389,38.408,nan,nan,25,0
figlet,200,1.000,21.760,12608087.771,nan,2,0,9817049,shasum,100,1.000,8.054,10660556.800,nan,2,0,6964197,curl,60,1.000,27.591,3439616.000,nan,2,0,384262116,35.267,152.500,4128184320.000,4128348160.000,38.409,38.406,nan,nan,30,0
figlet,200,1.000,21.715,12647594.667,nan,2,0,7850393,shasum,100,1.000,7.987,10809514.667,nan,2,0,6091992,curl,60,1.000,31.805,3301376.000,nan,2,0,382399248,35.600,141.050,4161652736.000,4156231168.000,38.613,38.575,nan,nan,30,0
figlet,200,1.000,20.892,12580352.000,nan,2,0,9449522,shasum,100,1.000,8.066,3145728.000,nan,2,0,7397691,curl,60,1.000,30.765,4412552.533,nan,2,0,384676600,35.200,140.067,4181295104.000,4177925120.000,38.740,38.715,nan,nan,30,0
figlet,200,1.000,21.300,12735317.333,nan,1,0,14587315,shasum,100,1.000,8.069,5511680.000,nan,1,0,7803946,curl,80,1.000,40.310,6182570.667,nan,1,0,397997020,35.667,167.120,4174809088.000,4185640448.000,38.700,38.765,nan,nan,25,0
figlet,200,1.000,22.258,12913254.400,nan,2,0,9465915,shasum,100,1.000,7.752,3031040.000,nan,2,0,7041996,curl,80,1.000,40.853,3747840.000,nan,2,0,391821548,30.533,155.417,4134643712.000,4143574528.000,38.451,38.504,nan,nan,60,0
figlet,200,1.000,21.848,12607146.667,nan,2,0,9682049,shasum,100,1.000,8.291,3423914.667,nan,2,0,7210928,curl,80,1.000,41.305,3693499.733,nan,2,0,390138370,34.533,153.550,4193957888.000,4193195008.000,38.823,38.812,nan,nan,30,0
