function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,10,1.000,1.601,4179456.000,nan,1,0,8029680,shasum,10,1.000,1.183,4375722.667,nan,1,0,6753720,env,40,1.000,4.514,5285205.333,nan,1,0,6530667,35.667,62.083,2331799552.000,2347662336.000,28.986,29.178,nan,nan,10,0
figlet,10,1.000,1.730,8047445.333,nan,1,0,12116527,shasum,10,1.000,1.242,8128336.457,nan,2,0,9535118,env,40,1.000,4.713,8611937.524,nan,2,0,8229794,45.933,66.700,2411431936.000,2430046208.000,29.777,29.951,nan,nan,25,0
figlet,10,1.000,1.752,2696738.133,nan,2,0,9723291,shasum,10,1.000,1.246,8302080.000,nan,2,0,7837542,env,40,1.000,4.878,8648362.667,nan,2,0,7308845,42.000,63.550,2459758592.000,2455864320.000,30.261,30.208,nan,nan,30,0
figlet,10,1.000,1.682,2701755.733,nan,2,0,10903712,shasum,10,1.000,1.268,8447829.333,nan,2,0,10090971,env,50,1.000,5.778,2613248.000,nan,2,0,7405556,44.667,66.267,2499778560.000,2489850880.000,30.747,30.619,nan,nan,30,0
figlet,10,1.000,1.735,8622421.333,nan,1,0,11654453,shasum,10,1.000,1.244,8506197.333,nan,1,0,10816300,env,50,1.000,5.943,2850816.000,nan,1,0,10379930,44.867,71.333,2535862272.000,2534917632.000,31.181,31.164,nan,nan,25,0
figlet,10,1.000,1.667,8637781.333,nan,2,0,11197502,shasum,10,1.000,1.123,8598357.333,nan,1,0,8498175,env,50,1.000,5.186,2678784.000,nan,1,0,7337287,41.867,66.583,2532558848.000,2524940288.000,31.094,30.995,nan,nan,30,0
figlet,10,1.000,1.623,2789580.800,nan,2,0,12803634,shasum,10,1.000,1.176,8687401.448,nan,2,0,8704873,env,60,1.000,6.577,8844492.800,nan,2,0,8899206,42.000,70.850,2542561280.000,2537212928.000,31.217,31.145,nan,nan,30,0
figlet,10,1.000,1.787,8716800.000,nan,2,0,12891253,shasum,10,1.000,1.292,8676595.810,nan,2,0,12274573,env,60,1.000,6.968,8897536.000,nan,2,0,8348029,43.000,68.467,2572720128.000,2558858752.000,31.583,31.407,nan,nan,30,0
figlet,10,1.000,1.617,8730453.333,nan,2,0,9584028,shasum,10,1.000,1.164,8761173.333,nan,2,0,7813291,env,60,1.000,6.491,8918016.000,nan,2,0,7947597,42.133,66.733,2573617152.000,2568117248.000,31.599,31.524,nan,nan,30,0
figlet,10,1.000,1.623,8831658.667,nan,1,0,9396618,shasum,10,1.000,1.182,8810154.667,nan,1,0,9716037,env,70,1.000,7.529,2772480.000,nan,1,0,8375995,42.600,74.283,2604257280.000,2598450688.000,31.987,31.911,nan,nan,25,0
