function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,50,1.000,7.688,2834432.000,nan,2,0,45011937,shasum,120,1.000,11.604,20081403.937,nan,2,0,2285093905,nmap,10,0.693,30.938,227723819.886,nan,1,1,25768074862,41.600,136.044,1802510336.000,2130824533.333,21.760,25.749,nan,nan,10,1
figlet,50,1.000,8.230,2801664.000,nan,2,0,37424840,shasum,120,1.000,12.190,30753678.222,nan,2,0,1001075197,nmap,10,0.690,31.331,232504934.400,nan,1,1,25001184795,39.133,131.311,2068776960.000,2289044821.333,24.978,27.632,nan,nan,95,1
figlet,50,1.000,8.162,2648746.667,nan,2,0,38463491,shasum,120,1.000,11.578,28865789.562,nan,2,0,1339380619,nmap,10,0.733,32.864,261279331.149,nan,1,1,25215135012,39.467,136.844,2071367680.000,2336356352.000,24.962,28.140,nan,nan,120,1
figlet,50,1.000,8.556,8938154.667,nan,1,0,15978768,shasum,130,1.000,14.644,22642517.333,nan,1,0,23686793,nmap,0,1.000,0.074,14975488.000,nan,1,0,0,36.400,95.117,2052009984.000,2037632000.000,24.675,24.505,nan,nan,120,0
figlet,50,1.000,8.157,2873241.600,nan,1,0,13802995,shasum,130,1.000,14.260,18253653.333,nan,1,0,18376850,nmap,0,1.000,0.059,14818304.000,nan,1,0,0,41.400,96.683,2066350080.000,2062441472.000,24.883,24.835,nan,nan,30,0
figlet,50,1.000,8.035,2680678.400,nan,1,0,14975671,shasum,130,1.000,14.006,18342058.667,nan,1,0,24904776,nmap,0,1.000,0.080,14185984.000,nan,1,0,0,43.867,97.383,2060417024.000,2057595904.000,24.811,24.775,nan,nan,30,0
figlet,50,1.000,7.784,2753058.133,nan,2,0,49084801,shasum,130,0.998,13.697,45327132.444,nan,2,0,8215348305,nmap,10,0.527,29.552,265579747.556,nan,1,1,27478781583,44.667,139.822,2062835712.000,2439686826.667,24.847,29.376,nan,nan,30,1
