function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,120,1.000,16.941,6718634.667,nan,2,0,81932721,shasum,0,1.000,0.069,2837674.667,nan,1,0,0,nmap,10,1.000,34.642,136346112.000,nan,1,0,13885944504,38.467,131.717,1828907008.000,1989080064.000,21.735,23.682,nan,nan,10,0
figlet,120,1.000,17.061,2872593.067,nan,2,0,715773347,shasum,0,1.000,0.070,3134805.333,nan,1,0,0,nmap,10,0.760,34.766,26070357.333,nan,1,1,21976368832,42.800,128.167,1981739008.000,2207955626.667,23.523,26.268,nan,nan,25,1
figlet,120,1.000,16.136,4205454.222,nan,2,0,499977720,shasum,0,1.000,0.065,3415985.981,nan,1,0,0,nmap,10,0.780,46.409,194894649.702,nan,1,1,19724915068,41.733,128.867,2038439936.000,2218970794.667,24.238,26.426,nan,nan,20,1
figlet,120,1.000,18.197,4423680.000,nan,2,0,17686385,shasum,10,1.000,1.263,4934719.390,nan,1,0,11846607,nmap,0,1.000,0.077,16115882.667,nan,1,0,0,39.933,84.967,2021447680.000,2004157440.000,24.048,23.841,nan,nan,45,0
figlet,120,1.000,18.600,15885141.333,nan,1,0,9953457,shasum,10,1.000,1.421,2699264.000,nan,1,0,10871309,nmap,0,1.000,0.068,16535210.667,nan,1,0,0,40.533,82.417,2008999936.000,2002642432.000,23.900,23.823,nan,nan,75,0
figlet,120,1.000,18.142,15934122.667,nan,2,0,22357046,shasum,10,1.000,1.390,2807364.267,nan,2,0,14038997,nmap,0,1.000,0.073,16245077.333,nan,1,0,0,42.267,94.700,2045704192.000,2038169600.000,24.360,24.265,nan,nan,40,0
figlet,120,1.000,14.286,22811501.714,nan,3,0,801232169,shasum,10,1.000,1.206,2576110.933,nan,2,0,21205076,nmap,10,0.937,46.526,240616009.143,nan,1,0,18177197948,40.667,128.248,2008123392.000,2266076891.429,23.892,26.999,nan,nan,75,0
figlet,120,1.000,17.542,23360279.893,nan,2,0,317179954,shasum,10,1.000,1.419,7761003.276,nan,1,0,23068861,nmap,10,1.000,38.968,199029555.200,nan,1,0,16437541442,39.533,128.013,2100068352.000,2261038284.800,24.939,26.896,nan,nan,105,0
figlet,120,1.000,16.720,22346410.667,nan,3,0,731991799,shasum,10,1.000,1.349,7323306.667,nan,2,0,19336998,nmap,10,0.907,43.064,217920967.111,nan,1,0,16875518426,39.000,135.044,2089820160.000,2338652501.333,24.795,27.823,nan,nan,120,0
figlet,120,1.000,15.026,35833075.810,nan,3,0,2514934110,shasum,10,1.000,1.272,2904917.333,nan,2,0,23398392,nmap,20,0.190,53.897,346610883.048,nan,1,1,28330927128,38.733,149.333,2101882880.000,2443936036.571,24.979,29.098,nan,nan,125,1
figlet,120,1.000,15.965,2760704.000,nan,2,0,20119376,shasum,10,1.000,1.222,2617890.133,nan,2,0,16362118,nmap,30,0.001,80.166,222323234.133,nan,1,1,29992633764,40.000,130.800,2068736000.000,2169080685.714,24.482,25.709,nan,nan,90,1
figlet,120,0.998,14.432,2634410.667,nan,3,0,7741534832,shasum,10,1.000,1.247,1840651.378,nan,2,0,28693654,nmap,50,0.005,39.414,394432941.105,nan,1,1,29519437284,37.600,144.010,2093871104.000,2613419739.429,24.837,31.146,nan,nan,135,1
figlet,120,1.000,15.066,14810550.857,nan,3,0,621498654,shasum,10,1.000,1.307,7148690.286,nan,2,0,24177791,nmap,70,0.029,72.616,363714673.778,nan,1,1,29825923043,41.333,146.706,2089314304.000,2341761901.714,24.787,27.877,nan,nan,250,1
figlet,120,0.999,14.050,2494464.000,nan,4,0,9410621314,shasum,10,1.000,1.118,7089883.429,nan,2,0,56882788,nmap,70,0.007,28.738,277666620.952,nan,1,1,29920823146,40.267,148.114,2098155520.000,2555885275.429,24.917,30.506,nan,nan,270,1
figlet,120,1.000,16.852,3436544.000,nan,2,0,18959255,shasum,20,1.000,2.412,1941504.000,nan,2,0,12292419,nmap,0,1.000,0.076,3426816.000,nan,1,0,0,39.533,90.667,2098085888.000,2093767168.000,24.750,24.700,nan,nan,285,0
figlet,120,1.000,19.228,11679232.000,nan,1,0,10335981,shasum,20,1.000,2.637,7110997.333,nan,1,0,9806057,nmap,0,1.000,0.063,4324010.667,nan,1,0,0,40.933,83.967,2082521088.000,2083684352.000,24.568,24.582,nan,nan,255,0
figlet,120,1.000,17.187,2469888.000,nan,2,0,33458074,shasum,20,1.000,2.482,6765568.000,nan,2,0,14548774,nmap,0,1.000,0.068,5346133.333,nan,1,0,0,38.000,90.467,2089975808.000,2087014912.000,24.671,24.638,nan,nan,295,0
figlet,120,1.000,14.961,5183260.444,nan,3,0,349907587,shasum,20,1.000,2.563,2586624.000,nan,2,0,20731860,nmap,10,1.000,45.944,251577604.063,nan,1,0,19170253852,38.200,137.633,2086514688.000,2314815488.000,24.637,27.384,nan,nan,285,0
figlet,120,1.000,14.560,22536582.095,nan,2,0,1284160815,shasum,20,1.000,2.237,2677009.067,nan,2,0,23847639,nmap,10,0.633,34.684,180962157.714,nan,1,1,21934480499,40.533,126.019,2092773376.000,2372618825.143,24.648,28.045,nan,nan,330,1
figlet,120,1.000,16.851,2301952.000,nan,2,0,422555204,shasum,20,1.000,2.993,7426730.667,nan,2,0,19265606,nmap,10,1.000,40.697,250305327.299,nan,1,0,17627067737,39.733,125.667,2102097920.000,2339260006.400,24.784,27.649,nan,nan,360,0
