function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,100,1.000,13.807,2643968.000,nan,3,0,5666348368,shasum,90,1.000,9.268,8650979.556,nan,2,0,339774533,nmap,10,0.490,26.103,273966421.333,nan,1,1,25933720485,39.067,140.789,1796169728.000,2191951530.667,21.648,26.433,nan,nan,10,1
figlet,100,1.000,13.785,2486272.000,nan,3,0,6825867654,shasum,90,1.000,9.057,13534890.667,nan,2,0,350758513,nmap,10,0.690,26.448,290817194.667,nan,1,1,26325478021,39.200,141.000,2033725440.000,2331619669.333,24.405,28.062,nan,nan,125,1
figlet,100,1.000,13.102,2508800.000,nan,2,0,8739451717,shasum,90,1.000,8.857,16066036.622,nan,2,0,927647436,nmap,10,0.367,28.500,261696170.667,nan,1,1,28402879661,39.800,139.856,2062063616.000,2410284714.667,24.833,29.057,nan,nan,200,1
figlet,100,1.000,14.177,5840959.390,nan,1,0,41176049,shasum,100,1.000,11.521,17444181.333,nan,1,0,26988812,nmap,0,1.000,0.062,15866606.933,nan,1,0,0,38.267,106.417,2051119104.000,2036676608.000,24.705,24.532,nan,nan,145,0
figlet,100,1.000,15.295,2784972.800,nan,1,0,141658498,shasum,100,1.000,11.691,15067818.667,nan,1,0,73668734,nmap,0,1.000,0.072,15923370.667,nan,1,0,0,42.000,105.650,2048987136.000,2049928192.000,24.699,24.705,nan,nan,30,0
figlet,100,1.000,14.972,12043093.333,nan,2,0,130310406,shasum,100,1.000,11.565,15085397.333,nan,2,0,96981210,nmap,0,1.000,0.065,14831616.000,nan,1,0,0,38.000,100.117,2062669824.000,2054253056.000,24.854,24.752,nan,nan,75,0
figlet,100,0.999,13.984,47827467.378,nan,2,0,14187964744,shasum,100,0.999,9.871,25474844.444,nan,2,0,3874214623,nmap,10,0.207,25.822,303859607.975,nan,1,1,27220165332,40.067,144.311,2060013568.000,2545842517.333,24.831,30.656,nan,nan,160,1
figlet,100,0.998,12.710,18721177.600,nan,2,0,6019677249,shasum,100,1.000,8.390,2509209.600,nan,2,0,1940728841,nmap,10,0.420,34.203,270958835.810,nan,1,1,27960206080,39.800,137.908,2001373184.000,2430057618.286,23.919,29.174,nan,nan,245,1
figlet,100,1.000,13.403,47869506.177,nan,2,0,10401382556,shasum,100,1.000,8.764,2658190.222,nan,2,0,1811116089,nmap,10,0.387,35.975,293773877.638,nan,1,1,28556138402,41.533,135.838,2018381824.000,2510873746.286,24.225,30.226,nan,nan,240,1
figlet,100,1.000,15.127,6531925.333,nan,1,0,35366974,shasum,110,1.000,12.545,16926890.667,nan,1,0,28647965,nmap,0,1.000,0.056,15147008.000,nan,1,0,0,38.333,106.467,2019510272.000,2024583168.000,24.247,24.308,nan,nan,235,0
figlet,100,1.000,14.422,8732501.333,nan,2,0,134169938,shasum,110,1.000,11.738,16160256.000,nan,1,0,94582725,nmap,0,1.000,0.065,13729450.667,nan,1,0,0,38.067,102.100,2035998720.000,2037441024.000,24.450,24.467,nan,nan,255,0
figlet,100,1.000,14.052,10438451.200,nan,1,0,47360390,shasum,110,1.000,12.522,16290611.200,nan,1,0,29099671,nmap,0,1.000,0.066,13598720.000,nan,1,0,0,36.933,106.933,2054733824.000,2049323008.000,24.677,24.611,nan,nan,205,0
figlet,100,0.999,12.682,17508864.000,nan,2,0,11270170515,shasum,110,0.999,10.799,2417322.667,nan,2,0,9903665021,nmap,10,0.173,19.685,283535496.533,nan,1,1,26773610950,40.133,142.222,2051627008.000,2529351680.000,24.642,30.460,nan,nan,165,1
figlet,100,0.627,10.356,22064640.000,nan,2,1,20075355806,shasum,110,0.999,10.403,11301888.000,nan,2,0,15207311319,nmap,10,0.173,16.280,254185187.556,nan,1,1,26850628734,38.933,143.556,2042947584.000,2600802986.667,24.383,31.274,nan,nan,260,1
figlet,100,0.999,13.282,2478080.000,nan,2,0,13333470043,shasum,110,1.000,11.297,2198528.000,nan,2,0,7250409856,nmap,10,0.260,28.928,284007394.743,nan,1,1,27943991995,40.800,144.133,2050250752.000,2587401898.667,24.528,31.102,nan,nan,305,1
figlet,100,1.000,14.754,6475434.667,nan,1,0,64526548,shasum,120,1.000,12.766,6597802.667,nan,1,0,44471083,nmap,0,1.000,0.074,11166208.000,nan,1,0,0,38.933,107.133,2056314880.000,2060160512.000,24.439,24.486,nan,nan,260,0
figlet,100,1.000,14.217,10205525.333,nan,2,0,180708511,shasum,120,1.000,11.976,10121045.333,nan,2,0,152538962,nmap,0,1.000,0.063,10776576.000,nan,1,0,0,37.800,101.750,2060632064.000,2063230464.000,24.498,24.530,nan,nan,225,0
