function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.055,7786496.000,nan,1,0,0,env,20,1.000,2.536,4991232.000,nan,1,0,6247948,curl,0,1.000,0.064,24838656.000,nan,1,0,0,47.128,51.199,7623710720.000,7596598784.000,90.142,89.815,nan,nan,30,0
figlet,0,1.000,0.058,7890261.333,nan,1,0,0,env,20,1.000,2.455,15020202.667,nan,1,0,6465630,curl,0,1.000,0.058,17596416.000,nan,1,0,0,48.867,53.883,7519254528.000,7492675584.000,88.881,88.561,nan,nan,30,0
figlet,0,1.000,0.062,7907328.000,nan,1,0,0,env,20,1.000,2.514,2765277.867,nan,2,0,7864561,curl,20,1.000,15.921,22468096.000,nan,2,0,403704042,44.267,80.117,7440064512.000,7446914048.000,87.926,88.009,nan,nan,25,0
figlet,0,1.000,0.056,7994709.333,nan,1,0,0,env,20,1.000,2.661,2760704.000,nan,2,0,9573912,curl,20,1.000,16.652,2801152.000,nan,1,0,402116365,46.267,79.333,7458271232.000,7465058304.000,88.154,88.234,nan,nan,30,0
figlet,0,1.000,0.056,8055125.333,nan,1,0,0,env,20,1.000,2.545,2804974.933,nan,1,0,7003403,curl,20,1.000,17.493,2859383.467,nan,1,0,399434883,43.267,77.500,7477696512.000,7479062016.000,88.396,88.409,nan,nan,30,0
figlet,0,1.000,0.061,8102741.333,nan,1,0,0,env,20,1.000,2.398,2853536.914,nan,2,0,12358562,curl,40,1.000,28.747,2843511.467,nan,2,0,417724609,48.533,104.433,7461083136.000,7474997248.000,88.203,88.372,nan,nan,25,0
figlet,0,1.000,0.059,8073654.857,nan,1,0,0,env,20,1.000,2.584,2863040.610,nan,2,0,11708758,curl,40,1.000,30.916,2778799.543,nan,2,0,457854013,41.000,96.502,7478587392.000,7487981568.000,88.416,88.529,nan,nan,30,0
figlet,0,1.000,0.057,8071680.000,nan,1,0,0,env,20,1.000,2.518,2877235.200,nan,1,0,11448634,curl,40,0.879,29.735,30514176.000,nan,1,1,584771904,40.533,95.967,7484299264.000,7514810880.000,88.482,88.827,nan,nan,30,1
figlet,0,1.000,0.059,7724202.667,nan,1,0,0,env,20,1.000,2.236,3937365.333,nan,2,0,13479933,curl,60,1.000,36.860,3821909.333,nan,2,0,722384468,40.867,113.533,7539232768.000,7556441600.000,89.098,89.298,nan,nan,40,0
figlet,0,1.000,0.068,7693824.000,nan,1,0,0,env,20,1.000,2.506,5113446.400,nan,1,0,13790524,curl,60,1.000,38.023,4882056.533,nan,1,0,585231104,40.800,108.034,7575461888.000,7581014528.000,89.536,89.602,nan,nan,30,0
figlet,0,1.000,0.059,7562240.000,nan,1,0,0,env,20,1.000,2.360,4475323.733,nan,2,0,14942756,curl,60,1.000,35.991,5430037.943,nan,2,0,687046384,48.600,116.983,7583610880.000,7603964416.000,89.629,89.874,nan,nan,25,0
figlet,0,1.000,0.075,7397888.000,nan,1,0,0,env,20,1.000,2.603,4460578.133,nan,1,0,21699085,curl,80,0.912,35.049,4032648.533,nan,1,0,7436074611,43.200,110.733,7591809024.000,7637571584.000,89.732,90.289,nan,nan,30,1
figlet,0,1.000,0.056,6714709.333,nan,1,0,0,env,20,1.000,2.612,5497105.067,nan,2,0,16324930,curl,80,0.878,35.527,43037354.667,nan,2,1,6053976961,48.933,116.033,7725971456.000,7719387136.000,91.386,91.305,nan,nan,35,1
figlet,0,1.000,0.066,6764987.733,nan,1,0,0,env,20,1.000,2.401,3693448.533,nan,2,0,20062543,curl,80,0.909,32.683,53011456.000,nan,2,0,6525599840,45.533,116.833,7709427712.000,7713046528.000,91.166,91.216,nan,nan,35,1
figlet,0,1.000,0.052,6607018.667,nan,1,0,0,env,40,1.000,4.314,5434358.248,nan,2,0,6039801,curl,0,1.000,3.421,4533418.667,nan,1,0,0,41.200,57.667,7729870848.000,7709267968.000,91.458,91.209,nan,nan,20,1
figlet,0,1.000,0.081,7050581.333,nan,1,0,0,env,40,1.000,4.720,2596864.000,nan,2,0,6391859,curl,0,1.000,0.055,56967168.000,nan,1,0,0,40.067,56.000,7635943424.000,7617577472.000,90.297,90.073,nan,nan,30,1
figlet,0,1.000,0.069,7255040.000,nan,1,0,0,env,40,1.000,4.698,4175940.267,nan,1,0,6431790,curl,0,1.000,0.067,40628224.000,nan,1,0,0,39.891,70.795,7550277632.000,7575864832.000,89.259,89.566,nan,nan,30,0
figlet,20,1.000,3.063,10361173.333,nan,2,0,8306082,env,0,1.000,0.259,2807198.476,nan,2,0,0,curl,0,1.000,0.069,40628224.000,nan,1,0,0,41.933,51.317,7622856704.000,7610113024.000,90.131,89.979,nan,nan,25,0
figlet,20,1.000,3.550,5093341.867,nan,2,0,7778358,env,0,1.000,0.062,14049962.667,nan,1,0,0,curl,0,1.000,0.066,26009600.000,nan,1,0,0,39.667,51.717,7561818112.000,7558638080.000,89.433,89.392,nan,nan,30,0
figlet,20,1.000,3.363,3357866.667,nan,1,0,7309792,env,0,1.000,0.065,12423168.000,nan,1,0,0,curl,0,1.000,0.068,26045440.000,nan,1,0,0,41.467,49.600,7520063488.000,7506416640.000,88.918,88.752,nan,nan,30,0
figlet,20,1.000,3.403,14762008.381,nan,2,0,9209692,env,0,1.000,0.061,12423168.000,nan,1,0,0,curl,20,1.000,18.162,31336984.381,nan,2,0,398326065,43.600,81.100,7500009472.000,7509269504.000,88.670,88.783,nan,nan,25,0
figlet,20,1.000,3.688,2629632.000,nan,2,0,12507996,env,0,1.000,0.054,10850304.000,nan,1,0,0,curl,20,0.882,18.423,3867613.867,nan,1,1,573149899,43.348,80.357,7563577344.000,7565348864.000,89.446,89.457,nan,nan,30,1
figlet,20,1.000,3.367,3068791.467,nan,1,0,10607059,env,0,1.000,0.061,10850304.000,nan,1,0,0,curl,20,1.000,16.994,2873719.467,nan,1,0,398064857,42.333,75.500,7562948608.000,7568814592.000,89.361,89.429,nan,nan,30,0
figlet,20,1.000,3.192,14934869.333,nan,1,0,16802834,env,0,1.000,0.053,10849621.333,nan,1,0,0,curl,40,0.877,28.803,2810368.000,nan,2,1,600097235,40.267,103.783,7550709760.000,7569422336.000,89.203,89.415,nan,nan,40,1
figlet,20,1.000,3.414,14976672.914,nan,2,0,16149416,env,0,1.000,0.063,10831652.571,nan,1,0,0,curl,40,0.829,30.474,5578864.152,nan,2,1,424982437,45.733,102.033,7603605504.000,7612634112.000,89.832,89.933,nan,nan,30,1
figlet,20,1.000,3.446,4382242.133,nan,1,0,14063616,env,0,1.000,0.064,10600448.000,nan,1,0,0,curl,40,1.000,31.003,4191880.533,nan,1,0,428869891,43.133,96.250,7587176448.000,7596016640.000,89.618,89.724,nan,nan,30,0
figlet,20,1.000,3.295,2526173.867,nan,1,0,9006614,env,20,1.000,2.342,11864234.667,nan,1,0,7173342,curl,0,1.000,0.079,2849723.733,nan,1,0,0,40.600,54.983,7584743424.000,7572505600.000,89.596,89.441,nan,nan,45,0
figlet,20,1.000,3.306,3957606.400,nan,2,0,10951546,env,20,1.000,2.564,5998899.200,nan,2,0,8352062,curl,0,1.000,0.076,29380266.667,nan,1,0,0,48.600,63.700,7556194304.000,7556046336.000,89.231,89.232,nan,nan,25,0
figlet,20,1.000,3.130,2777088.000,nan,2,0,10182401,env,20,1.000,2.412,2824123.733,nan,2,0,8027002,curl,0,1.000,0.064,27881472.000,nan,1,0,0,42.467,59.750,7549538304.000,7552120832.000,89.172,89.202,nan,nan,30,0
figlet,20,1.000,3.415,2915942.400,nan,1,0,10675570,env,20,1.000,2.593,2695338.667,nan,1,0,9593749,curl,20,1.000,17.659,31936170.667,nan,1,0,397083257,42.800,81.470,7541184512.000,7539117568.000,89.070,89.043,nan,nan,30,0
figlet,20,1.000,3.170,2823645.867,nan,1,0,12294185,env,20,1.000,2.523,2773674.667,nan,1,0,10340147,curl,20,1.000,16.404,32900437.333,nan,1,0,407932376,45.267,93.600,7552108544.000,7558770176.000,89.209,89.286,nan,nan,45,0
figlet,20,1.000,2.884,15029199.238,nan,2,0,13423427,env,20,1.000,2.373,13905442.133,nan,1,0,9689235,curl,20,1.000,15.411,4362154.667,nan,2,0,413515873,42.200,87.267,7568275456.000,7568205824.000,89.385,89.375,nan,nan,40,0
figlet,20,1.000,3.505,4355652.267,nan,1,0,19647208,env,20,1.000,2.665,3449787.733,nan,1,0,15442633,curl,40,1.000,29.784,37808810.667,nan,1,0,491024570,41.733,101.033,7566340096.000,7574683648.000,89.359,89.460,nan,nan,30,0
figlet,20,1.000,3.481,4045175.467,nan,1,0,16975470,env,20,1.000,2.434,4306773.333,nan,1,0,13340323,curl,40,1.000,27.724,4980667.733,nan,1,0,461173871,41.200,97.317,7582732288.000,7582366208.000,89.555,89.505,nan,nan,45,0
figlet,20,1.000,3.212,15110144.000,nan,2,0,20938084,env,20,1.000,2.550,4181845.333,nan,1,0,16595396,curl,40,1.000,26.963,4673109.333,nan,1,0,520891311,41.533,106.200,7606456320.000,7610871296.000,89.736,89.784,nan,nan,40,0
figlet,20,1.000,3.449,14903637.333,nan,1,0,20777932,env,20,1.000,2.681,14017706.667,nan,1,0,16696195,curl,60,1.000,35.151,4286225.067,nan,1,0,922213026,44.200,112.850,7614072832.000,7624159744.000,89.834,89.955,nan,nan,30,0
figlet,20,1.000,3.165,3724288.000,nan,2,0,24356140,env,20,1.000,2.406,3321002.667,nan,2,0,19573779,curl,60,1.000,31.463,3895978.667,nan,1,0,1473967714,44.933,119.500,7632914432.000,7649078784.000,90.068,90.249,nan,nan,40,1
figlet,20,1.000,3.444,15086421.333,nan,1,0,23505399,env,20,1.000,2.501,5526698.667,nan,1,0,17165178,curl,60,1.000,34.719,5810090.667,nan,1,0,1675496785,42.800,109.985,7638337536.000,7642599424.000,90.125,90.168,nan,nan,45,1
figlet,20,1.000,3.037,4540440.381,nan,2,0,8793149,env,40,1.000,4.415,14185130.667,nan,2,0,7486035,curl,0,1.000,0.084,4624947.200,nan,1,0,0,42.400,68.067,7645358080.000,7628028928.000,90.209,89.993,nan,nan,40,0
figlet,20,1.000,3.057,15131769.905,nan,2,0,11358872,env,40,1.000,4.343,2798421.333,nan,2,0,8121114,curl,0,1.000,0.073,37101568.000,nan,1,0,0,41.933,65.950,7613943808.000,7604973568.000,89.828,89.720,nan,nan,30,0
figlet,20,1.000,3.473,2900275.200,nan,2,0,9910484,env,40,1.000,4.842,2817028.876,nan,2,0,7424677,curl,0,1.000,0.070,32776192.000,nan,1,0,0,42.067,64.967,7580110848.000,7579343872.000,89.422,89.412,nan,nan,30,0
figlet,20,1.000,3.443,15126528.000,nan,1,0,12968698,env,40,1.000,4.721,2924714.667,nan,2,0,10206247,curl,20,0.882,17.687,37043200.000,nan,1,1,542542018,42.267,87.203,7579265024.000,7577875968.000,89.416,89.399,nan,nan,30,1
figlet,20,1.000,3.351,15126698.667,nan,1,0,17167074,env,40,1.000,4.482,2798626.133,nan,1,0,13202127,curl,20,1.000,16.549,37040298.667,nan,1,0,436338640,42.867,92.850,7620710400.000,7627941376.000,89.913,89.999,nan,nan,25,0
figlet,20,1.000,3.520,4761258.667,nan,2,0,14836959,env,40,1.000,4.956,5633843.200,nan,2,0,13417567,curl,20,1.000,17.912,5230045.867,nan,1,0,430236416,42.267,89.719,7632703488.000,7634810880.000,90.062,90.088,nan,nan,30,1
figlet,20,1.000,3.142,15106730.667,nan,1,0,9097485,env,60,1.000,6.647,3631752.533,nan,1,0,7543835,curl,0,1.000,0.099,5463995.733,nan,1,0,0,46.333,73.617,7672616960.000,7662805504.000,90.554,90.433,nan,nan,30,1
figlet,20,1.000,3.188,15051434.667,nan,1,0,11007101,env,60,1.000,6.419,2802773.333,nan,2,0,7593723,curl,0,1.000,0.075,31038122.667,nan,1,0,0,43.667,72.950,7621935104.000,7606704640.000,89.916,89.729,nan,nan,40,0
figlet,20,1.000,2.888,2798216.533,nan,2,0,9541713,env,60,1.000,6.198,14615210.667,nan,2,0,7681741,curl,0,1.000,0.066,30257152.000,nan,1,0,0,41.467,71.250,7603179520.000,7607913472.000,89.695,89.751,nan,nan,30,0
figlet,20,1.000,3.185,15067399.314,nan,2,0,16198744,env,60,1.000,6.871,2951509.333,nan,2,0,14323716,curl,20,1.000,17.263,35341628.952,nan,1,0,434173755,43.933,94.833,7600816128.000,7607686144.000,89.668,89.750,nan,nan,30,0
figlet,20,1.000,3.371,3838293.333,nan,1,0,16029499,env,60,1.000,6.864,3533858.133,nan,1,0,12548841,curl,20,1.000,17.344,35633834.667,nan,1,0,431298307,46.533,95.767,7672236032.000,7668138496.000,90.532,90.483,nan,nan,30,1
figlet,20,1.000,3.185,15113386.667,nan,1,0,18571198,env,60,1.000,6.464,4616704.000,nan,1,0,33396075,curl,20,1.000,16.323,35719850.667,nan,1,0,483950827,47.267,100.817,7634454528.000,7632177152.000,90.078,90.041,nan,nan,40,1
figlet,20,1.000,3.139,15131067.733,nan,2,0,10908416,env,80,1.000,9.281,5345723.733,nan,2,0,10203875,curl,0,1.000,0.108,5608365.105,nan,1,0,0,46.800,78.583,7643465728.000,7648123904.000,90.179,90.234,nan,nan,30,1
figlet,20,1.000,3.329,15153493.333,nan,1,0,9813261,env,80,1.000,9.167,5344153.600,nan,2,0,7797077,curl,0,1.000,0.065,33254058.667,nan,1,0,0,46.533,77.143,7637536768.000,7638018560.000,90.102,90.106,nan,nan,30,1
figlet,20,1.000,3.186,4695722.667,nan,1,0,9301721,env,80,1.000,8.807,4812902.400,nan,1,0,7003564,curl,0,1.000,0.068,32249173.333,nan,1,0,0,47.867,78.000,7646840832.000,7646297600.000,90.208,90.201,nan,nan,30,1
figlet,40,1.000,5.822,2940928.000,nan,2,0,7449285,env,0,1.000,0.082,2844433.067,nan,1,0,0,curl,0,1.000,0.079,32107520.000,nan,1,0,0,40.467,59.367,7611738112.000,7603973120.000,89.789,89.691,nan,nan,40,0
figlet,40,1.000,7.538,6180420.267,nan,3,0,7549457,env,0,1.000,0.056,14663680.000,nan,1,0,0,curl,0,1.000,0.059,30789632.000,nan,1,0,0,46.733,60.683,7596353536.000,7601487360.000,89.597,89.662,nan,nan,15,0
figlet,40,1.000,8.218,4602470.400,nan,5,0,8562068,env,0,1.000,0.056,13556804.267,nan,1,0,0,curl,0,1.000,0.068,30775705.600,nan,1,0,0,47.400,65.433,7621357568.000,7631897600.000,89.908,90.039,nan,nan,15,1
figlet,40,1.000,6.495,7409664.000,nan,2,0,10392286,env,0,1.000,0.049,13234176.000,nan,1,0,0,curl,20,1.000,17.440,36101461.333,nan,1,0,407389034,44.800,87.317,7661920256.000,7662376448.000,90.412,90.416,nan,nan,30,1
figlet,40,1.000,6.144,3947861.333,nan,1,0,9999818,env,0,1.000,0.062,11587584.000,nan,1,0,0,curl,20,1.000,17.010,5091566.933,nan,1,0,403482596,47.333,83.436,7639773184.000,7631863296.000,90.145,90.042,nan,nan,45,1
figlet,40,1.000,5.870,15160661.333,nan,2,0,11808160,env,0,1.000,0.060,11650389.333,nan,1,0,0,curl,20,1.000,16.250,36710912.000,nan,2,0,412926455,39.400,85.483,7610939392.000,7610134016.000,89.790,89.776,nan,nan,40,0
figlet,40,1.000,5.823,15177045.333,nan,2,0,9517131,env,20,1.000,2.592,13025792.000,nan,2,0,9033767,curl,0,1.000,0.101,2781223.010,nan,1,0,0,40.933,64.200,7621517312.000,7618079744.000,89.921,89.878,nan,nan,30,0
figlet,40,1.000,6.266,15330645.333,nan,2,0,8523963,env,20,1.000,2.580,5535402.667,nan,1,0,7368213,curl,0,1.000,0.061,32514048.000,nan,1,0,0,42.333,64.767,7624755200.000,7620457472.000,89.956,89.904,nan,nan,30,0
figlet,40,1.000,6.213,15375189.333,nan,1,0,8056445,env,20,1.000,2.516,3395106.133,nan,1,0,7233321,curl,0,1.000,0.060,32498346.667,nan,1,0,0,43.067,64.183,7631400960.000,7626047488.000,90.041,89.974,nan,nan,30,0
figlet,40,1.000,5.645,15303680.000,nan,2,0,15123166,env,20,1.000,2.288,2804053.333,nan,1,0,11469682,curl,20,1.000,16.200,36525056.000,nan,1,0,422348551,40.267,91.283,7612581888.000,7613808640.000,89.811,89.820,nan,nan,40,0
figlet,40,1.000,6.681,4340896.914,nan,2,0,16720724,env,20,1.000,2.724,3570268.648,nan,2,0,13891464,curl,20,1.000,17.619,5164987.733,nan,1,0,430648502,42.200,90.917,7629363200.000,7635935232.000,90.020,90.097,nan,nan,30,1
figlet,40,1.000,6.348,3359461.181,nan,1,0,13226084,env,20,1.000,2.576,4341077.333,nan,1,0,11704348,curl,20,1.000,16.949,5137749.333,nan,1,0,420369371,48.600,91.933,7674857472.000,7677340160.000,90.579,90.607,nan,nan,30,1
figlet,40,1.000,5.820,15376691.200,nan,2,0,9826462,env,40,1.000,4.232,5456042.667,nan,2,0,9223009,curl,0,1.000,0.079,4755797.333,nan,1,0,0,43.067,73.416,7644010496.000,7635114496.000,90.198,90.081,nan,nan,40,1
figlet,40,1.000,6.683,2535424.000,nan,2,0,13870273,env,40,1.000,4.863,1335296.000,nan,2,0,12298981,curl,0,1.000,0.076,32460117.333,nan,1,0,0,41.933,71.100,7648772096.000,7654887424.000,90.248,90.321,nan,nan,30,1
figlet,40,1.000,6.335,4620083.200,nan,1,0,9734653,env,40,1.000,4.598,5674564.267,nan,1,0,7993941,curl,0,1.000,0.065,31662080.000,nan,1,0,0,41.333,66.600,7645366272.000,7646182400.000,90.206,90.215,nan,nan,30,1
figlet,60,1.000,8.851,15590741.333,nan,1,0,7212903,env,0,1.000,0.080,3714013.867,nan,1,0,0,curl,0,1.000,0.062,31100928.000,nan,1,0,0,42.800,61.317,7645235200.000,7633835520.000,90.209,90.066,nan,nan,45,1
figlet,60,1.000,9.048,2690764.800,nan,2,0,7395041,env,0,1.000,0.063,14643200.000,nan,1,0,0,curl,0,1.000,0.062,30543872.000,nan,1,0,0,43.733,66.560,7635576832.000,7633964032.000,90.086,90.068,nan,nan,25,1
figlet,60,1.000,11.748,2736128.000,nan,4,0,8032998,env,0,1.000,0.054,12725101.714,nan,1,0,0,curl,0,1.000,0.068,30530764.800,nan,1,0,0,45.271,68.886,7632273408.000,7637075456.000,90.050,90.109,nan,nan,15,1
