function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,200,0.999,21.442,49010005.333,nan,2,0,16808443037,shasum,0,1.000,0.056,2849177.600,nan,1,0,0,env,100,1.000,11.145,7107106.133,nan,2,0,274071074,39.000,138.898,2336681984.000,2621844684.800,28.642,32.113,nan,nan,10,0
figlet,200,0.856,21.623,73833813.333,nan,2,1,19532711530,shasum,0,1.000,0.061,3834766.222,nan,1,0,0,env,100,1.000,10.636,2665472.000,nan,2,0,157452257,35.400,136.800,2688774144.000,2820686165.333,32.863,34.546,nan,nan,200,1
figlet,200,0.973,17.117,6275072.000,nan,2,0,18980803805,shasum,0,1.000,0.060,4430615.893,nan,1,0,0,env,100,1.000,10.734,10637393.920,nan,2,0,251669670,36.267,125.600,2641559552.000,2801166336.000,32.179,34.219,nan,nan,160,0
figlet,200,0.643,15.617,35376640.000,nan,2,1,22010681261,shasum,0,1.000,0.067,5014186.667,nan,1,0,0,env,120,1.000,11.692,2792618.667,nan,3,0,1053376535,39.600,136.311,2649174016.000,2827964074.667,32.422,34.641,nan,nan,145,1
figlet,200,0.616,13.562,27028480.000,nan,2,1,22213838828,shasum,0,1.000,0.077,5857052.444,nan,1,0,0,env,120,1.000,12.135,2809856.000,nan,3,0,887629152,37.467,136.657,2670884864.000,2798616234.667,32.613,34.261,nan,nan,170,1
figlet,200,0.840,14.741,5402624.000,nan,2,1,22321688367,shasum,0,1.000,0.064,4451942.400,nan,1,0,0,env,120,1.000,13.696,2719744.000,nan,2,0,892587420,40.667,128.000,2678724608.000,2824204288.000,32.875,34.703,nan,nan,230,1
figlet,200,1.000,26.427,1609728.000,nan,2,0,506165431,shasum,20,1.000,2.904,6203187.200,nan,1,0,17245873,env,0,1.000,0.079,12709614.933,nan,1,0,0,38.267,103.267,2629498880.000,2626228224.000,32.131,32.095,nan,nan,235,0
figlet,200,1.000,28.383,21240661.333,nan,1,0,225058313,shasum,20,1.000,2.719,7186261.333,nan,1,0,15263879,env,0,1.000,0.074,10407936.000,nan,1,0,0,37.400,110.400,2669201408.000,2657570304.000,32.632,32.493,nan,nan,145,0
figlet,200,1.000,26.760,2688000.000,nan,1,0,812222418,shasum,20,1.000,2.583,8538453.333,nan,1,0,17900507,env,0,1.000,0.075,10414080.000,nan,1,0,0,42.733,110.883,2680125440.000,2691022336.000,32.785,32.914,nan,nan,30,0
figlet,200,1.000,27.912,34814634.667,nan,2,0,3130249832,shasum,20,1.000,2.716,7556164.267,nan,2,0,23602468,env,20,1.000,2.859,11239594.667,nan,2,0,26676590,39.333,103.650,2688925696.000,2723416064.000,32.880,33.301,nan,nan,150,0
