function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,60,1.000,9.046,8904622.080,nan,2,0,720019248,shasum,120,0.998,10.119,25693498.027,nan,2,0,10491314042,curl,20,1.000,13.291,15625803.093,nan,2,0,1978468203,39.667,134.627,2359369728.000,2500531814.400,28.988,30.696,nan,nan,10,0
figlet,60,1.000,9.658,13210214.400,nan,1,0,391685976,shasum,120,0.999,9.609,20202052.267,nan,1,0,10269129270,curl,20,1.000,13.908,22416384.000,nan,1,0,1544357647,40.933,106.900,2687041536.000,2684913152.000,32.926,32.923,nan,nan,90,0
figlet,60,1.000,9.906,12765184.000,nan,2,0,132681744,shasum,120,0.999,11.422,21675095.771,nan,2,0,6432518568,curl,20,1.000,14.863,21065728.000,nan,2,0,945225945,38.667,129.573,2678491136.000,2711095705.600,32.722,33.148,nan,nan,140,0
figlet,60,1.000,7.590,16026897.067,nan,2,0,1613308235,shasum,120,0.917,6.795,34363392.000,nan,2,0,15694101467,curl,40,0.998,16.475,43236522.667,nan,3,0,16587250836,36.600,137.935,2690275328.000,2806292480.000,32.945,34.365,nan,nan,90,0
figlet,60,1.000,8.833,21047978.667,nan,2,0,1973183176,shasum,120,0.728,8.031,13926400.000,nan,2,1,20285741445,curl,40,0.848,15.175,29542035.911,nan,2,1,20321176487,38.200,136.322,2650603520.000,2848611669.333,32.475,34.927,nan,nan,140,1
figlet,60,1.000,8.471,3141120.000,nan,3,0,540229812,shasum,120,0.999,10.579,52360192.000,nan,2,0,13410648975,curl,40,0.978,14.773,38147072.000,nan,1,0,19209590720,37.800,140.911,2686392320.000,2824817664.000,32.796,34.541,nan,nan,135,0
figlet,60,1.000,4.712,29682151.619,nan,2,0,3403293275,shasum,120,0.657,6.122,38970880.000,nan,2,1,19302042260,curl,60,0.310,10.787,2654754.133,nan,2,1,25574201479,40.333,141.563,2663182336.000,2842429147.429,32.598,34.831,nan,nan,235,1
figlet,60,1.000,7.614,23650702.222,nan,2,0,2321587937,shasum,120,0.906,7.949,2572288.000,nan,2,0,17901956843,curl,60,0.336,13.215,2764800.000,nan,2,1,25561921647,39.400,141.267,2650894336.000,2891753813.333,32.319,35.378,nan,nan,235,1
figlet,60,1.000,7.493,28666821.486,nan,2,0,3588310907,shasum,120,0.773,8.859,21717674.667,nan,2,1,17748578951,curl,60,0.316,14.116,25690624.000,nan,2,1,25796834695,40.333,145.514,2694569984.000,2918955885.714,33.018,35.808,nan,nan,210,1
figlet,60,1.000,10.568,22214607.238,nan,1,0,22279847,shasum,140,1.000,15.116,6978560.000,nan,1,0,64417652,curl,0,1.000,0.060,3275946.667,nan,1,0,0,40.267,99.283,2691899392.000,2665289728.000,32.866,32.546,nan,nan,135,0
figlet,60,1.000,10.148,19503274.667,nan,2,0,34632327,shasum,140,1.000,15.087,2753024.000,nan,2,0,198189748,curl,0,1.000,0.059,3476821.333,nan,1,0,0,42.200,109.386,2647138304.000,2659718656.000,32.352,32.507,nan,nan,25,0
figlet,60,1.000,9.360,19312810.667,nan,1,0,21876414,shasum,140,1.000,14.413,8776704.000,nan,1,0,74502405,curl,0,1.000,0.062,3677696.000,nan,1,0,0,43.600,105.750,2696704000.000,2690496512.000,32.962,32.885,nan,nan,30,0
figlet,60,1.000,8.253,25331200.000,nan,2,0,2600228015,shasum,140,0.848,8.636,2792652.800,nan,2,1,18781459405,curl,20,1.000,11.366,2596864.000,nan,2,0,4373782135,41.800,133.789,2697353216.000,2885997568.000,32.970,35.324,nan,nan,30,1
figlet,60,1.000,8.550,21869135.644,nan,2,0,1061961399,shasum,140,0.771,7.762,2699264.000,nan,2,1,18683072382,curl,20,1.000,11.998,2740224.000,nan,2,0,2704385656,39.333,130.700,2694811648.000,2820594346.667,33.049,34.598,nan,nan,245,1
figlet,60,1.000,8.339,22554385.067,nan,2,0,1335989610,shasum,140,0.795,7.209,42494054.400,nan,2,1,17778790969,curl,20,1.000,11.708,2686976.000,nan,2,0,2087564606,38.200,129.689,2700587008.000,2809076053.333,33.132,34.466,nan,nan,245,1
figlet,60,1.000,9.822,18818560.000,nan,2,0,43383933,shasum,160,1.000,17.160,23421440.000,nan,2,0,567866564,curl,0,1.000,0.077,12980224.000,nan,1,0,0,38.200,109.233,2682071040.000,2693860352.000,32.915,33.060,nan,nan,260,0
figlet,60,1.000,10.275,18849280.000,nan,1,0,19865822,shasum,160,1.000,17.528,27846792.533,nan,1,0,124414986,curl,0,1.000,0.089,11464704.000,nan,1,0,0,42.067,100.650,2685730816.000,2678252544.000,32.966,32.876,nan,nan,240,0
figlet,60,1.000,10.105,19291989.333,nan,2,0,38334152,shasum,160,1.000,17.327,22893738.667,nan,2,0,408500288,curl,0,1.000,0.077,11456170.667,nan,1,0,0,38.933,111.433,2699982848.000,2710954496.000,33.136,33.270,nan,nan,70,0
figlet,60,1.000,9.183,21866618.880,nan,2,0,2786532239,shasum,160,0.998,11.146,57005793.280,nan,2,0,18131987802,curl,20,1.000,11.627,21750988.800,nan,2,0,4628093500,39.467,127.920,2703742976.000,2899827916.800,33.193,35.573,nan,nan,210,0
figlet,60,0.999,3.866,26730097.778,nan,3,0,5268864072,shasum,160,0.736,8.020,46957226.667,nan,2,1,22964398647,curl,20,0.998,5.675,2736128.000,nan,2,0,8358332562,40.000,143.511,2697656320.000,2993179989.333,32.972,36.645,nan,nan,250,1
figlet,60,0.999,8.141,27632810.667,nan,3,0,8971607426,shasum,160,0.618,9.199,2607104.000,nan,3,1,22102615227,curl,20,0.910,9.897,22414756.978,nan,2,0,11611517340,43.467,144.389,2686738432.000,2965975381.333,32.636,36.129,nan,nan,260,1
figlet,60,1.000,8.995,6104546.743,nan,1,0,34040352,shasum,180,1.000,17.451,18482141.867,nan,1,0,2859104375,curl,0,1.000,0.076,12649813.333,nan,1,0,0,42.400,107.250,2699593728.000,2766915584.000,32.780,33.613,nan,nan,245,0
figlet,60,1.000,9.880,3518464.000,nan,2,0,291183660,shasum,180,0.999,17.016,37110954.667,nan,2,0,4276422618,curl,0,1.000,0.075,10912426.667,nan,1,0,0,42.733,113.083,2692405248.000,2758439936.000,32.758,33.567,nan,nan,250,0
figlet,60,1.000,10.142,10940074.667,nan,1,0,36301729,shasum,180,1.000,16.795,22730752.000,nan,1,0,4151200979,curl,0,1.000,0.080,10301440.000,nan,1,0,0,43.267,111.150,2696333312.000,2748141056.000,32.822,33.463,nan,nan,265,0
figlet,60,0.998,9.223,17219174.400,nan,2,0,5456373830,shasum,180,0.469,8.731,49205439.147,nan,1,1,22531488334,curl,20,0.997,11.708,27088663.893,nan,2,0,10048108208,40.800,130.493,2688995328.000,2949328076.800,32.763,35.992,nan,nan,295,1
figlet,60,0.999,5.144,2564096.000,nan,2,0,8177407854,shasum,180,0.357,2.171,2682880.000,nan,2,1,26086009598,curl,20,1.000,6.114,27807789.511,nan,2,0,11470743884,41.733,140.244,2703222784.000,2969014272.000,33.118,36.373,nan,nan,355,1
figlet,60,1.000,8.728,2570922.667,nan,2,0,3845645032,shasum,180,0.648,10.935,47676416.000,nan,2,1,24089706820,curl,20,0.987,9.203,37535744.000,nan,2,0,10859148897,40.067,134.189,2691624960.000,2979913386.667,32.669,36.289,nan,nan,255,1
figlet,60,1.000,11.026,16726903.467,nan,1,0,44717093,shasum,200,1.000,16.994,29127982.324,nan,1,0,7010757643,curl,0,1.000,0.074,11307651.657,nan,1,0,0,39.067,105.350,2699560960.000,2802321920.000,32.965,34.231,nan,nan,345,0
figlet,60,1.000,9.717,16457728.000,nan,2,0,240998875,shasum,200,1.000,17.278,18496682.667,nan,2,0,4416784761,curl,0,1.000,0.072,10063872.000,nan,1,0,0,39.800,111.717,2687901696.000,2768178688.000,32.835,33.820,nan,nan,275,0
figlet,60,1.000,10.049,16636142.933,nan,1,0,39206292,shasum,200,1.000,18.281,28723609.600,nan,1,0,6533373548,curl,0,1.000,0.076,10055680.000,nan,1,0,0,37.867,105.400,2696189952.000,2797754368.000,32.936,34.188,nan,nan,325,0
figlet,60,0.997,7.429,14376960.000,nan,2,0,7970015265,shasum,200,0.393,7.148,29379026.489,nan,2,1,25748189275,curl,20,1.000,11.305,2426880.000,nan,2,0,8563502524,39.800,136.333,2697785344.000,2942556842.667,32.961,35.971,nan,nan,370,1
