function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,60,1.000,8.565,2568192.000,nan,2,0,315270795,shasum,160,0.720,8.381,33072748.902,nan,1,1,18234811643,env,80,1.000,8.030,6835768.889,nan,2,0,87282731,37.667,122.600,2344349696.000,2516736341.333,28.699,30.798,nan,nan,10,1
figlet,60,1.000,10.100,11956224.000,nan,2,0,81993625,shasum,160,0.999,14.164,4374528.000,nan,2,0,10381500179,env,80,1.000,9.354,2666496.000,nan,2,0,57721382,35.000,128.840,2586368000.000,2670576435.200,31.583,32.658,nan,nan,145,0
figlet,60,1.000,8.225,11757056.000,nan,2,0,271584598,shasum,160,0.999,10.818,47232853.333,nan,2,0,10463629329,env,80,1.000,8.002,8648704.000,nan,2,0,82151518,37.933,105.450,2629099520.000,2675277312.000,32.079,32.670,nan,nan,140,0
figlet,60,1.000,9.200,2686976.000,nan,2,0,424783656,shasum,160,0.998,12.534,39330611.200,nan,2,0,16238081096,env,100,1.000,9.606,10795963.733,nan,2,0,636709353,36.800,126.720,2645514240.000,2778603520.000,32.318,33.964,nan,nan,140,0
figlet,60,1.000,8.891,2661034.667,nan,2,0,568437195,shasum,160,0.463,6.193,23511950.222,nan,1,1,22918412192,env,100,1.000,9.517,2643456.000,nan,2,0,1546080537,36.933,128.600,2593951744.000,2691902122.667,31.651,32.893,nan,nan,240,1
figlet,60,1.000,8.878,12080797.013,nan,2,0,787951245,shasum,160,0.997,8.301,4067328.000,nan,2,0,18140923540,env,100,1.000,8.774,16424880.030,nan,2,0,3360272647,36.467,124.627,2599763968.000,2730482483.200,31.833,33.466,nan,nan,245,0
figlet,60,1.000,7.975,2777088.000,nan,3,0,1643554906,shasum,160,0.735,8.684,27488938.667,nan,2,1,19919395872,env,120,0.999,9.751,2551808.000,nan,3,0,9101912939,37.400,135.600,2635268096.000,2827447637.333,32.303,34.664,nan,nan,240,1
figlet,60,1.000,8.634,2260992.000,nan,2,0,1766238267,shasum,160,0.694,9.181,13500416.000,nan,1,1,17591760974,env,120,0.999,10.251,2662400.000,nan,2,0,6921726100,37.733,128.987,2654255104.000,2845311385.600,32.300,34.731,nan,nan,245,1
figlet,60,0.999,8.756,17226738.347,nan,2,0,1756257958,shasum,160,0.694,10.475,47207383.040,nan,2,1,20679386168,env,120,0.999,8.692,21164660.053,nan,3,0,10602890458,35.867,129.867,2655244288.000,2906311475.200,32.420,35.585,nan,nan,240,1
figlet,60,1.000,9.232,15271082.667,nan,1,0,15325920,shasum,180,1.000,17.555,6864042.667,nan,1,0,45055658,env,0,1.000,0.082,14509056.000,nan,1,0,0,33.867,102.617,2633283584.000,2618954752.000,32.099,31.927,nan,nan,250,0
figlet,60,1.000,9.604,15659008.000,nan,1,0,20958580,shasum,180,1.000,17.108,2634581.333,nan,1,0,121113732,env,0,1.000,0.055,12069888.000,nan,1,0,0,36.733,104.167,2655838208.000,2663959552.000,32.390,32.484,nan,nan,30,0
figlet,60,1.000,9.069,15569066.667,nan,2,0,32697660,shasum,180,1.000,16.525,12969130.667,nan,2,0,550431913,env,0,1.000,0.053,12374016.000,nan,1,0,0,37.267,101.467,2653794304.000,2653728768.000,32.360,32.361,nan,nan,165,0
figlet,60,1.000,9.615,14386688.000,nan,1,0,24344729,shasum,180,1.000,17.895,21076309.333,nan,1,0,1052536419,env,20,1.000,2.705,12889770.667,nan,1,0,17030404,36.733,109.333,2630948864.000,2642903552.000,32.107,32.252,nan,nan,265,0
figlet,60,1.000,8.818,14476970.667,nan,1,0,27330822,shasum,180,1.000,15.473,21622954.667,nan,1,0,236270485,env,20,1.000,2.493,12520960.000,nan,1,0,19136317,34.600,102.483,2631696384.000,2640201216.000,32.130,32.232,nan,nan,255,0
figlet,60,1.000,9.516,15192405.333,nan,1,0,27162544,shasum,180,1.000,17.409,22027434.667,nan,1,0,433111292,env,20,1.000,2.573,12605952.000,nan,1,0,16841716,35.400,108.117,2645696512.000,2650001920.000,32.298,32.350,nan,nan,235,0
figlet,60,1.000,9.175,14615552.000,nan,2,0,40695114,shasum,180,1.000,15.295,33510058.667,nan,1,0,4670814505,env,40,1.000,4.715,12739413.333,nan,2,0,24073647,38.533,106.350,2659534848.000,2710145536.000,32.469,33.097,nan,nan,255,0
figlet,60,1.000,8.944,14629546.667,nan,2,0,57010081,shasum,180,1.000,14.577,40278528.000,nan,2,0,6938264043,env,40,1.000,4.673,12545194.667,nan,2,0,26969291,39.400,105.900,2640027648.000,2730136576.000,32.299,33.403,nan,nan,265,0
figlet,60,1.000,9.716,14944733.867,nan,2,0,68263435,shasum,180,1.000,15.943,53484714.667,nan,1,0,9264461741,env,40,1.000,4.914,12667016.533,nan,2,0,28068917,36.533,112.067,2646863872.000,2772788736.000,32.428,33.970,nan,nan,260,0
figlet,60,1.000,9.325,2498560.000,nan,2,0,1043711970,shasum,180,0.999,14.437,4337664.000,nan,2,0,13050842743,env,60,1.000,7.117,2711552.000,nan,2,0,274808651,36.400,124.013,2636791808.000,2824466432.000,32.304,34.620,nan,nan,265,0
figlet,60,1.000,9.266,18249318.400,nan,2,0,540101758,shasum,180,0.997,11.185,33256584.533,nan,2,0,16699538378,env,60,1.000,6.672,2404352.000,nan,2,0,113060366,36.533,130.400,2652151808.000,2818505523.200,32.531,34.582,nan,nan,270,0
figlet,60,1.000,9.850,16753459.200,nan,2,0,215630641,shasum,180,0.999,14.315,2781184.000,nan,2,0,11662316602,env,60,1.000,7.391,2093056.000,nan,2,0,84637592,33.533,127.640,2657062912.000,2825241395.200,32.524,34.580,nan,nan,285,0
figlet,60,1.000,9.227,19433335.467,nan,2,0,1583087692,shasum,180,0.998,13.047,2498560.000,nan,1,0,15418608573,env,80,1.000,8.698,2523136.000,nan,2,0,1087252115,37.467,130.840,2659899392.000,2869705113.600,32.574,35.141,nan,nan,480,0
