function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,200,1.000,21.797,30004906.667,nan,1,0,8443727672,shasum,40,1.000,4.932,5126656.000,nan,1,0,21853872,env,20,1.000,2.552,4962645.333,nan,1,0,18377707,39.333,104.250,2338179072.000,2460620800.000,28.629,30.122,nan,nan,10,0
figlet,200,0.999,25.333,2469888.000,nan,3,0,11606583046,shasum,40,1.000,5.641,2576384.000,nan,3,0,99313643,env,20,1.000,2.773,2551808.000,nan,2,0,91799659,38.400,125.000,2618214400.000,2721264025.600,31.916,33.239,nan,nan,140,0
figlet,200,0.999,26.116,33669120.000,nan,2,0,12656095137,shasum,40,1.000,5.778,8757684.907,nan,2,0,97121303,env,20,1.000,2.981,8098966.187,nan,2,0,33311053,36.133,127.960,2678753280.000,2799950643.200,32.735,34.253,nan,nan,180,0
figlet,200,0.752,17.349,44500992.000,nan,3,1,18717354593,shasum,40,1.000,5.078,9253546.667,nan,2,0,45320438,env,40,1.000,5.166,8450389.333,nan,2,0,35428856,36.600,126.422,2689318912.000,2832588117.333,32.798,34.610,nan,nan,170,1
figlet,200,0.916,19.442,23979349.333,nan,2,0,18575791012,shasum,40,1.000,5.645,8720930.133,nan,2,0,117527403,env,40,1.000,5.498,9068107.093,nan,2,0,154686082,39.267,129.027,2676051968.000,2834134630.400,32.605,34.611,nan,nan,210,0
figlet,200,0.998,25.324,81235831.467,nan,2,0,13807682692,shasum,40,1.000,5.346,8870843.733,nan,2,0,49039795,env,40,1.000,5.369,8956996.267,nan,2,0,40662814,39.333,124.027,2667665408.000,2792472985.600,32.600,34.181,nan,nan,240,0
figlet,200,0.425,10.399,45976234.667,nan,2,1,20173611226,shasum,40,1.000,3.622,8683997.867,nan,2,0,232603480,env,60,1.000,3.004,8950647.467,nan,3,0,497889930,38.733,126.733,2565408768.000,2834055168.000,31.999,35.317,nan,nan,255,1
figlet,200,0.594,13.349,53707992.178,nan,3,1,22760037674,shasum,40,1.000,4.784,10211783.111,nan,2,0,58424825,env,60,1.000,6.371,10209371.022,nan,2,0,88576658,38.200,130.856,2670548992.000,2853601962.667,33.154,35.479,nan,nan,240,1
figlet,200,0.892,21.978,62523551.289,nan,2,1,22267269760,shasum,40,1.000,5.180,2498560.000,nan,2,0,41396966,env,60,1.000,7.158,9407829.333,nan,2,0,61189493,39.400,134.956,2664212480.000,2910665728.000,33.253,36.332,nan,nan,240,1
figlet,200,1.000,21.185,10244096.000,nan,3,0,7902898177,shasum,60,1.000,7.120,9154218.667,nan,2,0,49753928,env,0,1.000,0.059,7355733.333,nan,1,0,0,36.345,104.973,2664863744.000,2733705216.000,33.311,34.167,nan,nan,245,0
