function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,80,0.999,7.496,7574186.667,nan,3,0,11949638939,shasum,140,0.556,6.824,39687460.571,nan,2,1,23101804185,curl,40,0.465,9.374,46781098.667,nan,2,1,22910579605,43.600,149.105,2348244992.000,2786306925.714,28.737,34.085,nan,nan,10,1
figlet,80,1.000,8.854,3049984.000,nan,1,0,11040897730,shasum,140,0.317,3.730,24957191.314,nan,1,1,23657839278,curl,40,0.788,14.603,52041216.000,nan,2,1,21968015931,36.733,150.410,2651105280.000,2890167734.857,32.264,35.308,nan,nan,130,1
figlet,80,0.922,6.567,23090673.371,nan,2,0,15205763610,shasum,140,0.915,11.018,27947576.889,nan,2,0,18168716370,curl,40,0.333,6.633,16570504.533,nan,1,1,24232998386,39.600,144.371,2689570816.000,2975268864.000,32.722,36.351,nan,nan,135,1
figlet,80,1.000,12.968,25478314.667,nan,1,0,96538317,shasum,160,1.000,16.165,17631573.333,nan,1,0,2115180898,curl,0,1.000,0.071,3373056.000,nan,1,0,0,40.733,104.450,2687252480.000,2670488576.000,32.912,32.715,nan,nan,180,0
figlet,80,1.000,11.327,16844804.876,nan,1,0,55384391,shasum,160,1.000,15.486,33241721.905,nan,1,0,1960014199,curl,0,1.000,0.073,3901542.400,nan,1,0,0,41.088,111.976,2658193408.000,2663297536.000,32.579,32.644,nan,nan,145,0
figlet,80,1.000,13.349,17081173.333,nan,1,0,35057089,shasum,160,1.000,17.749,28921685.333,nan,1,0,188959129,curl,0,1.000,0.073,4422485.333,nan,1,0,0,39.533,106.233,2682427392.000,2664817152.000,32.885,32.671,nan,nan,135,0
figlet,80,1.000,7.421,2780023.467,nan,3,0,13301751774,shasum,160,0.748,7.008,2506752.000,nan,3,1,22938531337,curl,20,1.000,7.024,8482816.000,nan,2,0,7108518506,42.600,138.613,2691764224.000,2992288768.000,33.009,36.707,nan,nan,30,1
figlet,80,0.999,7.853,2408448.000,nan,3,0,10173120670,shasum,160,0.677,8.333,33367681.707,nan,3,1,20413810325,curl,20,0.918,10.518,19447671.467,nan,2,0,4036121152,36.733,128.561,2692456448.000,2881439334.400,32.864,35.244,nan,nan,215,1
figlet,80,1.000,9.358,28992853.333,nan,3,0,12193866456,shasum,160,0.716,9.265,34134971.733,nan,2,1,22148850012,curl,20,1.000,11.154,25460841.651,nan,2,0,6066029624,39.600,139.833,2673147904.000,2917386922.667,32.699,35.758,nan,nan,250,1
figlet,80,1.000,12.847,16361813.333,nan,2,0,112884804,shasum,180,1.000,17.140,22153386.667,nan,2,0,3392742508,curl,0,1.000,0.075,3653120.000,nan,1,0,0,42.512,107.806,2609838080.000,2660982784.000,31.806,32.440,nan,nan,260,0
