function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.069,8537258.667,nan,1,0,0,nmap,0,1.000,0.069,4302336.000,nan,1,0,0,env,120,1.000,11.895,2678357.333,nan,1,0,7606696,40.933,72.733,7473985536.000,7470815232.000,88.289,88.250,nan,nan,30,0
figlet,0,1.000,0.059,8513779.810,nan,1,0,0,nmap,0,1.000,0.064,4275200.000,nan,1,0,0,env,120,1.000,12.176,2716091.733,nan,2,0,7592332,41.933,79.950,7469117440.000,7472778752.000,88.228,88.273,nan,nan,25,0
figlet,0,1.000,0.071,8561322.667,nan,1,0,0,nmap,0,1.000,0.055,4347323.733,nan,1,0,0,env,140,1.000,14.902,3023023.543,nan,2,0,8280082,39.067,81.785,7473569792.000,7476505600.000,88.276,88.309,nan,nan,30,0
figlet,0,1.000,0.052,8561834.667,nan,1,0,0,nmap,0,1.000,0.056,4416682.667,nan,1,0,0,env,140,1.000,14.900,3087360.000,nan,2,0,7742904,40.000,80.800,7481591808.000,7479427072.000,88.363,88.337,nan,nan,30,0
figlet,0,1.000,0.075,8618325.333,nan,1,0,0,nmap,0,1.000,0.059,4446890.667,nan,1,0,0,env,140,1.000,14.801,2584576.000,nan,2,0,10468080,37.467,78.717,7474925568.000,7479603712.000,88.276,88.331,nan,nan,30,0
figlet,0,1.000,0.063,8803328.000,nan,1,0,0,nmap,0,1.000,0.061,4490410.667,nan,1,0,0,env,160,1.000,16.046,4952970.971,nan,1,0,8006264,38.800,81.600,7476987904.000,7478666240.000,88.302,88.321,nan,nan,30,0
figlet,0,1.000,0.068,8840533.333,nan,1,0,0,nmap,0,1.000,0.067,4619361.524,nan,1,0,0,env,160,1.000,15.882,2702472.533,nan,2,0,9468512,41.779,90.889,7485380608.000,7481678336.000,88.399,88.354,nan,nan,25,0
figlet,0,1.000,0.061,8555037.257,nan,1,0,0,nmap,0,1.000,0.051,4512446.171,nan,1,0,0,env,160,1.000,14.717,3019434.667,nan,2,0,18100307,39.933,87.600,7486316544.000,7486064640.000,88.397,88.394,nan,nan,30,0
figlet,0,1.000,0.069,8587776.000,nan,1,0,0,nmap,0,1.000,0.062,4603392.000,nan,1,0,0,env,180,1.000,18.934,2932394.667,nan,2,0,13722717,37.867,89.117,7496292352.000,7496761344.000,88.524,88.529,nan,nan,30,0
figlet,0,1.000,0.062,8572928.000,nan,1,0,0,nmap,0,1.000,0.066,4407296.000,nan,1,0,0,env,180,1.000,18.423,2822621.867,nan,2,0,29332682,40.400,89.050,7495073792.000,7499678720.000,88.508,88.563,nan,nan,30,0
figlet,0,1.000,0.081,8823296.000,nan,1,0,0,nmap,0,1.000,0.071,4473173.333,nan,1,0,0,env,180,1.000,17.504,7633066.667,nan,1,0,12757234,38.333,85.333,7511080960.000,7507941888.000,88.700,88.661,nan,nan,30,0
figlet,0,1.000,0.066,9212245.333,nan,1,0,0,nmap,0,1.000,0.065,4435968.000,nan,1,0,0,env,200,1.000,18.954,2697113.600,nan,2,0,14298440,42.000,99.517,7514593280.000,7510983168.000,88.740,88.697,nan,nan,25,0
