function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,50,1.000,7.734,5316608.000,nan,1,0,13337772,shasum,160,1.000,16.237,5879296.000,nan,1,0,18814746,nmap,0,1.000,0.068,2881365.333,nan,1,0,0,36.533,108.917,1800613888.000,1823558656.000,21.416,21.693,nan,nan,10,0
figlet,50,1.000,7.513,8816981.333,nan,2,0,22968642,shasum,160,1.000,15.555,11786069.333,nan,2,0,344819644,nmap,0,1.000,0.065,3164330.667,nan,1,0,0,39.533,100.585,1916334080.000,1932906496.000,22.847,23.051,nan,nan,35,0
figlet,50,1.000,8.042,8973702.095,nan,1,0,17257667,shasum,160,1.000,17.780,21560880.762,nan,1,0,55479508,nmap,0,1.000,0.065,3362733.105,nan,1,0,0,39.267,108.650,2008303616.000,1991155200.000,23.999,23.793,nan,nan,25,0
figlet,50,1.000,6.993,11645189.689,nan,3,0,984087284,shasum,160,0.829,10.047,48067584.000,nan,2,1,17711086065,nmap,10,0.287,22.905,225560894.578,nan,1,1,27369044747,41.067,144.089,1979232256.000,2348720128.000,23.658,28.075,nan,nan,30,1
figlet,50,1.000,7.786,12548664.889,nan,2,0,278383484,shasum,160,0.997,14.765,22610329.600,nan,2,0,16580718379,nmap,10,0.540,24.132,231869781.333,nan,1,1,27539420513,39.400,138.689,2058184704.000,2452098048.000,24.488,29.336,nan,nan,230,1
figlet,50,1.000,6.988,17247698.489,nan,2,0,1101996041,shasum,160,0.868,10.907,25814357.333,nan,3,1,17577586173,nmap,10,0.157,21.372,292031635.911,nan,1,1,28845318971,36.800,139.022,1996011520.000,2448602794.667,23.804,29.330,nan,nan,240,1
figlet,50,1.000,8.569,14790144.000,nan,1,0,21100744,shasum,170,1.000,17.232,6923434.667,nan,1,0,95089253,nmap,0,1.000,0.082,17226752.000,nan,1,0,0,39.267,107.617,2035767296.000,2030609920.000,24.245,24.183,nan,nan,235,0
figlet,50,1.000,7.962,15126016.000,nan,2,0,32692844,shasum,170,1.000,16.709,12732416.000,nan,2,0,304537610,nmap,0,1.000,0.059,15306752.000,nan,1,0,0,38.333,102.233,2069633024.000,2074595328.000,24.661,24.721,nan,nan,180,0
figlet,50,1.000,8.049,14445363.200,nan,1,0,19904808,shasum,170,1.000,18.440,15679317.333,nan,1,0,69427000,nmap,0,1.000,0.072,15280469.333,nan,1,0,0,37.933,106.500,2070167552.000,2059655168.000,24.672,24.546,nan,nan,235,0
figlet,50,1.000,7.016,15703153.778,nan,2,0,520348005,shasum,170,0.954,12.750,31147349.333,nan,2,0,17635704048,nmap,10,0.277,20.290,269241617.067,nan,1,1,27769455866,39.467,140.578,2056744960.000,2548827477.333,24.514,30.504,nan,nan,210,1
figlet,50,1.000,5.749,16248149.333,nan,2,0,580149737,shasum,170,0.994,12.140,36121600.000,nan,3,0,15635954666,nmap,10,0.187,23.902,258254336.000,nan,1,1,29123319181,37.067,137.811,2067144704.000,2528356352.000,24.602,30.218,nan,nan,245,1
figlet,50,1.000,7.385,15700559.644,nan,2,0,279206381,shasum,170,1.000,14.757,29663232.000,nan,2,0,19712603519,nmap,10,0.397,27.339,275021141.333,nan,1,1,27430589566,38.333,144.000,2055800832.000,2575490730.667,24.409,30.806,nan,nan,235,1
figlet,50,1.000,7.617,14139904.000,nan,2,0,29033673,shasum,180,1.000,17.164,18849962.667,nan,2,0,302294357,nmap,0,1.000,0.075,16854528.000,nan,1,0,0,38.600,103.033,2067189760.000,2080052224.000,24.534,24.689,nan,nan,350,0
figlet,50,1.000,8.461,14149290.667,nan,1,0,22391779,shasum,180,1.000,19.407,18941269.333,nan,1,0,137981838,nmap,0,1.000,0.068,16236544.000,nan,1,0,0,37.600,108.850,2070362112.000,2072910848.000,24.580,24.610,nan,nan,295,0
figlet,50,1.000,7.689,13869226.667,nan,2,0,30601739,shasum,180,1.000,17.224,19240277.333,nan,2,0,478297717,nmap,0,1.000,0.071,16228352.000,nan,1,0,0,35.333,101.417,2066079744.000,2077857280.000,24.530,24.672,nan,nan,285,0
figlet,50,1.000,6.767,15986471.822,nan,2,0,918251306,shasum,180,0.726,11.321,45731168.711,nan,2,1,21104422320,nmap,10,0.033,23.524,301311863.467,nan,1,1,27976461485,36.590,140.663,2067980288.000,2595582634.667,24.565,30.991,nan,nan,460,1
figlet,50,1.000,5.166,19801224.533,nan,2,0,1704523889,shasum,180,0.919,10.042,31813120.000,nan,3,0,19920178278,nmap,20,0.045,15.813,226500221.156,nan,1,1,28674141596,37.400,140.011,2070153216.000,2599674538.667,24.672,31.158,nan,nan,295,1
