function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,110,1.000,11.320,10455889.850,nan,2,0,285910989,shasum,50,1.000,4.550,7288241.284,nan,2,0,19851837,nmap,10,0.837,38.583,214998059.189,nan,1,1,18899013690,34.533,130.933,1811972096.000,2108512841.143,21.541,25.158,nan,nan,10,1
figlet,110,1.000,15.320,16151893.333,nan,2,0,380304686,shasum,50,1.000,5.844,2383872.000,nan,2,0,22379052,nmap,10,1.000,42.925,254001561.600,nan,1,0,18055136397,42.800,126.827,1998460928.000,2185042739.200,23.881,26.132,nan,nan,25,0
figlet,110,1.000,14.652,20982897.778,nan,3,0,211675947,shasum,50,1.000,5.515,2587648.000,nan,2,0,22614888,nmap,10,0.850,37.160,225970744.889,nan,1,1,21334633214,35.133,134.922,2047821824.000,2278236160.000,24.331,27.140,nan,nan,75,1
figlet,110,1.000,14.676,18851498.667,nan,1,0,14389472,shasum,60,1.000,6.368,10130773.333,nan,1,0,10348083,nmap,0,1.000,0.056,13660501.333,nan,1,0,0,35.200,90.733,2051244032.000,2034585600.000,24.408,24.207,nan,nan,60,0
figlet,110,1.000,15.609,16713337.905,nan,1,0,19070835,shasum,60,1.000,6.657,2804940.800,nan,1,0,11403480,nmap,0,1.000,0.070,13125461.333,nan,1,0,0,37.733,91.483,2041749504.000,2036252160.000,24.308,24.236,nan,nan,30,0
figlet,110,1.000,16.582,16755200.000,nan,2,0,12887022,shasum,60,1.000,6.612,2768896.000,nan,2,0,10223296,nmap,0,1.000,0.063,12822016.000,nan,1,0,0,40.467,89.383,2054559744.000,2036679680.000,24.466,24.245,nan,nan,60,0
figlet,110,1.000,14.051,23643818.667,nan,2,0,1384574446,shasum,60,1.000,6.471,2319360.000,nan,2,0,129057253,nmap,10,0.813,32.551,237670536.533,nan,1,1,23143817816,37.400,130.989,2039681024.000,2286481408.000,24.288,27.278,nan,nan,30,1
figlet,110,1.000,15.148,21075831.467,nan,2,0,296516400,shasum,60,1.000,7.008,10831872.000,nan,2,0,20578635,nmap,10,0.983,33.403,241302186.667,nan,1,0,20215806102,35.133,131.733,2048892928.000,2277617254.400,24.418,27.183,nan,nan,195,0
figlet,110,1.000,15.646,24767965.867,nan,3,0,1591291973,shasum,60,1.000,7.255,2383872.000,nan,2,0,26962146,nmap,10,0.980,30.772,206398805.333,nan,1,0,20967479953,34.800,130.693,2056327168.000,2294151168.000,24.445,27.344,nan,nan,135,0
figlet,110,1.000,14.487,38537625.600,nan,3,0,4298369370,shasum,60,1.000,6.711,2377728.000,nan,2,0,57372544,nmap,20,0.087,24.781,219187379.444,nan,1,1,21788395560,35.533,127.747,2051942400.000,2326620979.200,24.400,27.750,nan,nan,225,1
figlet,110,1.000,13.742,26611029.333,nan,3,0,812521931,shasum,60,1.000,5.702,10304396.365,nan,2,0,37035125,nmap,30,0.004,61.760,295452993.829,nan,1,1,29909440350,37.267,141.657,2045800448.000,2272434761.143,24.405,27.154,nan,nan,270,1
figlet,110,1.000,13.856,21932617.143,nan,2,0,61766728,shasum,60,1.000,5.874,2442854.400,nan,2,0,19253878,nmap,40,0.016,64.179,251145216.000,nan,1,1,29941284952,35.333,131.667,2030272512.000,2147216530.286,24.163,25.586,nan,nan,270,1
figlet,110,1.000,13.854,42616461.410,nan,2,0,9543769460,shasum,60,1.000,5.737,10464109.714,nan,2,0,70763799,nmap,50,0.005,43.816,397326961.778,nan,1,1,29946219855,34.467,148.010,2051944448.000,2557585993.143,24.465,30.614,nan,nan,280,1
figlet,110,0.999,8.900,14733312.000,nan,2,0,11546028723,shasum,60,1.000,4.600,2461696.000,nan,2,0,215572904,nmap,60,0.000,14.248,172187566.080,nan,1,1,23902792200,38.667,130.907,2056183808.000,2390261760.000,24.346,28.435,nan,nan,385,1
figlet,110,0.947,11.029,37716650.667,nan,3,0,16226128924,shasum,60,1.000,4.377,2581845.333,nan,2,0,277006424,nmap,60,0.001,20.952,264855064.381,nan,1,1,29957253743,36.333,143.875,2052587520.000,2529102116.571,24.421,30.242,nan,nan,375,1
