function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,100,1.000,14.879,5797034.667,nan,1,0,12451152,shasum,20,1.000,2.472,4846592.000,nan,1,0,10146260,env,60,1.000,7.192,5681493.333,nan,1,0,9613834,37.467,100.233,2337646592.000,2348506624.000,28.674,28.805,nan,nan,10,0
figlet,100,1.000,14.362,2859008.000,nan,1,0,11913288,shasum,20,1.000,2.292,8407722.667,nan,1,0,10140663,env,60,1.000,6.746,8804010.667,nan,1,0,9336245,38.800,95.217,2437392384.000,2439399936.000,29.879,29.903,nan,nan,75,0
figlet,100,1.000,14.719,9948057.600,nan,1,0,107565803,shasum,20,1.000,2.278,8488823.467,nan,1,0,13569286,env,60,1.000,6.154,2825591.467,nan,1,0,16360365,42.867,99.233,2499629056.000,2502159360.000,30.646,30.674,nan,nan,30,0
figlet,100,1.000,15.974,2779136.000,nan,1,0,16373470,shasum,20,1.000,2.633,8516266.667,nan,1,0,11778626,env,80,1.000,9.161,2838528.000,nan,1,0,10790206,38.067,96.583,2537177088.000,2528736768.000,31.075,30.974,nan,nan,60,0
figlet,100,1.000,15.344,2723669.333,nan,1,0,87991100,shasum,20,1.000,2.590,2733397.333,nan,1,0,18215642,env,80,1.000,9.522,9054378.667,nan,1,0,29162420,40.832,98.096,2556317696.000,2555349504.000,31.324,31.310,nan,nan,30,0
figlet,100,1.000,14.620,2697113.600,nan,1,0,140075174,shasum,20,1.000,2.527,2752360.838,nan,1,0,13931779,env,80,1.000,9.092,2571741.867,nan,1,0,18336546,40.600,106.117,2593406976.000,2587586048.000,31.771,31.699,nan,nan,25,0
figlet,100,1.000,13.499,2900445.867,nan,1,0,237187589,shasum,20,1.000,2.350,2709811.200,nan,1,0,16184342,env,100,1.000,9.686,2860066.133,nan,1,0,37254004,39.632,107.982,2605043712.000,2602271744.000,31.917,31.881,nan,nan,30,0
figlet,100,1.000,13.692,2939801.600,nan,1,0,339145489,shasum,20,1.000,2.703,2907340.800,nan,1,0,17767139,env,100,1.000,9.460,2750761.448,nan,1,0,77423764,42.933,108.568,2641192960.000,2633588736.000,32.360,32.264,nan,nan,30,0
figlet,100,1.000,15.561,2722304.000,nan,1,0,184511826,shasum,20,1.000,2.671,2810880.000,nan,1,0,16492430,env,100,1.000,10.813,2839552.000,nan,1,0,34310979,41.600,103.750,2645508096.000,2635090432.000,32.407,32.278,nan,nan,30,0
figlet,100,1.000,15.010,17005738.667,nan,1,0,500044445,shasum,20,1.000,2.665,8696490.667,nan,1,0,21308362,env,120,1.000,12.659,2921728.000,nan,1,0,93362249,42.133,105.870,2647416832.000,2642251776.000,32.436,32.370,nan,nan,30,0
figlet,100,1.000,14.401,2905565.867,nan,1,0,527744874,shasum,20,1.000,2.580,2523869.867,nan,1,0,18558800,env,120,1.000,11.932,2734796.800,nan,1,0,112976874,42.600,114.784,2674257920.000,2665682432.000,32.730,32.624,nan,nan,25,0
figlet,100,1.000,14.147,2594850.133,nan,1,0,506100147,shasum,20,1.000,2.479,8730624.000,nan,1,0,17459484,env,120,1.000,11.198,2855338.667,nan,1,0,119796263,39.355,110.760,2678790144.000,2673578496.000,32.807,32.740,nan,nan,30,0
figlet,100,1.000,14.405,2807808.000,nan,1,0,87896711,shasum,20,1.000,2.525,2831701.333,nan,1,0,17332060,env,140,1.000,12.951,2760704.000,nan,1,0,77678391,39.333,108.901,2657681408.000,2642972672.000,32.537,32.360,nan,nan,60,0
figlet,100,1.000,14.635,2657621.333,nan,1,0,970859819,shasum,20,1.000,2.650,8598528.000,nan,1,0,22151726,env,140,1.000,13.858,2529450.667,nan,1,0,479752326,41.600,109.570,2672652288.000,2679263232.000,32.740,32.821,nan,nan,30,0
figlet,100,1.000,13.803,2874709.333,nan,1,0,509336032,shasum,20,1.000,2.612,2642602.667,nan,1,0,21707513,env,140,1.000,13.026,2710186.667,nan,1,0,368257176,39.643,117.238,2676981760.000,2670542848.000,32.812,32.734,nan,nan,55,0
figlet,100,1.000,13.199,2859008.000,nan,1,0,555575008,shasum,20,1.000,2.478,2887680.000,nan,1,0,21732267,env,160,1.000,13.761,15533738.667,nan,1,0,1671674162,38.600,113.433,2672611328.000,2686384128.000,32.763,32.927,nan,nan,60,0
figlet,100,1.000,14.628,23265962.667,nan,1,0,1841302690,shasum,20,1.000,2.836,7243946.667,nan,1,0,24899414,env,160,1.000,14.935,27533653.333,nan,1,0,3921796293,39.733,108.650,2674857984.000,2699794944.000,32.735,33.047,nan,nan,150,0
figlet,100,1.000,14.657,23525376.000,nan,1,0,616042828,shasum,20,1.000,2.773,7233706.667,nan,1,0,23667226,env,160,0.999,14.624,31974741.333,nan,1,0,2374073955,36.467,106.835,2686228480.000,2687296000.000,32.850,32.870,nan,nan,175,0
figlet,100,1.000,15.036,2387968.000,nan,3,0,6070593204,shasum,20,1.000,2.984,7592743.497,nan,2,0,31289300,env,180,0.999,15.903,51643869.867,nan,3,0,12693437006,39.933,128.213,2679242752.000,2837601894.400,32.816,34.761,nan,nan,190,0
figlet,100,1.000,14.338,2682880.000,nan,2,0,7433193583,shasum,20,1.000,3.234,2375680.000,nan,2,0,37269979,env,180,0.999,13.415,42031104.000,nan,2,0,14263169005,39.867,125.387,2615789568.000,2776879513.600,31.917,33.939,nan,nan,255,0
figlet,100,0.999,13.675,24927573.333,nan,3,0,9839686301,shasum,20,1.000,3.156,7361058.133,nan,2,0,47570599,env,180,0.997,13.794,33024955.733,nan,3,0,16164897062,40.200,131.333,2676594688.000,2873982976.000,32.824,35.282,nan,nan,250,0
figlet,100,0.998,12.453,2539520.000,nan,2,0,13218238979,shasum,20,1.000,2.419,2551808.000,nan,2,0,41965765,env,200,0.859,14.591,1486848.000,nan,3,1,21146736100,39.533,141.645,2595850240.000,2988947456.000,31.703,36.602,nan,nan,265,1
figlet,100,0.998,11.847,25663569.920,nan,3,0,10710757672,shasum,20,1.000,2.803,2359296.000,nan,2,0,49378251,env,200,0.923,13.193,2625536.000,nan,3,0,18112570633,42.267,131.960,2649759744.000,2915538534.400,32.365,35.704,nan,nan,260,0
figlet,100,1.000,12.281,2775040.000,nan,3,0,12526292720,shasum,20,1.000,2.716,2415104.000,nan,2,0,93867083,env,200,0.871,14.934,50783948.800,nan,3,1,21062389314,41.242,140.158,2683940864.000,3043160064.000,32.744,37.233,nan,nan,250,1
figlet,100,1.000,16.103,6332416.000,nan,1,0,12184962,shasum,40,1.000,5.304,7418129.067,nan,1,0,10731744,env,0,1.000,0.075,3752730.819,nan,1,0,0,37.733,86.633,2656894976.000,2660445184.000,32.357,32.399,nan,nan,275,0
figlet,100,1.000,14.996,8974438.400,nan,1,0,11176382,shasum,40,1.000,4.789,8157149.867,nan,1,0,9876697,env,0,1.000,0.077,4570794.667,nan,1,0,0,38.733,87.917,2678695936.000,2680378880.000,32.630,32.651,nan,nan,220,0
figlet,100,1.000,16.805,8399652.571,nan,1,0,11261107,shasum,40,1.000,5.061,8187123.810,nan,1,0,10292091,env,0,1.000,0.070,5136213.333,nan,1,0,0,40.533,86.150,2681083904.000,2691211264.000,32.663,32.785,nan,nan,150,0
figlet,100,1.000,16.077,8486400.000,nan,1,0,55656979,shasum,40,1.000,5.081,7876608.000,nan,1,0,20176361,env,20,1.000,2.669,7261525.333,nan,1,0,15212120,40.467,89.650,2684643328.000,2679737344.000,32.712,32.652,nan,nan,240,0
figlet,100,1.000,15.113,10268745.143,nan,1,0,15769741,shasum,40,1.000,5.333,8406903.467,nan,1,0,12773675,env,20,1.000,2.359,7067136.000,nan,1,0,11955244,39.032,94.463,2680684544.000,2682502144.000,32.671,32.693,nan,nan,205,0
figlet,100,1.000,16.622,8943274.667,nan,1,0,18025465,shasum,40,1.000,5.228,7453013.333,nan,1,0,14414485,env,20,1.000,2.917,6698154.667,nan,1,0,14508577,38.733,90.302,2663475200.000,2669513216.000,32.467,32.540,nan,nan,300,0
figlet,100,1.000,14.217,9665365.333,nan,1,0,25247173,shasum,40,1.000,4.538,8341162.667,nan,1,0,13807711,env,40,1.000,5.215,7552341.333,nan,1,0,14145633,40.000,100.567,2682779648.000,2678125056.000,32.703,32.647,nan,nan,145,0
figlet,100,1.000,16.021,10108893.867,nan,1,0,21462257,shasum,40,1.000,5.403,8432128.000,nan,1,0,12980062,env,40,1.000,5.496,7968768.000,nan,1,0,12171743,40.133,96.800,2682949632.000,2673528320.000,32.710,32.597,nan,nan,225,0
figlet,100,1.000,15.152,9047040.000,nan,1,0,27231221,shasum,40,1.000,4.891,7378261.333,nan,1,0,13749550,env,40,1.000,4.923,6934698.667,nan,1,0,12206256,41.000,102.967,2673608704.000,2676156416.000,32.603,32.635,nan,nan,265,0
