function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,20,1.000,3.438,5197653.333,nan,1,0,31722013,shasum,100,1.000,9.920,6414457.905,nan,1,0,171455220,env,180,1.000,13.955,22675114.667,nan,1,0,5961447478,37.733,111.733,2339434496.000,2432795648.000,28.730,29.855,nan,nan,10,0
figlet,20,1.000,3.729,7815509.333,nan,2,0,43648233,shasum,100,1.000,10.078,12946602.667,nan,2,0,1229917173,env,180,1.000,12.441,22174720.000,nan,2,0,9373519872,38.000,107.550,2656585728.000,2672520704.000,32.488,32.714,nan,nan,125,0
figlet,20,1.000,3.256,7242069.333,nan,1,0,35841195,shasum,100,1.000,9.485,21486250.667,nan,1,0,815535855,env,180,0.999,12.016,33957205.333,nan,1,0,8990830560,38.133,114.133,2626426880.000,2695208448.000,32.196,33.049,nan,nan,150,0
figlet,20,1.000,2.951,3086336.000,nan,2,0,56059329,shasum,100,1.000,7.706,27520887.467,nan,3,0,4418328379,env,200,0.991,8.991,32651605.333,nan,3,0,17257032014,35.733,121.933,2643509248.000,2769970380.800,32.305,33.903,nan,nan,175,0
figlet,20,1.000,4.083,2301952.000,nan,2,0,67284449,shasum,100,0.999,9.563,15282176.000,nan,2,0,6617501161,env,200,0.998,12.375,38837589.333,nan,3,0,17967152467,37.867,124.987,2642544640.000,2807558553.600,32.273,34.368,nan,nan,220,0
figlet,20,1.000,3.193,2441216.000,nan,2,0,58453160,shasum,100,0.999,9.696,28194078.720,nan,2,0,5905426301,env,200,0.854,8.794,43343872.000,nan,2,1,17387918852,35.788,124.432,2653216768.000,2756097228.800,32.332,33.632,nan,nan,205,1
figlet,20,1.000,3.524,7384576.000,nan,1,0,12164055,shasum,120,1.000,13.471,6275242.667,nan,1,0,9502054,env,0,1.000,0.147,30177962.667,nan,1,0,0,39.133,82.917,2635180032.000,2601927168.000,32.139,31.739,nan,nan,250,0
figlet,20,1.000,3.398,2736878.933,nan,1,0,11889124,shasum,120,1.000,13.121,2668544.000,nan,1,0,10961387,env,0,1.000,0.058,19145557.333,nan,1,0,0,43.467,91.700,2641707008.000,2636796928.000,32.245,32.183,nan,nan,25,0
figlet,20,1.000,3.150,2639416.889,nan,1,0,11592212,shasum,120,1.000,12.837,2604828.444,nan,1,0,9611553,env,0,1.000,0.070,19334485.333,nan,1,0,0,46.933,90.317,2651723776.000,2647115264.000,32.357,32.297,nan,nan,45,0
figlet,20,1.000,3.035,9081002.667,nan,1,0,12185690,shasum,120,1.000,12.030,9290171.733,nan,1,0,10989688,env,20,1.000,2.524,20597842.895,nan,1,0,9525424,39.133,90.133,2657165312.000,2654613504.000,32.416,32.385,nan,nan,90,0
figlet,20,1.000,3.590,7419050.667,nan,1,0,12261357,shasum,120,1.000,14.088,8458410.667,nan,1,0,11862288,env,20,1.000,2.682,21569194.667,nan,1,0,10007205,39.267,88.633,2653466624.000,2648416256.000,32.375,32.315,nan,nan,150,0
figlet,20,1.000,3.723,9078272.000,nan,1,0,20919988,shasum,120,1.000,13.826,9465856.000,nan,1,0,30763459,env,20,1.000,2.676,22321493.333,nan,1,0,16499019,40.133,89.217,2651379712.000,2654541312.000,32.356,32.394,nan,nan,90,0
figlet,20,1.000,3.373,9072640.000,nan,1,0,16901399,shasum,120,1.000,12.814,11373397.333,nan,1,0,16481975,env,40,1.000,4.803,22279680.000,nan,1,0,12241108,43.267,100.533,2651402240.000,2652635136.000,32.363,32.379,nan,nan,70,0
figlet,20,1.000,3.088,8951398.400,nan,1,0,15996798,shasum,120,1.000,11.826,10408243.200,nan,1,0,20655857,env,40,1.000,4.897,21091825.371,nan,1,0,12809626,38.200,96.200,2648696832.000,2638064128.000,32.335,32.207,nan,nan,165,0
figlet,20,1.000,3.769,9096192.000,nan,1,0,16824716,shasum,120,1.000,14.048,10856618.667,nan,1,0,14357164,env,40,1.000,5.330,21994325.333,nan,1,0,11995720,38.867,92.819,2656051200.000,2658859520.000,32.429,32.462,nan,nan,90,0
figlet,20,1.000,3.401,8415402.667,nan,1,0,19171555,shasum,120,1.000,12.598,10418176.000,nan,1,0,30137069,env,60,1.000,7.023,20884138.667,nan,1,0,16332435,40.333,105.883,2637987840.000,2646865408.000,32.216,32.323,nan,nan,145,0
figlet,20,1.000,3.232,7807726.933,nan,1,0,19056962,shasum,120,1.000,12.005,10259968.000,nan,1,0,26701515,env,60,1.000,7.033,20952493.105,nan,1,0,15383756,40.400,103.133,2656387072.000,2661468160.000,32.443,32.504,nan,nan,135,0
figlet,20,1.000,3.565,7713621.333,nan,1,0,16123519,shasum,120,1.000,13.367,9730389.333,nan,1,0,18482089,env,60,1.000,7.472,21684224.000,nan,1,0,12811522,38.867,95.917,2647652352.000,2655333888.000,32.344,32.436,nan,nan,180,0
figlet,20,1.000,3.309,7581184.000,nan,1,0,19900977,shasum,120,1.000,12.117,10424661.333,nan,1,0,26838731,env,80,1.000,8.664,20175360.000,nan,1,0,16507576,38.867,104.867,2656049152.000,2663881216.000,32.449,32.544,nan,nan,220,0
figlet,20,1.000,3.735,7991296.000,nan,1,0,18050070,shasum,120,1.000,12.781,9986974.476,nan,1,0,23027466,env,80,1.000,9.554,21345962.667,nan,1,0,17199071,38.200,101.083,2649761792.000,2653955584.000,32.379,32.430,nan,nan,210,0
figlet,20,1.000,3.434,7716522.667,nan,1,0,20066679,shasum,120,1.000,12.805,10821802.667,nan,1,0,37160246,env,80,1.000,9.335,21131434.667,nan,1,0,25201025,36.067,96.383,2656641024.000,2666432000.000,32.467,32.586,nan,nan,195,0
figlet,20,1.000,3.092,7318016.000,nan,1,0,21254547,shasum,120,1.000,11.726,10904405.333,nan,1,0,54036582,env,100,1.000,9.838,20789589.333,nan,1,0,31795089,37.400,107.600,2640318464.000,2646435328.000,32.281,32.355,nan,nan,250,0
figlet,20,1.000,3.746,7432533.333,nan,1,0,20668683,shasum,120,1.000,13.247,10610346.667,nan,1,0,55238787,env,100,1.000,11.375,20765525.333,nan,1,0,30155279,36.733,103.483,2639898624.000,2646252544.000,32.183,32.260,nan,nan,255,0
figlet,20,1.000,3.300,7539200.000,nan,1,0,22223052,shasum,120,1.000,11.526,11582464.000,nan,1,0,48329560,env,100,1.000,10.168,20786517.333,nan,1,0,25500001,35.733,108.667,2655027200.000,2657904640.000,32.372,32.408,nan,nan,220,0
figlet,20,1.000,3.444,7209891.352,nan,1,0,22047979,shasum,120,1.000,11.022,10616832.000,nan,1,0,79848280,env,120,1.000,11.673,20604235.581,nan,1,0,41264313,36.667,106.317,2631081984.000,2634993664.000,32.091,32.138,nan,nan,255,0
figlet,20,1.000,3.584,7245312.000,nan,1,0,32009601,shasum,120,1.000,11.823,13548202.667,nan,1,0,631717254,env,120,1.000,12.037,20880896.000,nan,1,0,106793103,37.733,103.633,2652471296.000,2662919168.000,32.355,32.484,nan,nan,300,0
figlet,20,1.000,3.145,7262958.933,nan,1,0,24036679,shasum,120,1.000,12.017,14371908.267,nan,1,0,116127753,env,120,1.000,11.732,20424738.133,nan,1,0,105553299,36.400,109.033,2641051648.000,2653783552.000,32.231,32.386,nan,nan,340,0
figlet,20,1.000,3.398,7233024.000,nan,1,0,28088392,shasum,120,1.000,12.002,14732970.667,nan,1,0,456839970,env,140,1.000,13.299,24132437.333,nan,1,0,972686286,38.600,106.567,2636953600.000,2671271936.000,32.190,32.606,nan,nan,315,0
figlet,20,1.000,3.459,7267937.524,nan,1,0,35899677,shasum,120,1.000,10.130,19692202.667,nan,1,0,2539918399,env,140,1.000,12.066,23087445.333,nan,1,0,724784270,36.733,111.700,2637375488.000,2697200640.000,32.215,32.945,nan,nan,325,0
figlet,20,1.000,3.381,7067818.667,nan,1,0,34094803,shasum,120,1.000,10.644,25362773.333,nan,1,0,3773468021,env,140,1.000,11.364,22257595.733,nan,1,0,681531100,36.333,113.750,2655737856.000,2721203712.000,32.463,33.261,nan,nan,385,0
figlet,20,1.000,3.484,7063381.333,nan,2,0,35105317,shasum,120,1.000,10.511,26373973.333,nan,2,0,3340000636,env,160,0.999,12.206,31922858.667,nan,2,0,7027280482,38.000,114.283,2654109696.000,2784562176.000,32.476,34.083,nan,nan,565,0
