function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,100,1.000,15.264,6097749.333,nan,1,0,74499755,shasum,120,1.000,13.544,6637738.667,nan,1,0,60583132,env,0,1.000,0.063,2601472.000,nan,1,0,0,49.333,127.054,2332024832.000,2358984704.000,28.745,29.068,nan,nan,10,0
figlet,100,1.000,15.245,10706363.733,nan,1,0,313370344,shasum,120,1.000,12.790,2809002.667,nan,1,0,324341712,env,0,1.000,0.072,2880341.333,nan,1,0,0,58.533,117.683,2445455360.000,2458734592.000,30.118,30.276,nan,nan,25,0
figlet,100,1.000,14.744,13761024.000,nan,1,0,250727864,shasum,120,1.000,12.855,2606080.000,nan,1,0,287439471,env,0,1.000,0.056,3134288.457,nan,1,0,0,53.400,111.301,2498885632.000,2502803968.000,30.765,30.811,nan,nan,30,0
figlet,100,1.000,14.761,15083349.333,nan,1,0,623850211,shasum,120,1.000,12.816,16703317.333,nan,1,0,357676758,env,20,1.000,2.725,5353642.667,nan,1,0,19285733,50.250,119.340,2538010624.000,2540553216.000,31.244,31.275,nan,nan,25,0
figlet,100,1.000,13.794,20135424.000,nan,1,0,1570905280,shasum,120,1.000,12.040,2710664.533,nan,1,0,1082285864,env,20,1.000,2.711,2865664.000,nan,1,0,22206808,52.533,119.583,2584397824.000,2589024256.000,31.828,31.882,nan,nan,30,0
figlet,100,1.000,14.026,27242798.324,nan,1,0,990120272,shasum,120,1.000,11.055,2891195.733,nan,1,0,1021589851,env,20,1.000,2.779,8667989.333,nan,1,0,21788604,62.800,118.750,2645196800.000,2647920640.000,32.555,32.590,nan,nan,30,0
figlet,100,1.000,13.966,27430741.333,nan,1,0,3711522444,shasum,120,1.000,12.245,30976170.667,nan,1,0,2774233079,env,40,1.000,5.174,7359658.667,nan,1,0,26804658,48.333,117.650,2606419968.000,2654495232.000,32.034,32.634,nan,nan,145,0
figlet,100,0.999,13.613,42263347.200,nan,2,0,9078426970,shasum,120,0.999,14.287,43840170.667,nan,3,0,8064452252,env,40,1.000,5.923,8373589.333,nan,2,0,41097200,43.488,133.661,2639642624.000,2744779161.600,32.431,33.737,nan,nan,190,0
figlet,100,1.000,13.725,37362176.000,nan,1,0,4645040593,shasum,120,1.000,11.831,18185045.333,nan,1,0,5801033329,env,40,1.000,5.460,8666794.667,nan,1,0,32250158,67.800,130.667,2643302400.000,2706005504.000,32.429,33.231,nan,nan,220,0
figlet,100,0.993,10.628,45141729.280,nan,1,0,17189948093,shasum,120,0.992,10.638,46538410.667,nan,3,0,18141755310,env,60,1.000,7.402,8024145.920,nan,2,0,349137153,63.533,142.440,2605285376.000,2803956121.600,32.126,34.534,nan,nan,250,0
