function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,110,1.000,16.800,7552000.000,nan,1,0,13589037,shasum,140,1.000,16.075,7911765.333,nan,1,0,14433914,nmap,30,1.000,168.766,81168725.333,nan,1,0,982839194,97.600,384.650,3223736320.000,3328825856.000,20.973,21.400,nan,nan,10,0
figlet,110,1.000,17.278,11535018.667,nan,1,0,19081259,shasum,140,1.000,15.642,3968375.467,nan,1,0,19591104,nmap,30,1.000,170.552,228891648.000,nan,1,0,3367006051,116.333,346.583,3403147264.000,3587890688.000,21.725,22.461,nan,nan,40,0
figlet,110,1.000,18.479,3764399.543,nan,2,0,15877044,shasum,140,1.000,16.289,3953459.200,nan,2,0,14000734,nmap,30,1.000,184.798,234737152.000,nan,2,0,3090079332,115.667,322.850,3459950592.000,3637267456.000,21.965,22.665,nan,nan,30,0
figlet,110,1.000,16.309,12023296.000,nan,2,0,14138467,shasum,140,1.000,15.445,4016332.800,nan,2,0,13074919,nmap,40,0.999,186.223,482369194.667,nan,2,0,9757152762,113.667,347.083,3521034240.000,3988599808.000,22.220,24.079,nan,nan,25,0
figlet,110,1.000,17.027,12266666.667,nan,2,0,16603265,shasum,140,1.000,16.389,3471223.467,nan,2,0,15609621,nmap,40,1.000,175.136,4013636.267,nan,2,0,9343240441,133.333,327.600,3634659328.000,3963556352.000,22.680,23.989,nan,nan,25,0
figlet,110,1.000,16.540,3369301.333,nan,2,0,14922584,shasum,140,1.000,14.899,3684232.533,nan,2,0,12825913,nmap,40,1.000,171.753,334049894.400,nan,3,0,10749935034,115.933,331.350,3691945984.000,4009198592.000,22.925,24.189,nan,nan,20,0
figlet,110,1.000,17.811,3519488.000,nan,2,0,15756902,shasum,140,1.000,16.796,3402137.600,nan,2,0,14122138,nmap,50,0.922,219.554,607527594.667,nan,3,0,16820749932,130.863,406.862,3660365824.000,3996280490.667,22.797,24.137,nan,nan,20,0
figlet,110,1.000,17.090,3581997.511,nan,2,0,14340476,shasum,140,1.000,15.981,3555328.000,nan,2,0,11241684,nmap,50,0.915,220.788,138865595.733,nan,3,0,16514144294,140.933,414.818,3681308672.000,3972417194.667,22.889,24.050,nan,nan,20,0
figlet,110,1.000,16.515,3520512.000,nan,2,0,16994945,shasum,140,1.000,17.216,3063808.000,nan,2,0,13573421,nmap,50,1.000,220.064,614236011.764,nan,3,0,14072803919,119.467,383.827,3689947136.000,4269008896.000,22.928,25.231,nan,nan,55,0
figlet,110,1.000,17.471,3461120.000,nan,2,0,16508924,shasum,140,1.000,16.207,3091968.000,nan,2,0,15521888,nmap,60,0.944,249.001,654351360.000,nan,3,0,19311854327,102.267,407.789,3675334656.000,4470134442.667,22.867,26.040,nan,nan,120,0
