function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,200,1.000,17.710,9130666.667,nan,2,0,10987236,shasum,100,1.000,7.251,8795574.857,nan,2,0,8889125,nmap,100,0.678,285.942,614772599.467,nan,3,1,22063026434,31.133,402.210,3293089792.000,4185958400.000,24.232,27.837,nan,nan,10,1
figlet,200,1.000,19.274,11408920.381,nan,2,0,9578260,shasum,100,1.000,7.880,10963334.095,nan,2,0,7806975,nmap,100,0.473,214.627,417665024.000,nan,3,1,22716035485,32.000,357.286,3664359424.000,4036629357.714,25.778,27.280,nan,nan,80,1
figlet,200,1.000,18.328,11620474.601,nan,2,0,9045744,shasum,100,1.000,7.539,11100956.909,nan,2,0,7864241,nmap,100,0.428,212.433,375045415.822,nan,2,1,23372459520,31.733,408.172,3783231488.000,4062619062.857,26.262,27.392,nan,nan,75,1
figlet,200,1.000,24.158,11103061.333,nan,1,0,4405552,shasum,120,1.000,11.106,10988202.667,nan,1,0,3981408,nmap,0,1.000,0.057,4118869.333,nan,1,0,0,29.800,113.517,3712229376.000,3628736000.000,25.987,25.655,nan,nan,100,0
figlet,200,1.000,22.735,12041728.000,nan,1,0,4276367,shasum,120,1.000,10.039,11500714.667,nan,1,0,3784021,nmap,0,1.000,0.051,4300629.333,nan,1,0,0,34.933,111.733,3538358272.000,3551908864.000,25.305,25.359,nan,nan,30,0
figlet,200,1.000,23.217,11744597.333,nan,1,0,4508590,shasum,120,1.000,10.358,11624106.667,nan,1,0,4079990,nmap,0,1.000,0.054,4574720.000,nan,1,0,0,34.867,113.409,3580678144.000,3567374336.000,25.475,25.421,nan,nan,30,0
figlet,200,1.000,20.953,11800917.333,nan,1,0,5217139,shasum,120,1.000,9.611,11507541.333,nan,1,0,4834511,nmap,20,1.000,79.037,13345792.000,nan,1,0,112470420,34.867,180.207,3574632448.000,3583483392.000,25.455,25.494,nan,nan,30,0
figlet,200,1.000,21.172,11809041.067,nan,1,0,5354774,shasum,120,1.000,10.711,11397827.048,nan,1,0,4819173,nmap,20,1.000,86.179,4008960.000,nan,1,0,113655873,34.704,201.882,3623444480.000,3608941056.000,25.666,25.605,nan,nan,40,0
figlet,200,1.000,23.504,11870549.333,nan,1,0,4980639,shasum,120,1.000,10.331,11287210.667,nan,1,0,4679903,nmap,20,1.000,89.625,18427392.000,nan,1,0,108576552,29.867,189.838,3576477696.000,3586150400.000,25.468,25.508,nan,nan,75,0
figlet,200,1.000,21.297,12031658.667,nan,1,0,7992004,shasum,120,1.000,10.248,11677866.667,nan,1,0,7020018,nmap,40,1.000,171.541,3712113.778,nan,1,0,146012571,34.467,265.600,3650910208.000,3642652160.000,25.779,25.744,nan,nan,45,0
figlet,200,1.000,20.711,11861162.667,nan,1,0,7874700,shasum,120,1.000,9.667,11385856.000,nan,1,0,7057961,nmap,40,1.000,163.319,3829987.556,nan,1,0,146836369,35.296,255.548,3658465280.000,3643611648.000,25.814,25.751,nan,nan,45,0
figlet,200,1.000,20.608,11757056.000,nan,1,0,8142669,shasum,120,1.000,9.804,11273830.400,nan,1,0,7164901,nmap,40,1.000,158.364,3631445.333,nan,1,0,142936909,35.800,247.518,3660032000.000,3655958528.000,25.821,25.802,nan,nan,45,0
figlet,200,1.000,21.399,12074543.787,nan,2,0,11514774,shasum,120,1.000,10.416,11459145.143,nan,2,0,9146209,nmap,60,0.999,214.323,3623204.571,nan,2,0,10737372123,35.133,368.253,3685380096.000,4197990809.600,25.924,27.971,nan,nan,40,0
figlet,200,1.000,21.209,12214954.667,nan,2,0,11284862,shasum,120,1.000,10.249,11382442.667,nan,2,0,9285857,nmap,60,0.999,192.555,40476672.000,nan,2,0,9657697856,33.533,293.167,3763173376.000,4143130112.000,26.218,27.736,nan,nan,75,0
