function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,110,1.000,15.050,3547136.000,nan,2,0,12376244,shasum,10,1.000,1.187,3764224.000,nan,2,0,10397736,nmap,70,1.000,241.632,494192366.933,nan,2,0,11901790420,35.600,376.533,3227817984.000,3815675084.800,20.380,22.742,nan,nan,10,0
figlet,110,1.000,14.940,3472042.667,nan,2,0,11735946,shasum,10,1.000,1.110,10249216.000,nan,2,0,10803975,nmap,70,0.650,164.474,3346432.000,nan,1,1,16264817261,37.200,253.511,3444940800.000,3671132842.667,21.292,22.202,nan,nan,50,1
figlet,110,1.000,14.317,3784704.000,nan,3,0,13777564,shasum,10,1.000,1.116,10464051.200,nan,2,0,11623493,nmap,70,1.000,290.202,220676096.000,nan,3,0,8410241837,39.800,368.773,3556665344.000,4049176166.400,21.761,23.727,nan,nan,30,0
figlet,110,1.000,13.825,3764224.000,nan,2,0,12370174,shasum,10,1.000,1.099,3665920.000,nan,2,0,11386977,nmap,80,0.984,276.115,531596765.867,nan,2,0,13504062659,36.933,354.520,3610263552.000,4019934003.200,21.977,23.615,nan,nan,65,0
figlet,110,1.000,14.388,3196928.000,nan,2,0,11464309,shasum,10,1.000,0.995,9557008.254,nan,2,0,10054283,nmap,80,0.979,278.971,584459971.048,nan,2,0,13913013590,32.600,347.911,3673729024.000,4087483733.333,22.255,23.905,nan,nan,120,0
figlet,110,1.000,10.973,3473976.889,nan,2,0,10157697,shasum,10,1.000,0.914,3567445.333,nan,2,0,9076315,nmap,80,0.593,252.320,3278848.000,nan,3,1,22631724308,38.600,355.210,3707994112.000,4189138944.000,22.400,24.317,nan,nan,20,1
figlet,110,1.000,14.129,3092480.000,nan,3,0,11448779,shasum,10,1.000,1.081,3706880.000,nan,2,0,10132444,nmap,90,0.828,257.933,394196582.400,nan,3,1,17524740870,35.600,366.864,3699757056.000,4038091434.667,22.355,23.716,nan,nan,40,1
figlet,110,1.000,12.865,5144667.022,nan,3,0,13640098,shasum,10,1.000,1.015,3735552.000,nan,2,0,13383287,nmap,90,0.978,290.760,264693760.000,nan,2,0,14783183495,30.333,378.356,3691925504.000,4066582869.333,22.323,23.834,nan,nan,110,0
figlet,110,1.000,14.311,3235840.000,nan,3,0,12448951,shasum,10,1.000,1.078,9885582.222,nan,2,0,10905043,nmap,90,0.951,298.017,676401152.000,nan,2,0,15794607643,34.800,400.500,3670765568.000,4168847360.000,22.241,24.238,nan,nan,110,0
figlet,110,1.000,13.575,3469312.000,nan,3,0,12414897,shasum,10,1.000,1.012,9846556.444,nan,2,0,9414886,nmap,100,0.761,308.011,2871296.000,nan,2,1,20080363335,34.800,404.944,3709528064.000,4485112149.333,22.404,25.519,nan,nan,125,1
figlet,110,1.000,11.269,3277312.000,nan,2,0,8008809,shasum,10,1.000,0.929,9799933.562,nan,2,0,7924806,nmap,100,0.384,167.444,187574115.962,nan,1,1,22679757900,33.733,275.962,3701059584.000,3945519689.143,22.389,23.371,nan,nan,125,1
figlet,110,1.000,11.368,6745088.000,nan,3,0,11325258,shasum,10,1.000,0.882,3086472.533,nan,2,0,10097374,nmap,100,0.615,271.188,548715963.733,nan,2,1,19848990148,29.733,347.314,3620454400.000,4054733970.286,22.035,23.784,nan,nan,130,1
figlet,110,1.000,12.504,12327424.000,nan,1,0,4430620,shasum,20,1.000,1.876,9661830.095,nan,1,0,4152869,nmap,0,1.000,0.055,4174165.333,nan,1,0,0,35.896,71.715,3702878208.000,3644608512.000,22.363,22.132,nan,nan,150,0
figlet,110,1.000,13.130,3922102.044,nan,1,0,4577663,shasum,20,1.000,2.171,3753779.200,nan,1,0,4541370,nmap,0,1.000,0.052,4479970.743,nan,1,0,0,33.667,72.533,3593832448.000,3583938560.000,21.938,21.897,nan,nan,45,0
figlet,110,1.000,15.134,3793237.333,nan,1,0,4998369,shasum,20,1.000,2.092,10942464.000,nan,1,0,4362572,nmap,0,1.000,0.057,4704085.333,nan,1,0,0,37.000,83.117,3612121088.000,3605555712.000,22.015,21.986,nan,nan,40,0
figlet,110,1.000,14.156,3789799.619,nan,1,0,5025410,shasum,20,1.000,1.958,10716330.667,nan,1,0,4855165,nmap,10,1.000,39.823,10915498.667,nan,1,0,94835558,39.333,122.017,3654440960.000,3655952896.000,22.188,22.196,nan,nan,30,0
figlet,110,1.000,14.192,3814656.000,nan,1,0,5078594,shasum,20,1.000,1.847,3685717.333,nan,1,0,4678435,nmap,10,1.000,38.986,3910119.619,nan,1,0,97987103,36.933,117.300,3676553216.000,3665729536.000,22.287,22.240,nan,nan,45,0
figlet,110,1.000,15.100,3867761.778,nan,1,0,4935513,shasum,20,1.000,2.096,3939555.556,nan,1,0,4696267,nmap,10,1.000,44.829,3853880.889,nan,1,0,98014837,39.971,114.485,3705180160.000,3682782208.000,22.402,22.310,nan,nan,45,0
figlet,110,1.000,13.762,2846720.000,nan,2,0,5384846,shasum,20,1.000,1.922,4069239.467,nan,2,0,5244323,nmap,20,1.000,82.778,2953216.000,nan,2,0,101424223,38.333,164.933,3708657664.000,3700796416.000,22.419,22.386,nan,nan,40,0
figlet,110,1.000,13.381,6866875.733,nan,2,0,5149950,shasum,20,1.000,1.902,10522624.000,nan,1,0,5464130,nmap,20,1.000,82.592,3667577.905,nan,1,0,99801599,37.933,161.109,3679238144.000,3677360128.000,22.304,22.297,nan,nan,30,0
figlet,110,1.000,12.843,8796501.333,nan,1,0,5092183,shasum,20,1.000,1.789,3728384.000,nan,1,0,5241948,nmap,20,1.000,77.150,3616256.000,nan,1,0,96786565,37.800,152.984,3685169152.000,3669734912.000,22.333,22.267,nan,nan,45,0
figlet,110,1.000,11.908,3785991.314,nan,1,0,6062019,shasum,20,1.000,2.062,3986271.086,nan,1,0,6184201,nmap,30,1.000,129.899,3875225.600,nan,1,0,103723285,40.733,190.400,3693514752.000,3692645888.000,22.364,22.360,nan,nan,30,0
figlet,110,1.000,13.807,3711914.667,nan,2,0,6048552,shasum,20,1.000,1.929,10572800.000,nan,1,0,6157163,nmap,30,1.000,129.024,3611648.000,nan,2,0,103051098,40.667,208.633,3705382912.000,3709811200.000,22.412,22.430,nan,nan,25,0
