function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,30,1.000,3.020,6616624.762,nan,2,0,9734129,shasum,120,1.000,7.174,6908211.200,nan,2,0,9520008,nmap,70,1.000,212.317,348088178.590,nan,1,0,5545736856,29.600,304.533,2929639424.000,3367153152.000,22.459,24.216,nan,nan,10,0
figlet,30,1.000,3.520,3993600.000,nan,2,0,9503394,shasum,120,1.000,8.871,10516138.667,nan,2,0,8773605,nmap,70,1.000,245.592,490847744.000,nan,2,0,6379970745,30.733,290.533,3236515840.000,3528518656.000,23.746,24.912,nan,nan,55,0
figlet,30,1.000,3.143,10482346.667,nan,2,0,10003526,shasum,120,1.000,8.039,10357077.333,nan,2,0,9329532,nmap,70,1.000,228.518,404325034.667,nan,2,0,5378550327,26.533,267.983,3319959552.000,3639036928.000,24.087,25.364,nan,nan,85,0
figlet,30,1.000,3.455,3676160.000,nan,2,0,9891570,shasum,120,1.000,8.884,10520644.267,nan,2,0,9129176,nmap,80,1.000,287.349,3558968.889,nan,2,0,11617579634,31.067,372.204,3294162944.000,3799721642.667,23.987,26.005,nan,nan,50,0
figlet,30,1.000,3.597,3746816.000,nan,2,0,9358751,shasum,120,1.000,9.205,10733340.444,nan,2,0,7989193,nmap,80,0.945,256.108,521733632.000,nan,3,0,13099378868,28.400,335.844,3282434048.000,3578610005.333,23.935,25.126,nan,nan,55,0
figlet,30,1.000,3.915,3749888.000,nan,2,0,10457455,shasum,120,1.000,10.313,10026325.333,nan,2,0,9418532,nmap,80,0.927,270.374,436594688.000,nan,2,0,15436086727,32.267,363.856,3239290880.000,3919107413.333,23.769,26.489,nan,nan,140,0
figlet,30,1.000,2.819,10559797.290,nan,2,0,7760404,shasum,120,1.000,8.227,10883743.521,nan,2,0,6776080,nmap,90,0.461,155.069,210236046.803,nan,1,1,20244495667,27.467,259.514,3352020992.000,3626709577.143,24.222,25.329,nan,nan,80,1
figlet,30,1.000,3.401,10146133.333,nan,2,0,8232153,shasum,120,1.000,8.505,10485304.889,nan,2,0,7427710,nmap,90,0.857,234.031,392610816.000,nan,3,1,15776602451,27.867,317.167,3342446592.000,3701865130.667,24.190,25.636,nan,nan,120,1
figlet,30,1.000,3.168,3693226.667,nan,2,0,7800551,shasum,120,1.000,8.560,10837560.889,nan,2,0,7256309,nmap,90,0.791,223.106,146517333.333,nan,3,1,16663030140,27.533,310.422,3308830720.000,3699365205.333,24.061,25.629,nan,nan,120,1
figlet,30,1.000,3.020,9633041.067,nan,2,0,3986769,shasum,130,1.000,8.949,10840917.333,nan,1,0,3073853,nmap,0,1.000,0.042,4059648.000,nan,1,0,0,27.867,61.533,3338092544.000,3312186880.000,24.180,24.077,nan,nan,125,0
figlet,30,1.000,3.763,10535253.333,nan,1,0,4541127,shasum,130,1.000,10.741,3546853.181,nan,1,0,3451864,nmap,0,1.000,0.040,4227657.143,nan,1,0,0,32.067,77.117,3293952000.000,3270094336.000,24.013,23.916,nan,nan,25,0
