function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,30,1.000,3.210,6340608.000,nan,1,0,9112573,shasum,40,1.000,3.042,6533120.000,nan,1,0,8193822,nmap,60,1.000,223.717,22540800.000,nan,1,0,110581780,29.600,310.883,2836011008.000,2872754688.000,21.459,21.613,nan,nan,10,0
figlet,30,1.000,3.337,10205696.000,nan,1,0,9045769,shasum,40,1.000,3.208,10111488.000,nan,1,0,7872802,nmap,60,1.000,230.188,27791447.771,nan,1,0,105562752,29.867,268.300,2888931328.000,2899780608.000,21.685,21.730,nan,nan,25,0
figlet,30,1.000,2.935,3712256.000,nan,1,0,9643578,shasum,40,1.000,2.902,10382165.333,nan,1,0,8634512,nmap,60,1.000,221.291,3794295.467,nan,1,0,132938672,34.267,268.983,2977939456.000,2992547840.000,22.056,22.112,nan,nan,30,0
figlet,30,1.000,3.473,10311509.333,nan,2,0,10451010,shasum,40,1.000,3.257,10266794.667,nan,2,0,9330815,nmap,70,1.000,261.781,3651037.867,nan,2,0,3994657557,34.133,270.733,3006826496.000,3310030848.000,22.178,23.385,nan,nan,30,0
figlet,30,1.000,3.575,3550685.867,nan,1,0,10894390,shasum,40,1.000,3.388,10210474.667,nan,1,0,9808751,nmap,70,1.000,259.214,3537646.933,nan,1,0,4627568380,41.333,316.483,3234875392.000,3609754112.000,23.124,24.615,nan,nan,35,0
figlet,30,1.000,3.452,10068138.667,nan,1,0,10792021,shasum,40,1.000,3.236,10298368.000,nan,1,0,10093367,nmap,70,1.000,248.758,3696640.000,nan,1,0,4035920048,31.467,307.083,3235645440.000,3570662912.000,23.125,24.458,nan,nan,55,0
figlet,30,1.000,3.684,4075520.000,nan,2,0,10445434,shasum,40,1.000,3.541,10253380.267,nan,2,0,9138356,nmap,80,1.000,295.994,67207168.000,nan,2,0,7699687665,42.600,369.640,3199852544.000,3566969241.600,22.974,24.440,nan,nan,40,0
figlet,30,1.000,3.268,10261162.667,nan,2,0,10433574,shasum,40,1.000,3.026,10318506.667,nan,2,0,9320568,nmap,80,1.000,238.699,3989504.000,nan,2,0,7559298934,38.533,300.933,3231729664.000,3587000320.000,23.108,24.529,nan,nan,65,0
figlet,30,1.000,3.225,9751040.000,nan,2,0,10971122,shasum,40,1.000,3.011,10013354.667,nan,2,0,10102207,nmap,80,0.999,248.367,441935018.667,nan,2,0,7553383397,28.933,295.150,3230351360.000,3573966336.000,23.123,24.493,nan,nan,140,0
figlet,30,1.000,3.702,9562112.000,nan,2,0,10130142,shasum,40,1.000,3.462,10069333.333,nan,2,0,9745422,nmap,90,1.000,273.517,413884689.067,nan,3,0,11303440113,29.800,353.067,3213230080.000,3663249408.000,23.042,24.840,nan,nan,170,0
