function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,30,1.000,3.599,6516053.333,nan,1,0,5587369,shasum,170,1.000,12.899,7037781.333,nan,1,0,4262861,nmap,20,1.000,78.846,13600938.667,nan,1,0,103875910,29.200,141.400,2951006208.000,2979229184.000,22.882,23.002,nan,nan,10,0
figlet,30,1.000,4.088,3660731.733,nan,1,0,5535772,shasum,170,1.000,14.697,10772309.333,nan,1,0,4138569,nmap,20,1.000,92.256,3377152.000,nan,1,0,103702721,57.600,179.333,3045076992.000,3062654464.000,23.282,23.356,nan,nan,20,0
figlet,30,1.000,3.302,3655850.667,nan,1,0,5079119,shasum,170,1.000,11.325,3670118.400,nan,1,0,3713688,nmap,20,1.000,70.188,3798528.000,nan,1,0,95476433,40.067,153.783,3122016256.000,3126643712.000,23.600,23.615,nan,nan,30,0
figlet,30,1.000,3.610,4063553.829,nan,1,0,6148168,shasum,170,1.000,12.143,3868057.600,nan,2,0,4509236,nmap,30,1.000,125.852,3783372.800,nan,2,0,98842327,34.467,180.850,3173163008.000,3162325504.000,23.808,23.762,nan,nan,30,0
figlet,30,1.000,3.942,3715140.267,nan,2,0,6725018,shasum,170,1.000,14.342,3842628.267,nan,2,0,5430968,nmap,30,1.000,133.269,21124608.000,nan,2,0,110750328,36.400,192.050,3175550976.000,3178496512.000,23.821,23.830,nan,nan,30,0
figlet,30,1.000,3.727,3676040.533,nan,1,0,6559967,shasum,170,1.000,13.440,4020804.267,nan,1,0,5263512,nmap,30,1.000,131.566,4070707.200,nan,1,0,108611294,37.267,215.900,3216691200.000,3202702336.000,23.989,23.930,nan,nan,25,0
figlet,30,1.000,3.095,3683515.733,nan,1,0,6710656,shasum,170,1.000,11.718,3911509.333,nan,1,0,5727911,nmap,40,1.000,153.846,3889152.000,nan,1,0,108383825,37.200,237.900,3202205696.000,3180583936.000,23.934,23.845,nan,nan,30,0
figlet,30,1.000,3.153,3843140.267,nan,1,0,6655359,shasum,170,1.000,10.661,3628305.067,nan,1,0,5292842,nmap,40,1.000,134.934,3682830.629,nan,1,0,103669912,36.867,226.050,3191914496.000,3194297344.000,23.897,23.904,nan,nan,30,0
figlet,30,1.000,3.438,3759616.000,nan,1,0,6938250,shasum,170,1.000,11.465,4089139.200,nan,1,0,5843904,nmap,40,1.000,152.114,3812761.600,nan,1,0,108673731,34.000,225.767,3242194944.000,3231791616.000,24.099,24.055,nan,nan,30,0
figlet,30,1.000,3.480,3799381.333,nan,1,0,7490897,shasum,170,1.000,12.455,3636497.067,nan,2,0,6768802,nmap,50,1.000,207.623,3686946.133,nan,1,0,120454975,35.200,248.900,3250728960.000,3250064896.000,24.136,24.131,nan,nan,30,0
figlet,30,1.000,3.470,3787229.867,nan,2,0,7771216,shasum,170,1.000,12.066,11197440.000,nan,2,0,6886520,nmap,50,1.000,200.448,4313565.867,nan,1,0,134906444,34.867,241.200,3252346880.000,3251369984.000,24.145,24.138,nan,nan,30,0
figlet,30,1.000,3.491,3636838.400,nan,1,0,7935518,shasum,170,1.000,12.372,3747054.933,nan,1,0,6899900,nmap,50,1.000,209.835,4060091.733,nan,1,0,129064366,35.200,281.783,3265470464.000,3259126784.000,24.200,24.172,nan,nan,25,0
figlet,30,1.000,3.427,3802726.400,nan,1,0,9119254,shasum,170,1.000,11.506,3850752.000,nan,1,0,8767205,nmap,60,1.000,225.503,237719040.000,nan,1,0,3017938112,35.200,305.267,3271278592.000,3560031232.000,24.227,25.379,nan,nan,30,0
figlet,30,1.000,3.279,10274304.000,nan,1,0,8185194,shasum,170,1.000,10.890,10808149.333,nan,1,0,8174320,nmap,60,1.000,227.086,257790976.000,nan,1,0,2662982612,29.067,298.583,3345596416.000,3615770624.000,24.540,25.617,nan,nan,145,0
figlet,30,1.000,3.309,9334954.667,nan,2,0,9303046,shasum,170,1.000,11.392,10573653.333,nan,2,0,8162123,nmap,60,1.000,239.635,268602026.667,nan,2,0,2484666009,29.200,267.367,3331887104.000,3516245504.000,24.493,25.227,nan,nan,135,0
figlet,30,1.000,3.398,9707008.000,nan,2,0,9467748,shasum,170,1.000,11.869,10738176.000,nan,2,0,8511421,nmap,70,1.000,240.472,387357354.667,nan,2,0,6163976114,26.467,270.067,3347402752.000,3688398336.000,24.556,25.917,nan,nan,145,0
figlet,30,1.000,3.587,9826304.000,nan,2,0,9722203,shasum,170,1.000,12.518,10399061.333,nan,2,0,8994232,nmap,70,1.000,245.805,418584064.000,nan,2,0,7504513471,28.133,276.067,3335202816.000,3708395520.000,24.482,25.973,nan,nan,140,0
figlet,30,1.000,3.317,9106261.333,nan,2,0,9294436,shasum,170,1.000,12.752,10419200.000,nan,2,0,8535227,nmap,70,1.000,212.824,352845043.810,nan,2,0,6904429289,28.400,282.600,3329366016.000,3658434048.000,24.451,25.767,nan,nan,245,0
figlet,30,1.000,3.463,3141632.000,nan,2,0,9053215,shasum,170,1.000,12.469,3096576.000,nan,2,0,8047953,nmap,80,0.999,255.320,483712587.093,nan,3,0,10304411937,28.400,355.533,3347935232.000,3935023104.000,24.543,26.886,nan,nan,215,0
figlet,30,1.000,3.501,3617792.000,nan,2,0,9880813,shasum,170,1.000,12.253,11613184.000,nan,2,0,8292057,nmap,80,0.773,201.106,420308992.000,nan,3,1,16359228470,28.200,288.789,3334840320.000,3755905706.667,24.501,26.185,nan,nan,195,1
figlet,30,1.000,3.638,3067904.000,nan,2,0,9397667,shasum,170,1.000,12.564,11048413.867,nan,2,0,8472729,nmap,80,0.999,268.685,210247680.000,nan,3,0,10007791706,29.533,360.107,3322609664.000,3923992166.400,24.450,26.853,nan,nan,255,0
figlet,30,1.000,3.441,3844608.000,nan,2,0,9061481,shasum,170,1.000,12.211,11419761.778,nan,2,0,7940470,nmap,90,0.894,252.215,3534848.000,nan,3,1,15869407125,30.400,354.956,3300745216.000,3726079658.667,24.378,26.080,nan,nan,255,1
figlet,30,1.000,3.407,3969706.667,nan,2,0,9377689,shasum,170,1.000,11.998,3754666.667,nan,2,0,8243607,nmap,90,0.967,276.701,3452928.000,nan,3,0,13788274233,27.667,378.600,3300339712.000,3960715264.000,24.373,27.014,nan,nan,290,0
figlet,30,1.000,3.804,3438592.000,nan,2,0,9579125,shasum,170,1.000,13.056,11386743.467,nan,2,0,8566065,nmap,90,1.000,280.160,351662080.000,nan,2,0,13247898842,29.933,336.040,3310450688.000,3881947136.000,24.432,26.709,nan,nan,265,0
figlet,30,1.000,3.610,3425280.000,nan,2,0,8982858,shasum,170,1.000,12.191,3627008.000,nan,2,0,7773057,nmap,100,0.739,242.626,403152782.222,nan,3,1,18612539538,28.533,329.189,3332935680.000,3787415893.333,24.525,26.339,nan,nan,355,1
figlet,30,1.000,3.391,3491840.000,nan,2,0,9811728,shasum,170,1.000,11.877,3318272.000,nan,2,0,8119309,nmap,100,0.903,296.291,513393777.778,nan,3,0,16183135894,27.600,370.189,3330340864.000,3920613034.667,24.512,26.875,nan,nan,240,0
figlet,30,1.000,3.356,3618816.000,nan,2,0,9165188,shasum,170,1.000,11.828,11478926.222,nan,2,0,8305487,nmap,100,0.930,292.378,509751068.444,nan,3,0,15743878872,27.133,391.222,3319654400.000,4056911872.000,24.475,27.424,nan,nan,240,0
figlet,30,1.000,3.015,3144362.667,nan,2,0,10159269,shasum,170,1.000,10.368,12077042.068,nan,2,0,9176041,nmap,110,0.533,238.270,659502694.400,nan,3,1,20812426054,27.667,351.324,3329751040.000,3909857280.000,24.522,26.853,nan,nan,230,1
figlet,30,1.000,3.477,3245568.000,nan,2,0,9178895,shasum,170,1.000,12.036,3095552.000,nan,2,0,8419524,nmap,110,0.866,316.019,403433984.000,nan,3,1,18074025270,27.533,381.156,3314610176.000,4039400789.333,24.469,27.368,nan,nan,315,1
