function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,shasum,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,31.933,33.133,3769284608.000,3764035584.000,26.297,26.277,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,shasum,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,33.133,33.133,3764035584.000,3764035584.000,26.277,26.277,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,shasum,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,33.029,33.029,3720089600.000,3720089600.000,26.104,26.104,nan,nan,20,0
figlet,0,1.000,0.053,4771498.667,nan,1,0,0,shasum,0,1.000,0.054,4891648.000,nan,1,0,0,env,20,1.000,2.131,7142229.333,nan,1,0,4271492,33.029,40.791,3720089600.000,3681780224.000,26.104,25.952,nan,nan,10,0
figlet,0,1.000,0.053,4961109.333,nan,1,0,0,shasum,0,1.000,0.054,5106346.667,nan,1,0,0,env,20,1.000,2.047,4020565.333,nan,1,0,4356958,34.000,40.317,3734970368.000,3739557376.000,26.168,26.185,nan,nan,35,0
figlet,0,1.000,0.054,5177890.133,nan,1,0,0,shasum,0,1.000,0.056,5254144.000,nan,1,0,0,env,20,1.000,2.033,3800458.971,nan,2,0,4366592,34.200,39.483,3763642368.000,3760001536.000,26.282,26.267,nan,nan,30,0
figlet,0,1.000,0.055,5333991.619,nan,1,0,0,shasum,0,1.000,0.050,5459285.333,nan,1,0,0,env,40,1.000,4.016,3761542.095,nan,1,0,4061480,36.133,47.533,3780880384.000,3777704960.000,26.352,26.339,nan,nan,25,0
figlet,0,1.000,0.054,5580458.667,nan,1,0,0,shasum,0,1.000,0.052,5685418.667,nan,1,0,0,env,40,1.000,4.152,10570922.667,nan,1,0,4058993,33.267,46.217,3764895744.000,3760044544.000,26.288,26.269,nan,nan,30,0
figlet,0,1.000,0.054,5742592.000,nan,1,0,0,shasum,0,1.000,0.055,5834069.333,nan,1,0,0,env,40,1.000,4.006,10605056.000,nan,1,0,4097528,35.600,46.500,3765002240.000,3763764224.000,26.290,26.284,nan,nan,30,0
figlet,0,1.000,0.053,5976576.000,nan,1,0,0,shasum,0,1.000,0.051,6032384.000,nan,1,0,0,env,60,1.000,5.422,10605056.000,nan,1,0,3746657,36.600,51.350,3768817664.000,3764572672.000,26.306,26.289,nan,nan,30,0
figlet,0,1.000,0.052,6138641.067,nan,1,0,0,shasum,0,1.000,0.053,6201514.667,nan,1,0,0,env,60,1.000,5.222,3804450.133,nan,2,0,3835859,36.200,50.492,3762726912.000,3769660416.000,26.283,26.310,nan,nan,30,0
figlet,0,1.000,0.049,6350248.229,nan,1,0,0,shasum,0,1.000,0.049,6395148.190,nan,1,0,0,env,60,1.000,5.785,3953810.286,nan,1,0,3909985,34.962,53.698,3800176640.000,3793734656.000,26.433,26.407,nan,nan,25,0
figlet,0,1.000,0.052,6548309.333,nan,1,0,0,shasum,0,1.000,0.050,6612992.000,nan,1,0,0,env,80,1.000,7.302,10667008.000,nan,1,0,3730371,36.667,57.717,3803525120.000,3795327488.000,26.430,26.389,nan,nan,30,0
figlet,0,1.000,0.054,7241557.333,nan,1,0,0,shasum,0,1.000,0.053,7437994.667,nan,1,0,0,env,80,1.000,7.728,10704042.667,nan,2,0,3921175,33.000,56.550,3811643392.000,3804715520.000,26.445,26.417,nan,nan,45,0
figlet,0,1.000,0.058,7275520.000,nan,1,0,0,shasum,0,1.000,0.061,7335082.667,nan,1,0,0,env,80,1.000,7.439,10687488.000,nan,1,0,3775059,34.867,57.175,3817246720.000,3817728512.000,26.469,26.471,nan,nan,30,0
figlet,0,1.000,0.052,5789866.667,nan,1,0,0,shasum,0,1.000,0.051,5812394.667,nan,1,0,0,env,100,1.000,8.316,3441152.000,nan,1,0,3569196,33.467,64.483,3819933696.000,3817660416.000,26.481,26.471,nan,nan,40,0
figlet,0,1.000,0.056,5882026.667,nan,1,0,0,shasum,0,1.000,0.057,5930154.667,nan,1,0,0,env,100,1.000,9.193,10558122.667,nan,1,0,3478301,35.533,62.733,3850051584.000,3859761152.000,26.601,26.640,nan,nan,30,0
figlet,0,1.000,0.052,5793792.000,nan,1,0,0,shasum,0,1.000,0.051,6035114.667,nan,1,0,0,env,100,1.000,9.084,3723776.000,nan,1,0,3561853,34.400,62.283,3855808512.000,3854743040.000,26.624,26.620,nan,nan,30,0
figlet,0,1.000,0.058,5861717.333,nan,1,0,0,shasum,0,1.000,0.055,6034261.333,nan,1,0,0,env,120,1.000,9.713,10677930.667,nan,1,0,3313271,34.067,63.150,3855560704.000,3847152128.000,26.624,26.591,nan,nan,30,0
figlet,0,1.000,0.055,5937664.000,nan,1,0,0,shasum,0,1.000,0.051,5939200.000,nan,1,0,0,env,120,1.000,9.669,3968536.381,nan,1,0,3741925,32.896,64.731,3840163840.000,3839659008.000,26.564,26.561,nan,nan,30,0
figlet,0,1.000,0.060,6045866.667,nan,1,0,0,shasum,0,1.000,0.049,6031360.000,nan,1,0,0,env,120,1.000,9.164,3689520.762,nan,1,0,3308742,33.933,65.233,3784781824.000,3781725184.000,26.344,26.331,nan,nan,40,0
figlet,0,1.000,0.049,6153557.333,nan,1,0,0,shasum,0,1.000,0.051,6065493.333,nan,1,0,0,env,140,1.000,12.149,10733568.000,nan,1,0,3514544,35.867,73.417,3800580096.000,3797008896.000,26.408,26.393,nan,nan,30,0
figlet,0,1.000,0.061,6016000.000,nan,1,0,0,shasum,0,1.000,0.052,5943125.333,nan,1,0,0,env,140,1.000,12.915,3978353.778,nan,1,0,3971027,34.333,75.867,3841599488.000,3837852160.000,26.572,26.556,nan,nan,45,0
figlet,0,1.000,0.051,6008832.000,nan,1,0,0,shasum,0,1.000,0.055,5974698.667,nan,1,0,0,env,140,1.000,11.273,3765248.000,nan,1,0,3433792,32.971,67.177,3842060288.000,3843045376.000,26.575,26.577,nan,nan,45,0
