function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,80,1.000,13.350,7160149.333,nan,1,0,6986462,shasum,80,1.000,9.526,6988458.667,nan,1,0,5713445,curl,40,1.000,26.758,16802474.667,nan,1,0,382819508,52.667,140.183,4575356928.000,4599631360.000,34.482,34.579,nan,nan,10,0
figlet,80,1.000,12.758,10637653.333,nan,1,0,8120376,shasum,80,1.000,9.169,10526378.667,nan,1,0,6966939,curl,40,1.000,25.820,4124194.133,nan,1,0,383262007,57.800,153.983,4717160448.000,4716408320.000,35.066,35.047,nan,nan,40,0
figlet,80,1.000,13.743,10857642.667,nan,1,0,6321111,shasum,80,1.000,10.134,10853546.667,nan,1,0,5455668,curl,40,1.000,29.265,22443861.333,nan,1,0,381052994,55.800,144.433,4756459520.000,4768048640.000,35.180,35.226,nan,nan,75,0
figlet,80,1.000,12.774,3808597.333,nan,1,0,7956648,shasum,80,1.000,9.374,10913621.333,nan,1,0,6903565,curl,60,1.000,36.739,27590656.000,nan,1,0,379805558,59.400,175.217,4809652224.000,4807316992.000,35.406,35.393,nan,nan,40,0
figlet,80,1.000,11.157,3760230.400,nan,1,0,6711409,shasum,80,1.000,9.110,11051008.000,nan,1,0,5808646,curl,60,1.000,41.480,3794909.867,nan,1,0,383572631,64.333,172.117,4858986496.000,4848579584.000,35.605,35.560,nan,nan,45,0
figlet,80,1.000,13.527,3815082.667,nan,1,0,7229803,shasum,80,1.000,9.346,11018069.333,nan,1,0,5968234,curl,60,1.000,39.680,3792896.000,nan,1,0,380509472,61.400,162.467,4864856064.000,4857442304.000,35.630,35.597,nan,nan,45,0
figlet,80,1.000,11.880,11003904.000,nan,1,0,7478025,shasum,80,1.000,8.583,11014826.667,nan,1,0,6150139,curl,80,1.000,46.438,3952674.133,nan,1,0,382790956,59.533,187.633,4869138432.000,4866191872.000,35.652,35.636,nan,nan,40,0
figlet,80,1.000,12.662,3683669.333,nan,1,0,7443660,shasum,80,1.000,9.526,10954800.762,nan,1,0,6680846,curl,80,1.000,48.577,33829824.610,nan,1,0,383511080,61.800,178.233,4894935040.000,4897481216.000,35.758,35.764,nan,nan,45,0
figlet,80,1.000,12.122,3818052.267,nan,1,0,7058018,shasum,80,1.000,8.604,11111594.667,nan,1,0,5968770,curl,80,1.000,46.880,3734869.333,nan,1,0,378965162,61.533,187.450,4904394752.000,4902605824.000,35.799,35.787,nan,nan,40,0
figlet,80,1.000,11.531,10917683.200,nan,1,0,6960194,shasum,80,1.000,8.601,11173785.600,nan,1,0,6066309,curl,100,1.000,58.589,38478438.400,nan,1,0,380963622,57.667,188.350,4838037504.000,4857058816.000,35.528,35.604,nan,nan,75,0
figlet,80,1.000,11.612,11020970.667,nan,1,0,6937925,shasum,80,1.000,7.623,11048277.333,nan,1,0,5903695,curl,100,1.000,56.178,3723264.000,nan,1,0,379367435,57.200,198.867,4883726336.000,4902168064.000,35.713,35.787,nan,nan,70,0
figlet,80,1.000,11.022,11101769.143,nan,1,0,6845229,shasum,80,1.000,8.094,11110980.267,nan,1,0,5873062,curl,100,1.000,52.006,36629538.133,nan,1,0,381372079,63.667,192.317,4904482816.000,4905037312.000,35.809,35.808,nan,nan,45,0
