function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
shasum,180,1.000,13.779,7127552.000,nan,1,0,12398609,nmap,20,1.000,85.350,20245845.333,nan,1,0,426280195,curl,160,1.000,71.990,51667217.067,nan,1,0,970857724,54.533,277.850,3871346688.000,3977772032.000,23.151,23.583,nan,nan,10,0
shasum,180,1.000,16.940,3699114.667,nan,1,0,12831895,nmap,20,1.000,117.013,3643904.000,nan,1,0,461463442,curl,160,1.000,88.054,3694336.000,nan,1,0,1631258495,77.067,319.483,4050169856.000,4111352320.000,23.898,24.147,nan,nan,20,0
shasum,180,1.000,14.028,11713536.000,nan,2,0,12638411,nmap,20,1.000,89.697,3548433.067,nan,1,0,356237475,curl,160,1.000,76.965,3668070.400,nan,1,0,673064338,63.333,290.421,4264626176.000,4272811520.000,24.778,24.811,nan,nan,30,0
shasum,180,1.000,15.320,5741343.695,nan,2,0,14862857,nmap,20,1.000,100.858,3548467.200,nan,2,0,558641378,curl,180,1.000,78.411,3717614.933,nan,2,0,4873762964,60.800,317.600,4217903104.000,4324603904.000,24.600,25.029,nan,nan,25,0
shasum,180,1.000,12.500,3515733.333,nan,2,0,13752481,nmap,20,1.000,87.981,3966839.467,nan,2,0,447045678,curl,180,1.000,75.489,72503705.600,nan,2,0,3620640693,75.000,325.467,4400308224.000,4408345600.000,25.344,25.371,nan,nan,55,0
shasum,180,1.000,12.542,3901610.667,nan,1,0,13060740,nmap,20,1.000,85.634,4096512.000,nan,1,0,378177981,curl,180,0.998,73.019,80896000.000,nan,1,0,3061933479,71.333,289.800,4406960128.000,4414108672.000,25.370,25.395,nan,nan,45,0
shasum,180,1.000,14.358,3949824.000,nan,2,0,14677707,nmap,20,1.000,93.364,3824469.333,nan,1,0,391357869,curl,200,0.999,78.524,3634688.000,nan,2,0,5777257841,78.733,304.767,4403363840.000,4421532160.000,25.362,25.437,nan,nan,25,0
shasum,180,1.000,14.064,12143957.333,nan,2,0,14717451,nmap,20,1.000,91.950,3072000.000,nan,2,0,480760410,curl,200,1.000,79.823,120924501.333,nan,2,0,5665940449,60.200,314.833,4406853632.000,4465201664.000,25.378,25.614,nan,nan,125,0
shasum,180,1.000,15.917,11900416.000,nan,2,0,15991226,nmap,20,1.000,100.432,38155605.333,nan,2,0,599019098,curl,200,1.000,79.403,122084352.000,nan,2,0,7925859374,56.267,307.617,4428394496.000,4491401216.000,25.474,25.733,nan,nan,130,0
shasum,180,1.000,16.633,12063129.600,nan,1,0,6665747,nmap,40,1.000,157.870,26629802.667,nan,1,0,114071623,curl,0,1.000,0.081,4436992.000,nan,1,0,0,61.200,236.967,4390068224.000,4289310720.000,25.317,24.919,nan,nan,130,0
shasum,180,1.000,17.655,4138769.067,nan,2,0,7309065,nmap,40,1.000,181.412,2195456.000,nan,2,0,121509904,curl,0,1.000,0.078,4696576.000,nan,1,0,0,63.333,266.733,4134184960.000,4141123584.000,24.311,24.340,nan,nan,25,0
shasum,180,1.000,16.719,3186688.000,nan,2,0,7069673,nmap,40,1.000,176.254,3467161.600,nan,2,0,120700317,curl,0,1.000,0.075,4853930.667,nan,1,0,0,62.733,256.917,4149389312.000,4156415488.000,24.374,24.402,nan,nan,30,0
